team,confed
Barbados,CONCACAF
Moldova,UEFA
Kosovo,UEFA
Canada,CONCACAF
El Salvador,CONCACAF
United States,CONCACAF
Germany,UEFA
Ukraine,UEFA
Russia,UEFA
Turkey,UEFA
Bulgaria,UEFA
Finland,UEFA
Slovenia,UEFA
Latvia,UEFA
Faroe Islands,UEFA
Italy,UEFA
Netherlands,UEFA
Norway,UEFA
Romania,UEFA
Scotland,UEFA
Slovakia,UEFA
Lithuania,UEFA
Belarus,UEFA
Iceland,UEFA
Denmark,UEFA
Portugal,UEFA
Sweden,UEFA
Cyprus,UEFA
Azerbaijan,UEFA
North Macedonia,UEFA
Estonia,UEFA
Gibraltar,UEFA
Spain,UEFA
Switzerland,UEFA
Hungary,UEFA
Serbia,UEFA
Wales,UEFA
Republic of Ireland,UEFA
Andorra,UEFA
Malta,UEFA
Bosnia and Herzegovina,UEFA
Northern Ireland,UEFA
Austria,UEFA
Czech Republic,UEFA
Israel,UEFA
Kazakhstan,UEFA
Albania,UEFA
Belgium,UEFA
France,UEFA
Luxembourg,UEFA
Armenia,UEFA
Georgia,UEFA
San Marino,UEFA
Nicaragua,CONCACAF
Montenegro,UEFA
Poland,UEFA
Zambia,CAF
England,UEFA
South Africa,CAF
Uzbekistan,AFC
Paraguay,CONMEBOL
Uruguay,CONMEBOL
Argentina,CONMEBOL
Burkina Faso,CAF
Congo,CAF
Japan,AFC
Kenya,CAF
Mali,CAF
Mauritania,CAF
Morocco,CAF
Nigeria,CAF
Tunisia,CAF
Colombia,CONMEBOL
Brazil,CONMEBOL
Liechtenstein,UEFA
Cape Verde,CAF
Costa Rica,CONCACAF
Honduras,CONCACAF
Niger,CAF
Croatia,UEFA
Greece,UEFA
Gabon,CAF
Malawi,CAF
Tanzania,CAF
Ghana,CAF
Togo,CAF
United Arab Emirates,AFC
Cameroon,CAF
Mexico,CONCACAF
Mozambique,CAF
Bolivia,CONMEBOL
Ecuador,CONMEBOL
Venezuela,CONMEBOL
Peru,CONMEBOL
Chile,CONMEBOL
Ethiopia,CAF
Bahrain,AFC
Guinea,CAF
Senegal,CAF
Libya,CAF
Jordan,AFC
Lebanon,AFC
Uganda,CAF
Algeria,CAF
Ivory Coast,CAF
Bangladesh,AFC
Saudi Arabia,AFC
DR Congo,CAF
Egypt,CAF
Benin,CAF
Guatemala,CONCACAF
Chad,CAF
Burundi,CAF
Comoros,CAF
Guinea-Bissau,CAF
Equatorial Guinea,CAF
South Sudan,CAF
Gambia,CAF
Zimbabwe,CAF
Botswana,CAF
Eswatini,CAF
South Korea,AFC
Namibia,CAF
Sudan,CAF
Angola,CAF
Central African Republic,CAF
Rwanda,CAF
Madagascar,CAF
Sierra Leone,CAF
Lesotho,CAF
Qatar,AFC
Kuwait,AFC
Dominican Republic,CONCACAF
Iraq,AFC
Panama,CONCACAF
Oman,AFC
Antigua and Barbuda,CONCACAF
Suriname,CONCACAF
Saint Kitts and Nevis,CONCACAF
São Tomé and Príncipe,CAF
India,AFC
Curaçao,CONCACAF
Haiti,CONCACAF
Trinidad and Tobago,CONCACAF
Tajikistan,AFC
Nepal,AFC
United States Virgin Islands,CONCACAF
Aruba,CONCACAF
British Virgin Islands,CONCACAF
Anguilla,CONCACAF
Turks and Caicos Islands,CONCACAF
Bahamas,CONCACAF
Montserrat,CONCACAF
Cuba,CONCACAF
Dominica,CONCACAF
Puerto Rico,CONCACAF
Cayman Islands,CONCACAF
Iran,AFC
Grenada,CONCACAF
Bermuda,CONCACAF
Saint Vincent and the Grenadines,CONCACAF
Belize,CONCACAF
Guyana,CONCACAF
Indonesia,AFC
Singapore,AFC
Thailand,AFC
China PR,AFC
Palestine,AFC
Maldives,AFC
Guam,AFC
Australia,AFC
Kyrgyzstan,AFC
Vietnam,AFC
Turkmenistan,AFC
Philippines,AFC
Cambodia,AFC
Hong Kong,AFC
Yemen,AFC
Afghanistan,AFC
Myanmar,AFC
Malaysia,AFC
Djibouti,CAF
Guadeloupe,CONCACAF
Jamaica,CONCACAF
Martinique,CONCACAF
Liberia,CAF
Syria,AFC
Sri Lanka,AFC
Taiwan,AFC
New Zealand,OFC
East Timor,AFC
Laos,AFC
Cook Islands,OFC
Papua New Guinea,OFC
New Caledonia,OFC
Mauritius,CAF
Seychelles,CAF
Somalia,CAF
Solomon Islands,OFC
Fiji,OFC
Vanuatu,OFC
French Guiana,CONCACAF
Sint Maarten,CONCACAF
Saint Martin,CONCACAF
Bonaire,CONCACAF
Mongolia,AFC
Saint Lucia,CONCACAF
Brunei,AFC
Tahiti,OFC
Bhutan,AFC
Macau,AFC
Pakistan,AFC
Tuvalu,OFC
Samoa,OFC
Tonga,OFC
American Samoa,OFC
North Korea,AFC

