rank,name,confed,off,def,spi
1,Argentina,CONMEBOL,2.73537005977066,0.3491153102112794,73.54708722741434
2,Brazil,CONMEBOL,2.5679461363981777,0.5496879805726729,69.79007009345794
3,Spain,UEFA,2.564280878179173,0.5641999454055252,69.59020249221184
4,Netherlands,UEFA,2.615537640051559,0.6380978980451967,69.16693146417447
5,France,UEFA,2.4959406367024397,0.5854100860752842,68.71522585669783
6,England,UEFA,2.296495634708028,0.5202382377731786,67.65059190031153
7,Germany,UEFA,2.503852511427944,0.7442824229673152,66.90004672897197
8,Colombia,CONMEBOL,2.247820145802617,0.545187501923137,66.87746884735203
9,Italy,UEFA,2.3965408158828443,0.6719472435534184,66.77085669781931
10,Belgium,UEFA,2.2640630062749256,0.6243442688080963,66.05734423676012
11,Portugal,UEFA,2.1225053509352274,0.5673012948088092,65.3920015576324
12,Croatia,UEFA,2.178041632276161,0.6582867693944596,64.80794392523364
13,Denmark,UEFA,2.108031848185136,0.6547097893941343,64.21173676012461
14,USA,CONCACAF,1.9943063644864825,0.6166499463635949,63.4814953271028
15,Uruguay,CONMEBOL,1.804954770844208,0.4874018912331575,63.126915887850465
16,Switzerland,UEFA,2.1589011601297368,0.7880833204923767,63.11804517133957
17,Poland,UEFA,2.192993019614124,0.820691050421634,63.04644080996885
18,Ecuador,CONMEBOL,1.8850529648162104,0.570734038275917,62.92137071651091
19,Scotland,UEFA,2.0050816568607703,0.6797365886377195,62.809026479750784
20,Morocco,CAF,1.8099248142701745,0.5357148388984321,62.57328660436138
21,Austria,UEFA,2.111215561024439,0.8104774526076547,62.31466510903426
22,Mexico,CONCACAF,1.7968720000557337,0.5801570486744299,61.8568691588785
23,Serbia,UEFA,1.9929136966459824,0.7618579547578594,61.67693146417446
24,Venezuela,CONMEBOL,1.9233448250894736,0.7247220456829192,61.4036370716511
25,Ukraine,UEFA,1.996660296894148,0.7959988249893132,61.285794392523364
26,Sweden,UEFA,1.9714461795871048,0.8080776855908236,60.89004672897197
27,Hungary,UEFA,1.8335413084465024,0.7032513811879857,60.731495327102806
28,Norway,UEFA,1.90697883202804,0.776911940332046,60.62711059190031
29,Turkey,UEFA,1.982303586727132,0.8427815832614426,60.59302959501558
30,Japan,AFC,1.8521063776306332,0.7321160888349532,60.5738707165109
31,Czech Republic,UEFA,1.9722937860178165,0.8664545752308865,60.25492990654205
32,Greece,UEFA,1.7336512360385177,0.658350170076517,60.18506230529596
33,Canada,CONCACAF,1.787051391465112,0.7294267356344633,59.93155763239876
34,Egypt,CAF,1.6926731145356797,0.6556424198721768,59.771876947040504
35,Slovenia,UEFA,1.769337038055827,0.754436648197901,59.35908878504673
36,South Korea,AFC,1.6957541474975293,0.7412784468474843,58.70982087227414
37,Georgia,UEFA,1.7118018855865376,0.7966595149558007,58.2547585669782
38,Wales,UEFA,1.700019693096481,0.7915775360802617,58.180989096573214
39,Senegal,CAF,1.6475011255338263,0.7419527697660854,58.150965732087236
40,Peru,CONMEBOL,1.5118826644485714,0.6439734368660813,57.867297507788166
41,Bolivia,CONMEBOL,1.5887511023878058,0.7529278009598975,57.39059968847352
42,Slovakia,UEFA,1.6054380493539724,0.772793927982868,57.33758566978193
43,Israel,UEFA,1.9087536598955064,1.0505792948949302,57.313154205607475
44,Iran,AFC,1.6155765516586889,0.7912932387609987,57.202242990654206
45,Algeria,CAF,1.6979634631233411,0.8691970885312262,57.18281931464174
46,Paraguay,CONMEBOL,1.4321676720427894,0.636502775343871,57.06160436137072
47,Mali,CAF,1.3693263830350146,0.5760280570026014,57.032289719626164
48,Australia,AFC,1.5204919076804275,0.7193419688480264,57.01809968847352
49,Chile,CONMEBOL,1.428107793557195,0.6423708301278575,56.92034267912772
50,Panama,CONCACAF,1.6782436933153737,0.8964118737386667,56.62655763239876
51,Albania,UEFA,1.4947361694985115,0.7357720388456835,56.504602803738315
52,Iceland,UEFA,1.683444996723522,0.9111234577434438,56.48119158878505
53,Cameroon,CAF,1.6051595204286095,0.8444710455604055,56.45395638629284
54,Tunisia,CAF,1.2586340628862662,0.5716193972562386,55.78271806853582
55,Rep of Ireland,UEFA,1.4707724148481995,0.8308432661608944,55.01956386292836
56,Nigeria,CAF,1.519481242400696,0.9242908714053156,54.49540498442368
57,Ivory Coast,CAF,1.4435558944439786,0.8540531189109467,54.406230529595014
58,North Macedonia,UEFA,1.4273491845618895,0.8496835918040719,54.295404984423676
59,Congo DR,CAF,1.3572921993460088,0.7846575090389393,54.275373831775696
60,Romania,UEFA,1.3405645387698206,0.7718528835345343,54.217640186915894
61,Qatar,AFC,1.5240795491861834,0.9989005799452132,53.649260124610585
62,Costa Rica,CONCACAF,1.3167666526989144,0.7972631157563924,53.63063862928349
63,Montenegro,UEFA,1.4043858635189008,0.881294950842116,53.621246105919
64,Finland,UEFA,1.4267628856190846,0.9011641531402946,53.61819314641745
65,Guadeloupe,CONCACAF,0.6665417341319757,0.1596700304132977,53.59797507788162
66,South Africa,CAF,1.2848357764122391,0.7667846802273461,53.59157320872274
67,Bosnia and Herzegovina,UEFA,1.4199660879472835,0.903798342817978,53.56052959501557
68,Uzbekistan,AFC,1.2541643220945051,0.7952072130067075,52.89788161993769
69,Bulgaria,UEFA,1.390255172961122,0.9439835425101044,52.68533489096573
70,Burkina Faso,CAF,1.4913230106934987,1.0468158584123817,52.66183021806854
71,Ghana,CAF,1.3555395324783714,0.9326071014617282,52.41314641744549
72,Gabon,CAF,1.428737580137983,1.0162701522735664,52.28477414330218
73,Kosovo,UEFA,1.3494603810646708,0.9683440033489888,51.92240654205607
74,Jamaica,CONCACAF,1.3522127541706173,0.972733321156902,51.88369158878504
75,Honduras,CONCACAF,1.271172635065123,0.9264381486150765,51.41917445482866
76,Northern Ireland,UEFA,1.162079275600581,0.836494848389052,51.2084968847352
77,Saudi Arabia,AFC,1.148041529190493,0.8218455972452335,51.19929906542057
78,Equatorial Guinea,CAF,1.1317346806516042,0.8395515943400648,50.83342679127726
79,Jordan,AFC,1.1691154023744674,0.8783469549965504,50.795552959501556
80,Guinea,CAF,1.2535970465567057,0.971817649505115,50.68947819314642
81,New Zealand,OFC,1.011437257027325,0.7250878486531991,50.67571651090342
82,Namibia,CAF,1.2102355024126528,0.9416795246805943,50.525591900311525
83,Zambia,CAF,1.362496208120533,1.161305943715211,49.73419003115265
84,Comoros,CAF,1.239965276193217,1.0506331564308689,49.60642523364486
