team,xG,xGA,matches
Morocco,1.5606608456164284,0.32149173421232163,21.0
Egypt,1.1740117122892744,0.9704710688422152,16.0
Senegal,2.0697852389656424,0.5680627615419566,15.0
Algeria,1.6114410887342168,0.7533055584184811,18.0
Mali,1.3479817452236762,1.129058123386279,11.0
Cameroon,1.3054238991824272,0.9294482344956666,12.0
Tunisia,1.7421538635116984,0.9748138458989827,16.0
Nigeria,1.8682826436300537,0.9360527834607494,15.0
Ivory Coast,1.3488409739865577,0.6075209947848889,13.0
DR Congo,1.8994574145597056,0.7596984116101204,12.0
South Africa,1.4139516937055083,0.9032507676703214,11.0
Burkina Faso,1.302231189891157,0.8636250762861168,12.0
Ghana,1.4599682387879909,0.7427436168626517,8.0
Gabon,1.4656668873421133,1.0977702141631946,10.0
Equatorial Guinea,0.9451939063690838,1.7772359451514026,10.0
Guinea,1.2175656130948092,0.8575896297758412,6.0
Namibia,0.7750268737824098,1.5074228762883817,6.0
Zambia,1.0355544891953172,1.128727630429826,8.0
Comoros,1.2505448659096547,1.0283980192934932,14.0
Cape Verde,1.3019159860231986,0.6713605098748366,9.0
Uganda,1.4890904655995243,1.078623130635942,11.0
Togo,0.43774692535937537,0.9503391273650483,4.0
Benin,1.0876454747054445,0.8600901936101367,10.0
Angola,1.1392852246235805,1.278749863827297,9.0
Gambia,1.3993611691915557,1.2497149877938898,7.0
Mauritania,0.4245940554905603,0.9012903860317357,9.0
Botswana,0.6355132128192754,1.519367320101435,7.0
Mozambique,1.0023755538087304,1.2427801205939444,11.0
Zimbabwe,0.9822200683478786,1.3341334878718742,11.0
Kenya,0.7049921970477377,1.0687745825659458,7.0
Sierra Leone,1.1624852947810937,1.556033630139444,4.0
Central African Republic,0.6649061209810858,1.8235139053668714,5.0
Sudan,0.635536190721067,1.2063645063616641,13.0
Tanzania,0.9961830303162491,1.4064868173937228,10.0
Rwanda,0.3850228981652728,1.1953703166487222,6.0
Guinea-Bissau,0.5699482597459875,1.374134956529949,6.0
Congo,1.1741279667220152,1.5433119252547638,3.0
Malawi,0.8236233526364427,0.9806924468882199,6.0
Niger,1.559075726152983,0.9503571471099622,8.0
Liberia,1.230154978225381,1.4840809674253497,5.0
Eswatini,0.48643952455665074,1.7383083802563342,4.0
Libya,0.9559386164900812,0.34766346178883695,6.0
Ethiopia,0.9912904029159658,1.2139207800950036,4.0
Somalia,0.285493678806433,1.1398802586224241,6.0
South Sudan,0.4117457708562108,0.9884840761092925,5.0
Lesotho,0.6334992982848503,0.9794323449337533,6.0
Madagascar,1.8805204653640915,0.9255214157157059,6.0
Djibouti,0.37441479144184725,1.5759441969583015,5.0
Burundi,0.1435296379828554,0.9364884864632868,6.0
Chad,1.0648943703118359,1.182252287238656,8.0
Mauritius,0.48643952455665074,1.304455580350691,4.0
São Tomé and Príncipe,0.8852285580996856,1.239733625980072,4.0
Seychelles,0.0034313538028376027,1.6346804113573592,4.0
