team,xG,xGA,matches
United States,2.086990442269047,1.0558679882388662,14.0
Mexico,1.778660574736855,0.5775971811406526,16.0
Canada,1.4758883221845325,0.4559783589256448,12.0
Panama,1.416579355744664,1.0154232601087552,14.0
Costa Rica,1.0531066277159968,1.3721906694374026,12.0
Guadeloupe,2.187563254316339,1.538469848092652,3.0
Jamaica,0.9817966199819096,1.1651139634211705,14.0
Honduras,0.672681847840549,0.7958057150357815,13.0
Guatemala,1.4686665770833025,1.3641328569637723,14.0
El Salvador,0.4216169072270965,1.344171434186529,12.0
Martinique,0.001824974845460092,1.5393405205891004,2.0
Trinidad and Tobago,0.8754329108927044,1.587640838839681,13.0
Haiti,1.113925719145119,0.9436595481669529,11.0
Suriname,1.2092947902200126,0.9630969521555491,11.0
Nicaragua,0.6589330031398855,1.2999727966483356,9.0
Cuba,0.1607149118571805,1.6685471654279282,7.0
Dominican Republic,0.9056590907417049,0.8697620674524569,9.0
Saint Martin,0.03254826205914343,2.879668332405267,4.0
Curaçao,0.9195869786034047,0.669532388945214,11.0
Montserrat,0.04178086063045932,2.7574800664096086,2.0
Grenada,0.31282449137760443,0.9054609944712103,6.0
British Virgin Islands,0.16091427620012844,1.5818322025577534,6.0
Saint Vincent and the Grenadines,0.1734791941796612,1.1789504705176954,7.0
Bermuda,0.45298949099379726,1.8903267083043565,8.0
Guyana,0.2380492177411843,0.4870351835724273,4.0
Puerto Rico,0.2764749367707318,0.8108656783971665,4.0
Bahamas,0.0018189584448706632,2.879668332405267,4.0
Bonaire,0.03848078168456666,0.5631903085370825,2.0
Dominica,0.1566511844740734,2.2276325991941808,4.0
Belize,0.09126692166959277,1.1428168083839962,4.0
Barbados,0.0007360063387734658,1.9147975986046348,4.0
Aruba,0.0010849575729603405,0.8827021366958747,4.0
Antigua and Barbuda,0.003430245230254726,0.3527472076081083,4.0
Saint Lucia,0.0064891140102810866,2.879668332405267,4.0
Anguilla,0.001377354641606584,2.576624635119778,5.0
Sint Maarten,0.0006938915346474636,2.879668332405267,2.0
Saint Kitts and Nevis,0.24595177714545433,1.9039451709994777,6.0
Cayman Islands,0.01027165041977478,1.4308163562641545,4.0
United States Virgin Islands,0.00035697310163944665,2.879668332405267,1.0
Turks and Caicos Islands,0.0003810387039971621,2.879668332405267,1.0
