team,xG,xGA,matches
Spain,2.7410721085437952,0.46170557340298113,8.0
Netherlands,2.091300844885477,0.6051583982807774,8.0
France,2.625557217226761,0.6419797771476083,8.0
England,2.1833441584214808,0.18763721016647789,8.0
Germany,1.8727420579398628,0.6754097751861531,8.0
Italy,2.013566943803193,0.732635917225984,8.0
Belgium,1.7513398679627146,0.842333056966976,8.0
Portugal,2.285272106722243,0.9672207505918254,8.0
Croatia,1.6743814191170339,0.6524598611736917,8.0
Denmark,2.030943436780574,0.7181813395399345,8.0
Switzerland,2.3737342527889105,0.4666216930842905,8.0
Poland,2.1421410488645596,0.9402656911661318,8.0
Scotland,1.9787885362653816,0.9031403619407337,8.0
Austria,1.630520757008899,0.8956520931816377,8.0
Serbia,1.0719525604600844,0.9732115969188941,8.0
Ukraine,1.884932037584119,1.1726484341596894,8.0
Sweden,1.6787487359676025,1.0977146216629379,8.0
Hungary,2.1604772935210517,1.003154888323433,8.0
Norway,2.2041986183717945,0.6846696611653958,8.0
Turkey,2.1029972289980425,1.0171492691062445,8.0
Czech Republic,1.5736195534290227,0.5726212991943458,8.0
Greece,1.9242108608822794,0.9641681475605633,8.0
Slovenia,1.168632442851912,0.7944498264558923,8.0
Georgia,1.5950954188596116,0.9771280708384713,8.0
Wales,1.5846261428892654,0.8870827957770822,8.0
Israel,1.3926165673806261,0.9123224459124981,8.0
Slovakia,1.5383597166597875,0.6385310335317141,8.0
Iceland,1.9797429903727812,0.8879687089678707,8.0
Albania,1.3268549926229163,0.6025581760022864,8.0
Republic of Ireland,1.8751817053704414,0.7822950945335501,8.0
North Macedonia,1.550593115982173,0.7694588704949636,8.0
Romania,1.8650769129055724,1.13034863544206,8.0
Finland,1.2308979034248326,1.1531884581415144,8.0
Montenegro,0.943072189350947,1.4981639213120566,8.0
Bosnia and Herzegovina,2.0030595996969516,1.1389824538906,8.0
Bulgaria,0.9974509335815853,1.2310467358417436,8.0
Kosovo,1.9987051809305136,0.6328438553133416,8.0
Northern Ireland,1.9054585982201584,0.7921387285016621,8.0
Luxembourg,0.3343060617354154,1.0547750960163411,8.0
Estonia,1.5037222421951957,1.225483657726334,8.0
Kazakhstan,0.9863422805601745,1.2381783099344463,8.0
Armenia,1.3420854986179205,1.2559219505309571,8.0
Azerbaijan,1.3169440700408255,1.0874738366540877,8.0
Belarus,1.6107719120772765,0.942944196011781,7.0
Moldova,1.2735298250115143,1.2318600237095099,8.0
Malta,1.258272158641594,1.0045988219163107,8.0
Latvia,0.9289485454260813,0.9968451116765669,8.0
Cyprus,1.4529080988419159,1.2393753235785276,8.0
Faroe Islands,1.4799991146575255,0.7463545377841815,8.0
Andorra,0.6487875821619468,1.0891347598806695,8.0
Lithuania,0.9554719514682651,0.9314170853215431,8.0
San Marino,0.43503759529130265,1.2725097736066893,8.0
Gibraltar,0.49327172053174295,1.2242613170317385,8.0
Liechtenstein,0.22428155973193667,1.103814280407209,8.0
