cutoff_quantile,cutoff_strength,low_team_p_c,observed_teams,teams_below_one_on_both,offending_teams,selection_rule
0.01,0.059000000000000004,1.1562617702448221,178,52,North Macedonia|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Lesotho|Andorra|Cambodia|Puerto Rico|Nicaragua|Namibia|Bonaire|Equatorial Guinea|Gibraltar|Luxembourg|Botswana|San Marino|Afghanistan|Bangladesh|El Salvador|Liechtenstein|Fiji|Aruba|Central African Republic|Saint Vincent and the Grenadines|Belize|Hong Kong|Myanmar|British Virgin Islands|Pakistan|Tajikistan|Cayman Islands|Cuba|Maldives|Martinique|Vietnam|Barbados|Dominica|India|Anguilla|Philippines|Saint Martin|Bhutan|Sint Maarten|Bahamas|United States Virgin Islands,previous_cutoff_retained_no_diagnostic_solution
0.02,0.068,1.884109477124184,178,51,North Macedonia|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Lesotho|Andorra|Cambodia|Puerto Rico|Nicaragua|Namibia|Bonaire|Equatorial Guinea|Gibraltar|Luxembourg|Botswana|San Marino|Afghanistan|Bangladesh|El Salvador|Liechtenstein|Fiji|Aruba|Central African Republic|Saint Vincent and the Grenadines|Hong Kong|Myanmar|British Virgin Islands|Pakistan|Tajikistan|Cayman Islands|Cuba|Maldives|Martinique|Vietnam|Barbados|Dominica|India|Anguilla|Philippines|Saint Martin|Bhutan|Sint Maarten|Bahamas|United States Virgin Islands,previous_cutoff_retained_no_diagnostic_solution
0.03,0.077,2.441810966810967,178,51,North Macedonia|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Lesotho|Andorra|Cambodia|Puerto Rico|Nicaragua|Namibia|Bonaire|Equatorial Guinea|Gibraltar|Luxembourg|Botswana|San Marino|Afghanistan|Bangladesh|El Salvador|Liechtenstein|Fiji|Aruba|Central African Republic|Saint Vincent and the Grenadines|Hong Kong|Myanmar|British Virgin Islands|Pakistan|Tajikistan|Cayman Islands|Cuba|Maldives|Martinique|Vietnam|Barbados|Dominica|India|Anguilla|Philippines|Saint Martin|Bhutan|Sint Maarten|Bahamas|United States Virgin Islands,previous_cutoff_retained_no_diagnostic_solution
0.04,0.086,2.8827842377260984,178,50,North Macedonia|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Lesotho|Andorra|Cambodia|Puerto Rico|Nicaragua|Namibia|Bonaire|Equatorial Guinea|Gibraltar|Luxembourg|Botswana|San Marino|Afghanistan|Bangladesh|El Salvador|Liechtenstein|Fiji|Aruba|Central African Republic|Saint Vincent and the Grenadines|Hong Kong|Myanmar|British Virgin Islands|Pakistan|Tajikistan|Cayman Islands|Cuba|Maldives|Martinique|Vietnam|Barbados|Dominica|India|Anguilla|Philippines|Saint Martin|Bhutan|Sint Maarten|United States Virgin Islands,previous_cutoff_retained_no_diagnostic_solution
0.05,0.095,3.2402046783625735,178,50,North Macedonia|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Lesotho|Andorra|Cambodia|Puerto Rico|Nicaragua|Namibia|Bonaire|Equatorial Guinea|Gibraltar|Luxembourg|Botswana|San Marino|Afghanistan|Bangladesh|El Salvador|Liechtenstein|Fiji|Aruba|Central African Republic|Saint Vincent and the Grenadines|Hong Kong|Myanmar|British Virgin Islands|Pakistan|Tajikistan|Cayman Islands|Cuba|Maldives|Martinique|Vietnam|Barbados|Dominica|India|Anguilla|Philippines|Saint Martin|Bhutan|Sint Maarten|United States Virgin Islands,previous_cutoff_retained_no_diagnostic_solution
0.06,0.104,3.5357638888888894,178,50,North Macedonia|Faroe Islands|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Lesotho|Andorra|Cambodia|Puerto Rico|Nicaragua|Namibia|Bonaire|Equatorial Guinea|Gibraltar|Luxembourg|Botswana|San Marino|Afghanistan|Bangladesh|El Salvador|Liechtenstein|Fiji|Aruba|Central African Republic|Saint Vincent and the Grenadines|Hong Kong|British Virgin Islands|Pakistan|Tajikistan|Cayman Islands|Cuba|Maldives|Martinique|Vietnam|Barbados|Dominica|India|Philippines|Saint Martin|Bhutan|Sint Maarten|United States Virgin Islands,previous_cutoff_retained_no_diagnostic_solution
0.07,0.113,3.784242871189775,178,50,North Macedonia|Faroe Islands|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Lesotho|Andorra|Cambodia|Puerto Rico|Nicaragua|Namibia|Bonaire|Equatorial Guinea|Gibraltar|Luxembourg|Botswana|San Marino|Afghanistan|Bangladesh|El Salvador|Liechtenstein|Fiji|Aruba|Central African Republic|Saint Vincent and the Grenadines|Hong Kong|British Virgin Islands|Pakistan|Tajikistan|Cayman Islands|Cuba|Maldives|Martinique|Vietnam|Barbados|Dominica|India|Philippines|Saint Martin|Bhutan|Sint Maarten|United States Virgin Islands,previous_cutoff_retained_no_diagnostic_solution
0.08,0.122,3.9960610200364304,178,51,North Macedonia|Faroe Islands|Niger|South Africa|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Guyana|Lesotho|Andorra|Cambodia|Puerto Rico|Nicaragua|Namibia|Bonaire|Equatorial Guinea|Gibraltar|Luxembourg|Botswana|San Marino|Afghanistan|Bangladesh|El Salvador|Liechtenstein|Fiji|Aruba|Central African Republic|Hong Kong|British Virgin Islands|Pakistan|Tajikistan|Cayman Islands|Cuba|Maldives|Martinique|Vietnam|Dominica|India|Philippines|Saint Martin|Bhutan|Sint Maarten|United States Virgin Islands,previous_cutoff_retained_no_diagnostic_solution
0.09,0.131,4.178774385072096,178,51,North Macedonia|Faroe Islands|Niger|South Africa|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Guyana|Lesotho|Andorra|Cambodia|Puerto Rico|Nicaragua|Namibia|Bonaire|Equatorial Guinea|Gibraltar|Luxembourg|Botswana|San Marino|Afghanistan|Bangladesh|El Salvador|Liechtenstein|Fiji|Aruba|Central African Republic|Hong Kong|British Virgin Islands|Pakistan|Tajikistan|Cayman Islands|Cuba|Maldives|Martinique|Vietnam|Dominica|India|Philippines|Saint Martin|Bhutan|Sint Maarten|United States Virgin Islands,previous_cutoff_retained_no_diagnostic_solution
0.1,0.14,4.337996031746033,178,51,North Macedonia|Faroe Islands|Niger|South Africa|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Indonesia|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Guyana|Lesotho|Tanzania|Andorra|Cambodia|Qatar|Puerto Rico|Nicaragua|Namibia|Bonaire|Equatorial Guinea|Gibraltar|Luxembourg|Botswana|San Marino|Afghanistan|Bangladesh|El Salvador|Liechtenstein|Fiji|Aruba|Central African Republic|Hong Kong|British Virgin Islands|Pakistan|Tajikistan|Cayman Islands|Maldives|Vietnam|Dominica|India|Philippines|Saint Martin|Bhutan|Sint Maarten,previous_cutoff_retained_no_diagnostic_solution
