team,average_opponent_strength,median_opponent_strength
Spain,0.6869844789356985,0.7041463414634146
England,0.7763858093126387,0.8051219512195121
France,0.833059866962306,0.8973170731707316
Switzerland,0.7928292682926829,0.8468292682926829
South Korea,0.6276306620209058,0.7348780487804878
Argentina,0.6825942350332593,0.7129268292682926
Colombia,0.7890243902439024,0.8182926829268292
Senegal,0.703048780487805,0.7019512195121951
Brazil,0.7763414634146342,0.8182926829268292
Norway,0.8406829268292683,0.9104878048780487
Netherlands,0.8095121951219512,0.7985365853658536
Kosovo,0.6997560975609756,0.8007317073170731
Morocco,0.7867627494456763,0.8578048780487805
Denmark,0.7864634146341464,0.7875609756097561
Italy,0.6701219512195122,0.7831707317073171
Portugal,0.8153658536585365,0.8182926829268292
Mexico,0.805920177383592,0.8358536585365853
Germany,0.7590243902439024,0.7787804878048781
Poland,0.7315853658536585,0.7304878048780488
Ecuador,0.7595731707317073,0.8117073170731708
Australia,0.7645121951219511,0.8160975609756097
Paraguay,0.7914024390243901,0.8424390243902439
DR Congo,0.7003048780487804,0.8380487804878048
Hungary,0.5998780487804878,0.581219512195122
Northern Ireland,0.7952439024390243,0.8051219512195122
Republic of Ireland,0.6119512195121952,0.761219512195122
Iceland,0.8016097560975609,0.8314634146341463
Canada,0.7607317073170732,0.791951219512195
Scotland,0.7361324041811848,0.7480487804878049
Turkey,0.7950871080139373,0.8095121951219512
Croatia,0.8089634146341462,0.8314634146341464
Czech Republic,0.8095121951219513,0.8797560975609756
United States,0.8382926829268293,0.8578048780487805
Japan,0.8377351916376307,0.8358536585365853
Greece,0.819390243902439,0.8534146341463414
Madagascar,0.5680487804878048,0.5241463414634147
Uzbekistan,0.8120209059233449,0.8534146341463414
Slovakia,0.6492682926829269,0.6690243902439024
Nigeria,0.667560975609756,0.6865853658536585
Belgium,0.792829268292683,0.8095121951219512
Uruguay,0.7989756097560975,0.77
Algeria,0.7694512195121951,0.7546341463414634
Bosnia and Herzegovina,0.7436585365853658,0.7853658536585366
North Macedonia,0.8303658536585367,0.8314634146341463
New Zealand,0.6527177700348431,0.5724390243902439
Tunisia,0.7574564459930312,0.7787804878048781
Ivory Coast,0.8509059233449477,0.8753658536585366
Albania,0.6317073170731707,0.693170731707317
Faroe Islands,0.45243902439024386,0.4934146341463414
Austria,0.8251916376306621,0.77
Ghana,0.8188414634146342,0.8468292682926829
Romania,0.7557317073170732,0.7546341463414634
Wales,0.7667073170731707,0.7480487804878049
Ukraine,0.797439024390244,0.8073170731707318
Jordan,0.7869337979094075,0.783170731707317
Belarus,0.5910975609756097,0.5834146341463414
Cape Verde,0.6300609756097562,0.581219512195122
Libya,0.5658536585365853,0.5658536585365853
Georgia,0.5801219512195122,0.5856097560975609
Niger,0.48902439024390243,0.46048780487804875
Sweden,0.8380487804878048,0.8380487804878048
South Africa,0.6926219512195122,0.7326829268292683
New Caledonia,0.45829268292682923,0.45829268292682923
Israel,0.7173170731707317,0.7173170731707317
Burkina Faso,0.41292682926829266,0.26512195121951215
Iran,0.6389198606271778,0.594390243902439
Panama,0.7546341463414634,0.7480487804878049
Venezuela,0.6108536585365854,0.6536585365853658
Slovenia,0.6536585365853659,0.7041463414634146
Gabon,0.5526829268292682,0.5526829268292682
Cameroon,0.7063414634146341,0.7063414634146341
Guinea,0.5870731707317073,0.5812195121951219
Saudi Arabia,0.7063414634146341,0.7392682926829268
Bolivia,0.6066829268292683,0.6075609756097561
Estonia,0.4725609756097561,0.4495121951219512
Malta,0.693170731707317,0.693170731707317
Suriname,0.6207317073170732,0.6207317073170732
Curaçao,0.7060278745644598,0.8270731707317073
Azerbaijan,0.3386585365853658,0.3309756097560975
Mali,0.6602439024390244,0.6602439024390244
Cyprus,0.5208536585365854,0.576829268292683
Comoros,0.33682926829268295,0.2914634146341463
Benin,0.5241463414634145,0.5373170731707317
Syria,0.7085365853658536,0.7085365853658536
Egypt,0.8095121951219513,0.8204878048780488
Palestine,0.5241463414634147,0.5241463414634147
Haiti,0.7819163763066203,0.8270731707317073
Gambia,0.7897560975609756,0.7897560975609756
China PR,0.4813414634146341,0.49121951219512194
Kuwait,0.3090243902439024,0.3090243902439024
Guatemala,0.816829268292683,0.8139024390243902
Serbia,0.7897560975609756,0.7919512195121952
Armenia,0.5519512195121951,0.5109756097560976
Chile,0.7996341463414635,0.8051219512195122
Kyrgyzstan,0.553780487804878,0.5680487804878048
Finland,0.7963414634146342,0.8029268292682927
Iraq,0.7662369337979094,0.9104878048780487
Moldova,0.5186585365853658,0.5175609756097561
Dominican Republic,0.34414634146341466,0.22560975609756095
Lithuania,0.5779268292682926,0.5636585365853659
Oman,0.46268292682926826,0.46268292682926826
Latvia,0.6207317073170732,0.6207317073170732
Peru,0.7260975609756097,0.7414634146341463
Zambia,0.9280487804878048,0.9280487804878048
Angola,0.2739024390243902,0.2739024390243902
Honduras,0.7085365853658536,0.7085365853658536
Malawi,0.38804878048780483,0.4539024390243902
Indonesia,0.3814634146341463,0.44512195121951215
Jamaica,0.6198536585365854,0.6778048780487804
Ethiopia,0.4670731707317073,0.4670731707317073
Bulgaria,0.4067073170731707,0.41
Liberia,0.5274390243902438,0.4978048780487805
Mozambique,0.46268292682926826,0.46268292682926826
Kazakhstan,0.5647560975609756,0.5592682926829269
Costa Rica,0.8106097560975609,0.8182926829268292
Bahrain,0.6909756097560975,0.6909756097560975
Zimbabwe,0.3836585365853658,0.25634146341463415
Sierra Leone,0.49634146341463414,0.44512195121951215
Vanuatu,0.2168292682926829,0.2168292682926829
Guyana,0.1575609756097561,0.1575609756097561
Kenya,0.43780487804878043,0.39243902439024386
Lesotho,0.3968292682926829,0.3968292682926829
Tanzania,0.22121951219512193,0.22121951219512193
Singapore,0.5504878048780488,0.5504878048780488
Andorra,0.4486341463414634,0.3573170731707317
Cambodia,0.13121951219512196,0.13121951219512196
Montenegro,0.5636585365853658,0.5460975609756098
Qatar,0.7199512195121951,0.8314634146341463
Mauritania,0.6968292682926829,0.6865853658536585
Togo,0.5263414634146342,0.6053658536585366
Puerto Rico,0.3375609756097561,0.3375609756097561
Nicaragua,0.7678048780487805,0.7678048780487805
Trinidad and Tobago,0.7096341463414635,0.6426829268292683
Thailand,0.5482926829268293,0.5482926829268293
Grenada,0.4963414634146341,0.3968292682926829
Solomon Islands,0.29365853658536584,0.29365853658536584
Namibia,0.5109756097560976,0.5109756097560976
Bonaire,0.15536585365853658,0.17292682926829267
Equatorial Guinea,0.6353658536585365,0.5856097560975609
Gibraltar,0.16634146341463413,0.16634146341463413
Luxembourg,0.8160975609756098,0.8160975609756098
Guinea-Bissau,0.6646341463414634,0.6646341463414634
Botswana,0.44292682926829263,0.44292682926829263
Rwanda,0.46048780487804875,0.46048780487804875
San Marino,0.48573170731707316,0.4868292682926829
Afghanistan,0.16121951219512196,0.16853658536585364
Burundi,0.8973170731707316,0.8973170731707316
Bangladesh,0.18609756097560975,0.18609756097560975
El Salvador,0.4802439024390244,0.4275609756097561
Liechtenstein,0.3913414634146341,0.3814634146341463
Fiji,0.41,0.41
Aruba,0.4121951219512195,0.4121951219512195
Central African Republic,0.4056097560975609,0.4056097560975609
Saint Vincent and the Grenadines,0.20365853658536584,0.20365853658536584
Belize,0.2321951219512195,0.2321951219512195
Hong Kong,0.36170731707317066,0.36170731707317066
Myanmar,0.09829268292682927,0.09829268292682927
Bermuda,0.7787804878048781,0.7787804878048781
British Virgin Islands,0.20585365853658538,0.2168292682926829
Pakistan,0.21097560975609755,0.24317073170731707
Tajikistan,0.11146341463414634,0.11146341463414634
Cayman Islands,0.16707317073170733,0.17292682926829267
Cuba,0.32,0.32
Maldives,0.20585365853658535,0.20585365853658535
Saint Kitts and Nevis,0.37926829268292683,0.37926829268292683
Martinique,0.19048780487804878,0.19048780487804878
Vietnam,0.22999999999999998,0.22999999999999998
Barbados,0.14658536585365856,0.14658536585365856
Dominica,0.2321951219512195,0.2321951219512195
India,0.3013414634146341,0.29146341463414627
Anguilla,0.11365853658536584,0.11365853658536584
Philippines,0.18170731707317073,0.18170731707317073
Saint Martin,0.20365853658536584,0.20365853658536584
Saint Lucia,0.598780487804878,0.598780487804878
Bhutan,0.36170731707317066,0.36170731707317066
Sint Maarten,0.1575609756097561,0.1575609756097561
Bahamas,0.13121951219512196,0.13121951219512196
United States Virgin Islands,0.3265853658536585,0.3265853658536585
