team,name,confed,stage1_matches,stage2_matches,stage3_matches,prior_matches,evidence_window_start,evidence_window_end,evidence_window_years
Afghanistan,Afghanistan,AFC,16.0,3.0,3.0,22.0,2022-07-16,2026-07-15,4
Australia,Australia,AFC,32.0,8.0,8.0,48.0,2022-07-16,2026-07-15,4
Bahrain,Bahrain,AFC,39.0,10.0,1.0,50.0,2022-07-16,2026-07-15,4
Bangladesh,Bangladesh,AFC,25.0,7.0,2.0,34.0,2022-07-16,2026-07-15,4
Bhutan,Bhutan,AFC,13.0,5.0,1.0,19.0,2022-07-16,2026-07-15,4
Brunei,Brunei,AFC,21.0,5.0,0.0,26.0,2022-07-16,2026-07-15,4
Cambodia,Cambodia,AFC,25.0,2.0,2.0,29.0,2022-07-16,2026-07-15,4
China,China PR,AFC,29.0,3.0,4.0,36.0,2022-07-16,2026-07-15,4
East Timor,Timor-Leste,AFC,14.0,4.0,0.0,18.0,2022-07-16,2026-07-15,4
Hong Kong,Hong Kong,AFC,36.0,8.0,1.0,45.0,2022-07-16,2026-07-15,4
India,India,AFC,26.0,5.0,4.0,35.0,2022-07-16,2026-07-15,4
Indonesia,Indonesia,AFC,41.0,6.0,4.0,51.0,2022-07-16,2026-07-15,4
Iran,Iran,AFC,36.0,5.0,7.0,48.0,2022-07-16,2026-07-15,4
Iraq,Iraq,AFC,37.0,12.0,7.0,56.0,2022-07-16,2026-07-15,4
Japan,Japan,AFC,37.0,8.0,7.0,52.0,2022-07-16,2026-07-15,4
Jordan,Jordan,AFC,35.0,14.0,7.0,56.0,2022-07-16,2026-07-15,4
Kuwait,Kuwait,AFC,36.0,10.0,1.0,47.0,2022-07-16,2026-07-15,4
Kyrgyzstan,Kyrgyzstan,AFC,27.0,2.0,4.0,33.0,2022-07-16,2026-07-15,4
Laos,Laos,AFC,19.0,4.0,0.0,23.0,2022-07-16,2026-07-15,4
Lebanon,Lebanon,AFC,27.0,8.0,0.0,35.0,2022-07-16,2026-07-15,4
Malaysia,Malaysia,AFC,36.0,8.0,0.0,44.0,2022-07-16,2026-07-15,4
Maldives,Maldives,AFC,14.0,7.0,2.0,23.0,2022-07-16,2026-07-15,4
Myanmar,Myanmar,AFC,30.0,4.0,1.0,35.0,2022-07-16,2026-07-15,4
Nepal,Nepal,AFC,23.0,7.0,0.0,30.0,2022-07-16,2026-07-15,4
North Korea,North Korea,AFC,16.0,2.0,0.0,18.0,2022-07-16,2026-07-15,4
Oman,Oman,AFC,43.0,11.0,1.0,55.0,2022-07-16,2026-07-15,4
Pakistan,Pakistan,AFC,17.0,4.0,3.0,24.0,2022-07-16,2026-07-15,4
Palestine,Palestine,AFC,25.0,8.0,2.0,35.0,2022-07-16,2026-07-15,4
Philippines,Philippines,AFC,31.0,4.0,1.0,36.0,2022-07-16,2026-07-15,4
Qatar,Qatar,AFC,46.0,10.0,5.0,61.0,2022-07-16,2026-07-15,4
Saudi Arabia,Saudi Arabia,AFC,45.0,18.0,8.0,71.0,2022-07-16,2026-07-15,4
Singapore,Singapore,AFC,31.0,8.0,1.0,40.0,2022-07-16,2026-07-15,4
South Korea,South Korea,AFC,39.0,8.0,7.0,54.0,2022-07-16,2026-07-15,4
Sri Lanka,Sri Lanka,AFC,14.0,7.0,0.0,21.0,2022-07-16,2026-07-15,4
Syria,Syria,AFC,31.0,11.0,1.0,43.0,2022-07-16,2026-07-15,4
Taiwan,Chinese Taipei,AFC,18.0,5.0,0.0,23.0,2022-07-16,2026-07-15,4
Tajikistan,Tajikistan,AFC,29.0,5.0,2.0,36.0,2022-07-16,2026-07-15,4
Thailand,Thailand,AFC,46.0,8.0,2.0,56.0,2022-07-16,2026-07-15,4
Turkmenistan,Turkmenistan,AFC,14.0,4.0,0.0,18.0,2022-07-16,2026-07-15,4
United Arab Emirates,United Arab Emirates,AFC,35.0,13.0,0.0,48.0,2022-07-16,2026-07-15,4
Uzbekistan,Uzbekistan,AFC,35.0,7.0,7.0,49.0,2022-07-16,2026-07-15,4
Vietnam,Vietnam,AFC,40.0,4.0,1.0,45.0,2022-07-16,2026-07-15,4
Yemen,Yemen,AFC,17.0,5.0,0.0,22.0,2022-07-16,2026-07-15,4
Algeria,Algeria,CAF,32.0,18.0,8.0,58.0,2022-07-16,2026-07-15,4
Angola,Angola,CAF,33.0,9.0,2.0,44.0,2022-07-16,2026-07-15,4
Benin,Benin,CAF,22.0,10.0,4.0,36.0,2022-07-16,2026-07-15,4
Botswana,Botswana,CAF,24.0,7.0,2.0,33.0,2022-07-16,2026-07-15,4
Burkina Faso,Burkina Faso,CAF,33.0,12.0,3.0,48.0,2022-07-16,2026-07-15,4
Burundi,Burundi,CAF,18.0,6.0,1.0,25.0,2022-07-16,2026-07-15,4
Cameroon,Cameroon,CAF,30.0,12.0,2.0,44.0,2022-07-16,2026-07-15,4
Cape Verde,Cape Verde Islands,CAF,28.0,9.0,8.0,45.0,2022-07-16,2026-07-15,4
Central African Republic,Central African Republic,CAF,18.0,5.0,2.0,25.0,2022-07-16,2026-07-15,4
Chad,Chad,CAF,15.0,8.0,0.0,23.0,2022-07-16,2026-07-15,4
Comoros,Comoros,CAF,26.0,14.0,3.0,43.0,2022-07-16,2026-07-15,4
Congo,Congo,CAF,15.0,3.0,0.0,18.0,2022-07-16,2026-07-15,4
DR Congo,Congo DR,CAF,31.0,12.0,8.0,51.0,2022-07-16,2026-07-15,4
Djibouti,Djibouti,CAF,11.0,5.0,0.0,16.0,2022-07-16,2026-07-15,4
Egypt,Egypt,CAF,30.0,16.0,8.0,54.0,2022-07-16,2026-07-15,4
Equatorial Guinea,Equatorial Guinea,CAF,26.0,10.0,3.0,39.0,2022-07-16,2026-07-15,4
Eswatini,Swaziland,CAF,23.0,4.0,0.0,27.0,2022-07-16,2026-07-15,4
Ethiopia,Ethiopia,CAF,21.0,4.0,2.0,27.0,2022-07-16,2026-07-15,4
Gabon,Gabon,CAF,21.0,10.0,2.0,33.0,2022-07-16,2026-07-15,4
Gambia,Gambia,CAF,20.0,7.0,2.0,29.0,2022-07-16,2026-07-15,4
Ghana,Ghana,CAF,30.0,8.0,8.0,46.0,2022-07-16,2026-07-15,4
Guinea,Guinea,CAF,29.0,6.0,3.0,38.0,2022-07-16,2026-07-15,4
