rank,name,confed,off,def,spi
1,Spain,UEFA,2.570978489553765,0.4500897651180293,71.14926016260162
2,England,UEFA,2.135605181100384,0.2774419492028674,69.31035772357723
3,France,UEFA,2.5664510297844183,0.6574654374678334,68.66643902439024
4,Switzerland,UEFA,2.2956715081794266,0.5223778606446415,67.76591056910569
5,Argentina,CONMEBOL,2.0501663585451277,0.4512139818132739,66.22621951219513
6,Colombia,CONMEBOL,2.026835084618139,0.4679111458487318,65.76304878048781
7,South Korea,AFC,1.8970874013442247,0.4197668754670735,65.06474796747968
8,Brazil,CONMEBOL,2.0023842674948127,0.5336051467137455,64.69463414634146
9,Senegal,CAF,2.042849063093572,0.5956417401343526,64.33728455284553
10,Norway,UEFA,2.2240330017589143,0.7467816284915147,64.32064227642277
11,Netherlands,UEFA,2.0959196857269,0.6713128869401226,63.93578861788618
12,Morocco,CAF,1.6356433572399265,0.3789625558807498,62.78147967479675
13,Mexico,CONCACAF,1.822350204804484,0.5466592174654175,62.658837398373976
14,Kosovo,UEFA,1.953430224712185,0.6616934303063525,62.55443902439024
15,Denmark,UEFA,2.003672601351729,0.7080644847871447,62.53743089430894
16,Italy,UEFA,1.9759844525012265,0.7058650774816847,62.26947967479675
17,Portugal,UEFA,2.1996923658531347,0.923945355875532,61.942081300813015
18,Germany,UEFA,1.9205704382838005,0.7257079068545071,61.43182113821138
19,Paraguay,CONMEBOL,1.8139476279608715,0.6770806890065494,60.89911382113821
20,Poland,UEFA,2.1026631875011184,0.9606360525177866,60.476032520325205
21,Japan,AFC,1.7100683441572986,0.6312165257061594,60.35827642276422
22,Australia,AFC,1.8603729173628467,0.7665482225959119,60.30142276422764
23,Ecuador,CONMEBOL,1.380027116111984,0.354212534882729,60.17242276422764
24,Hungary,UEFA,2.083319383610402,0.9788734553754608,60.07721951219512
25,Canada,CONCACAF,1.509882343474302,0.4823444040704052,59.97881300813008
26,Northern Ireland,UEFA,1.8592489633520364,0.7972534588475262,59.86425203252033
27,Turkey,UEFA,2.0558916076089866,0.976581024332274,59.77664227642276
28,Rep of Ireland,UEFA,1.804196406153551,0.7627768046031307,59.72975609756098
29,Croatia,UEFA,1.725769727523385,0.6946641881306276,59.66082113821138
30,Congo DR,CAF,1.8145781267540853,0.7728078971344047,59.640894308943096
31,USA,CONCACAF,2.1003682972654976,1.035823702531994,59.57518699186992
32,Czech Republic,UEFA,1.6322573769759543,0.6374144367842237,59.40057723577235
33,Belgium,UEFA,1.8124848229103825,0.8407888839825205,58.80139024390244
34,Iceland,UEFA,1.8701513495304196,0.9058797924336716,58.67878861788618
35,Scotland,UEFA,1.8514934692812195,0.898365465043406,58.565390243902435
36,Nigeria,CAF,1.870375155601738,0.9345061075685772,58.315186991869915
37,Ivory Coast,CAF,1.4753258687864048,0.5904751080099607,58.15169918699187
38,Slovakia,UEFA,1.5490499920181775,0.666059744368666,58.065357723577236
39,Algeria,CAF,1.590914236469749,0.7389914417250928,57.600796747967486
40,Greece,UEFA,1.812770547152444,0.9479645100201616,57.52530081300813
41,Uzbekistan,AFC,1.3410673509572084,0.5148799444983009,57.51935772357724
42,Uruguay,CONMEBOL,1.3467988129982296,0.5261680058917448,57.45326016260163
43,Madagascar,CAF,1.7799937912609494,0.9788635220689236,56.74887804878049
44,Bosnia and Herzegovina,UEFA,1.9430581407072136,1.1338340110970635,56.724512195121946
45,Austria,UEFA,1.6375366100685544,0.8830755041514438,56.340691056910565
46,Ukraine,UEFA,1.9009204186984632,1.1297575213433049,56.32363414634146
47,Wales,UEFA,1.6072600920845497,0.8995913776428799,55.7849105691057
48,Ghana,CAF,1.4454619129559596,0.7583651185045542,55.634699186991874
49,North Macedonia,UEFA,1.4314410574269754,0.7523574642757298,55.529658536585366
50,Tunisia,CAF,1.653717126412306,0.9637166085689322,55.52321951219512
51,Jordan,AFC,1.6910653989597306,0.9983726943199028,55.52219512195121
52,Belarus,UEFA,1.6054797856083105,0.9454121855519114,55.208463414634146
53,Faroe Islands,UEFA,1.4221779703263038,0.7720534373059833,55.157813008130084
54,Romania,UEFA,1.7922253521623075,1.1260682664264656,55.14890243902438
55,Sweden,UEFA,1.7484806306138203,1.103684481735865,54.94004065040651
56,Georgia,UEFA,1.588444464287742,0.9542327456082432,54.86707317073171
57,Albania,UEFA,1.258730199513219,0.6487789318711988,54.71592682926829
58,Guadeloupe,CONCACAF,2.1678224126894947,1.5275244392420158,54.65089430894309
59,New Zealand,OFC,1.6296101947209225,1.0129967179634012,54.64859349593496
60,Libya,CAF,0.9443063022835604,0.3693755419494265,54.448975609756104
61,Cape Verde Islands,CAF,1.286836005198417,0.7094372256267328,54.306390243902435
62,Israel,UEFA,1.4084961438871535,0.8968427845705095,53.43575609756098
63,Iran,AFC,0.8780490871854452,0.3970686324401887,53.16356910569105
64,South Africa,CAF,1.3650706931359726,0.8904362606255329,53.01029268292683
65,Niger,CAF,1.4413604474505568,0.9700604454816388,52.93873983739837
66,Venezuela,CONMEBOL,1.1965398956991025,0.7952196390006405,52.134455284552836
67,Burkina Faso,CAF,1.27990973125422,0.8764692551235175,52.11526016260163
68,Uganda,CAF,1.4746970984114285,1.0716432854022877,52.078146341463416
69,Panama,CONCACAF,1.4019021710182284,1.0226890619361406,51.82365853658536
70,Cameroon,CAF,1.2840683764217848,0.9186686000634698,51.68369918699187
71,Gabon,CAF,1.467160958360888,1.120199871891277,51.40671544715447
72,Slovenia,UEFA,1.167856124078468,0.8232208093740933,51.385056910569105
73,New Caledonia,OFC,0.4542232863872631,0.1144997996168839,51.03142276422764
74,Egypt,CAF,1.2736992124786672,0.9612068459802136,50.971642276422756
75,Malta,UEFA,1.2793466270459617,0.985857114338306,50.79613008130082
76,Guinea,CAF,1.1790840117108237,0.8858755837867471,50.69557723577236
77,Saudi Arabia,AFC,1.312145235900801,1.035045971446159,50.596260162601624
78,Estonia,UEFA,1.4614505267489872,1.2055139145008718,50.354268292682924
79,Bolivia,CONMEBOL,1.0649959493486103,0.8017452210548978,50.326349593495934
80,Suriname,CONCACAF,1.219364449970674,0.97112694384832,50.20554471544715
81,Benin,CAF,1.0905469756267208,0.8472564137525115,50.046414634146345
82,Curacao,CONCACAF,0.9501674374459266,0.7163137994986667,49.84560975609756
83,Syria,AFC,0.9967900209687812,0.7824854864217047,49.66541463414634
84,Mali,CAF,1.3136541154037835,1.1255255604019467,49.50408943089431
85,Haiti,CONCACAF,1.1215183999124252,0.936087869219242,49.390040650406505
86,Cyprus,UEFA,1.396315713453696,1.2189471028019545,49.37718699186992
87,Gambia,CAF,1.4165160297875588,1.2437405477040795,49.37012195121951
88,Palestine,AFC,1.0005519882341665,0.8143256684742364,49.34047967479675
89,Chile,CONMEBOL,1.0682800783902229,0.8891173990409869,49.23693495934959
90,United Arab Emirates,AFC,1.5261461829627874,1.3676565779548957,49.19940650406504
91,Comoros,CAF,1.1803756424810188,1.0208709870167072,49.08543089430894
92,Finland,UEFA,1.2638378347082608,1.13136819644728,48.844983739837396
93,China PR,AFC,1.0522345597672984,0.9345977162051216,48.487658536585364
94,Serbia,UEFA,1.07491347069502,0.9761581665348362,48.26620325203252
95,Guatemala,CONCACAF,1.4259289256682166,1.3492982042585353,48.260154471544716
96,Kuwait,AFC,1.32261572282507,1.2387099016390883,48.2520243902439
97,Iraq,AFC,1.1244872221246285,1.0533352134675351,48.012544715447156
98,Armenia,UEFA,1.3097538717925716,1.2482854149858704,47.99918699186992
99,Kyrgyzstan,AFC,1.5693613371732702,1.5424421225627416,47.762
100,Azerbaijan,UEFA,1.231421644179651,1.1922177776867493,47.7070081300813
101,Moldova,UEFA,1.242684509402262,1.259510178345885,47.07134146341463
102,Lithuania,UEFA,0.9450359257166724,0.9530256194977316,46.886252032520325
103,Peru,CONMEBOL,0.8018082598779049,0.8179717703412429,46.608333333333334
104,Oman,AFC,0.9193259619969142,0.9457148313270468,46.59491869918699
105,Latvia,UEFA,0.9248052450315212,1.0123472615347309,45.91093495934959
106,Chad,CAF,1.053238845641633,1.1759290154564288,45.58709756097561
107,Zambia,CAF,0.9994480117658332,1.1245205860263772,45.55539837398374
108,Dominican Republic,CONCACAF,0.888550925752282,0.996302888138837,45.554756097560976
109,Angola,CAF,1.099806624666617,1.2569742205819872,45.28842276422764
110,Kazakhstan,UEFA,1.020187799852286,1.184859794309348,45.09886991869919
111,Honduras,CONCACAF,0.6805375400579586,0.8040216465215796,45.09173170731708
112,Indonesia,AFC,0.7661118873928331,0.9116326826781744,44.919585365853656
113,Ethiopia,CAF,0.970545164017597,1.1703955071849546,44.590666666666664
114,Jamaica,CONCACAF,0.9364960951695428,1.134451874903056,44.57178861788618
115,Bulgaria,UEFA,0.985478469915167,1.237813722803779,44.0339918699187
116,Liberia,CAF,1.18213243130802,1.462425140480918,44.02308943089431
117,Mozambique,CAF,0.9751954898086708,1.2294045415850918,43.998796747967475
118,Malawi,CAF,0.7755651699003654,1.0016273056800973,43.981520325203256
119,Costa Rica,CONCACAF,1.0557222938716082,1.3543191002299908,43.616577235772354
120,Congo,CAF,1.1725648437480074,1.5286793093496165,43.14021138211382
121,Kenya,CAF,0.7326739864422598,1.0462160334673007,42.83231707317073
122,Sierra Leone,CAF,1.1404339940796977,1.5321044399693884,42.669975609756094
123,Zimbabwe,CAF,0.928749406437806,1.298070098109576,42.59025203252032
124,Bahrain,AFC,0.9288109312399384,1.3010114496503762,42.55973170731708
125,Sao Tome and Principe,CAF,0.8694169715683111,1.2352914479367012,42.50127642276423
126,Lesotho,CAF,0.6221148188293614,0.9773058030528632,42.141414634146344
