team,xG,xGA,matches,confed
Afghanistan,0.10434318550292544,0.9411108994195614,31.0,AFC
Albania,1.258730199513219,0.6487789318711988,56.0,UEFA
Algeria,1.590914236469749,0.7389914417250928,83.0,CAF
Andorra,0.593629643736449,1.0649346002204245,54.0,UEFA
Angola,1.099806624666617,1.2569742205819872,57.0,CAF
Anguilla,0.0013066698151893528,2.578039697429324,26.0,CONCACAF
Antigua and Barbuda,0.0033992902726332178,0.3502375955978516,27.0,CONCACAF
Argentina,2.0501663585451273,0.45121398181327393,78.0,CONMEBOL
Armenia,1.3097538717925716,1.2482854149858704,52.0,UEFA
Aruba,0.049116267880499574,0.9110013384893606,26.0,CONCACAF
Australia,1.8603729173628467,0.7665482225959119,65.0,AFC
Austria,1.6375366100685544,0.8830755041514438,64.0,UEFA
Azerbaijan,1.231421644179651,1.1922177776867493,53.0,UEFA
Bahamas,0.0017349692716393168,2.842902470881937,28.0,CONCACAF
Bahrain,0.9288109312399385,1.3010114496503762,74.0,AFC
Bangladesh,0.20380061671806043,1.0300292372087305,52.0,AFC
Barbados,0.000765406390454455,1.9519426856815296,36.0,CONCACAF
Belarus,1.6054797856083103,0.9454121855519114,51.0,UEFA
Belgium,1.8124848229103823,0.8407888839825205,70.0,UEFA
Belize,0.09871313333765319,1.233528042439922,34.0,CONCACAF
Benin,1.0905469756267208,0.8472564137525115,49.0,CAF
Bermuda,0.492261665317772,1.7870024813708425,37.0,CONCACAF
Bhutan,0.00124574233462835,2.752982272134129,19.0,AFC
Bolivia,1.0649959493486105,0.8017452210548978,63.0,CONMEBOL
Bonaire,0.04995018775456684,0.8594478305341265,23.0,CONCACAF
Bosnia and Herzegovina,1.9430581407072136,1.1338340110970637,55.0,UEFA
Botswana,0.6272923687157108,1.4930232398601508,44.0,CAF
Brazil,2.0023842674948127,0.5336051467137455,71.0,CONMEBOL
British Virgin Islands,0.14538830931566482,1.4193653453068158,28.0,CONCACAF
Brunei,0.0010548956148290363,2.845049084360021,28.0,AFC
Bulgaria,0.985478469915167,1.237813722803779,54.0,UEFA
Burkina Faso,1.27990973125422,0.8764692551235175,69.0,CAF
Burundi,0.13811023114035578,0.9348050545198365,32.0,CAF
Cambodia,0.22578490140011445,0.5794124766780858,42.0,AFC
Cameroon,1.2840683764217848,0.9186686000634698,62.0,CAF
Canada,1.509882343474302,0.48234440407040524,80.0,CONCACAF
Cape Verde,1.2868360051984167,0.7094372256267328,62.0,CAF
