date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,backend_home,backend_away,home_in_prior,away_in_prior
2026-02-25,Mexico,Iceland,4.0,0.0,Friendly,Querétaro,Mexico,False,Mexico,Iceland,True,True
2026-03-15,Bolivia,Trinidad and Tobago,3.0,0.0,Friendly,Santa Cruz,Bolivia,False,Bolivia,Trinidad and Tobago,True,True
2026-03-25,Bermuda,DR Congo,0.0,2.0,Friendly,Zapopan,Mexico,True,Bermuda,DR Congo,True,True
2026-03-25,Equatorial Guinea,Kyrgyzstan,1.0,0.0,Friendly,Antalya,Turkey,True,Equatorial Guinea,Kyrgyzstan,True,True
2026-03-25,Kazakhstan,Namibia,2.0,0.0,FIFA Series,Astana,Kazakhstan,False,Kazakhstan,Namibia,True,True
2026-03-26,Brazil,France,1.0,2.0,Friendly,Foxborough,United States,True,Brazil,France,True,True
2026-03-26,Colombia,Croatia,1.0,2.0,Friendly,Orlando,United States,True,Colombia,Croatia,True,True
2026-03-26,Cyprus,Belarus,0.0,1.0,Friendly,Nicosia,Cyprus,False,Cyprus,Belarus,True,True
2026-03-26,Georgia,Israel,2.0,2.0,Friendly,Tbilisi,Georgia,False,Georgia,Israel,True,True
2026-03-26,Moldova,Lithuania,0.0,2.0,Friendly,Chișinău,Moldova,False,Moldova,Lithuania,True,True
2026-03-26,Vietnam,Bangladesh,3.0,0.0,Friendly,Hanoi,Vietnam,False,Vietnam,Bangladesh,True,True
2026-03-26,New Caledonia,Jamaica,0.0,1.0,FIFA World Cup qualification,Zapopan,Mexico,True,New Caledonia,Jamaica,True,True
2026-03-26,Bolivia,Suriname,2.0,1.0,FIFA World Cup qualification,Guadalupe,Mexico,True,Bolivia,Suriname,True,True
2026-03-26,Italy,Northern Ireland,2.0,0.0,FIFA World Cup qualification,Bergamo,Italy,False,Italy,Northern Ireland,True,True
2026-03-26,Wales,Bosnia and Herzegovina,1.0,1.0,FIFA World Cup qualification,Cardiff,Wales,False,Wales,Bosnia and Herzegovina,True,True
2026-03-26,Poland,Albania,2.0,1.0,FIFA World Cup qualification,Warsaw,Poland,False,Poland,Albania,True,True
