team,xG,xGA,matches,confed
Argentina,2.0586610389470335,0.39734692364842206,7.0,CONMEBOL
Brazil,1.9514949164860405,0.4694270081259273,8.0,CONMEBOL
Spain,2.7443401776395726,0.46200849526704524,8.0,UEFA
Netherlands,2.0974083622785322,0.6045119771501029,8.0,UEFA
France,2.6250734183830677,0.6432854194299562,8.0,UEFA
England,2.187686751691134,0.18761102506188104,8.0,UEFA
Germany,1.8722627382778547,0.6768319309212337,8.0,UEFA
Colombia,2.0607546653328686,0.4581911362185942,8.0,CONMEBOL
Italy,2.015967637999019,0.7331165946327796,8.0,UEFA
Belgium,1.7534279194520759,0.8428857059157392,8.0,UEFA
Portugal,2.2879967439633213,0.9678553375009054,8.0,UEFA
Croatia,1.6732579065238329,0.6541052530878366,8.0,UEFA
Denmark,2.0317832836946175,0.7191598454498641,8.0,UEFA
United States,2.0929703549364342,1.054837015477059,14.0,CONCACAF
Uruguay,1.3454853337582944,0.4957505640356491,8.0,CONMEBOL
Switzerland,2.3765643598586763,0.46692784038080254,8.0,UEFA
Poland,2.148152363516137,0.9393682970265127,8.0,UEFA
Ecuador,1.3786676329238614,0.2821733584222525,8.0,CONMEBOL
Scotland,1.9782475180516355,0.9044331124263532,8.0,UEFA
Morocco,1.56153796859142,0.3218128537500432,21.0,CAF
Austria,1.632464760772753,0.8962397243848303,8.0,UEFA
Mexico,1.784809373001958,0.5771517343604208,16.0,CONCACAF
Serbia,1.0750213133705289,0.9722279320696389,8.0,UEFA
Venezuela,1.1936862683927798,0.7993262445432736,7.0,CONMEBOL
Ukraine,1.88446725154041,1.1751065766833821,8.0,UEFA
Sweden,1.6807502399946181,1.0984348247069553,8.0,UEFA
Hungary,2.1630531429680895,1.0038130513741326,8.0,UEFA
Norway,2.2083251232151095,0.6859453476262284,8.0,UEFA
Japan,1.6276144140216942,0.6490942018698191,8.0,AFC
Turkey,2.1055045472955696,1.0178166137743154,8.0,UEFA
Czech Republic,1.5753904633383593,0.5735436230647708,8.0,UEFA
Greece,1.9265050194447657,0.9648007316777045,8.0,UEFA
Canada,1.4791375284481203,0.4558413962428133,12.0,CONCACAF
Egypt,1.174325273944996,0.9720059918591933,16.0,CAF
Slovenia,1.1700257559132148,0.7949710595451135,8.0,UEFA
South Korea,2.051268565794209,0.34554878402888645,8.0,AFC
Georgia,1.5969971864296593,0.9777691578725007,8.0,UEFA
Senegal,2.0713683268873324,0.5686782291480006,15.0,CAF
Wales,1.5865154283662126,0.8876648047229466,8.0,UEFA
Peru,0.7489577336726575,0.7987184336600804,6.0,CONMEBOL
Bolivia,1.0699013606332552,0.7624008878857943,9.0,CONMEBOL
Israel,1.395312905528452,0.9122076090947746,8.0,UEFA
Slovakia,1.5368879153053026,0.6402928898517546,8.0,UEFA
Iran,0.7824572291084599,0.3456971440558072,5.0,AFC
Algeria,1.6133623445834675,0.753841058271209,18.0,CAF
Australia,1.9258093906806952,0.7679686153478963,8.0,AFC
Paraguay,1.827741258014154,0.688222501397397,8.0,CONMEBOL
Mali,1.3512631439826466,1.1270445832524867,11.0,CAF
Chile,0.9798774894731498,0.8804546298652278,6.0,CONMEBOL
Panama,1.419684929168095,1.0155319311587943,14.0,CONCACAF
Albania,1.3299662856261114,0.6024358055056261,8.0,UEFA
Iceland,1.9807473006116758,0.8876170080872803,8.0,UEFA
Cameroon,1.3023368817290788,0.9327626053530751,12.0,CAF
Tunisia,1.7427018299698864,0.9763093257422892,16.0,CAF
Republic of Ireland,1.8774174084594577,0.7828083529864158,8.0,UEFA
Ivory Coast,1.3505188919090767,0.6085546088053622,13.0,CAF
Nigeria,1.8654434759617378,0.9391786538064302,15.0,CAF
North Macedonia,1.5550069517940426,0.7693298182974065,8.0,UEFA
DR Congo,1.8989884407295707,0.7607564168860526,12.0,CAF
Romania,1.8673005684603883,1.1310902494389774,8.0,UEFA
Finland,1.2332704950176572,1.153928573721821,8.0,UEFA
Qatar,0.8942883958943375,1.453381464485325,10.0,AFC
Costa Rica,1.054495647490096,1.3730909543362262,12.0,CONCACAF
Montenegro,0.9440658465193171,1.4982295220757484,8.0,UEFA
South Africa,1.4146810868442845,0.9014982912046805,11.0,CAF
Bosnia and Herzegovina,2.005447766412583,1.1397297324766607,8.0,UEFA
Guadeloupe,2.1901713972558134,1.5394792276215923,3.0,CONCACAF
Uzbekistan,1.3371074253104314,0.4487361952682881,7.0,AFC
Bulgaria,0.9986401538725918,1.2318544171725596,8.0,UEFA
Burkina Faso,1.3061952246575534,0.8625962639617688,12.0,CAF
Ghana,1.4566714192895358,0.7458011769023867,8.0,CAF
Gabon,1.4685649549198418,1.0976297925786829,10.0,CAF
Kosovo,2.001088156049267,0.6332590598318839,8.0,UEFA
Jamaica,0.9822663916859152,1.1667101667734985,14.0,CONCACAF
Honduras,0.6753191733756025,0.7941636583341711,13.0,CONCACAF
Saudi Arabia,1.3595483261966437,1.0575002626564582,18.0,AFC
Northern Ireland,1.9046861100146268,0.7931970580554564,8.0,UEFA
Jordan,1.664357713409591,0.9775864041126925,14.0,AFC
Equatorial Guinea,0.946104953241956,1.7775387318364675,10.0,CAF
New Zealand,1.7174226097220382,0.9411418390822313,8.0,OFC
Guinea,1.2220713575848512,0.8571566459285833,6.0,CAF
Namibia,0.7721756729075755,1.510521553085373,6.0,CAF
Zambia,1.0273787439684279,1.134042161110672,8.0,CAF
Comoros,1.2522196007193493,1.0300818039157935,14.0,CAF
Luxembourg,0.33424760263872927,1.0569103361119305,8.0,UEFA
Cape Verde,1.3034682076469781,0.6718009849066008,9.0,CAF
Estonia,1.5066456187216328,1.2253675133049076,8.0,UEFA
Kazakhstan,0.9875182564547559,1.2389906702421736,8.0,UEFA
Uganda,1.4899003652931941,1.0800302338309067,11.0,CAF
Togo,0.43826883326324967,0.950962638356767,4.0,CAF
Oman,0.9411544061361236,0.9366137086551634,11.0,AFC
Benin,1.0889422302894978,0.8606544928946165,10.0,CAF
Armenia,1.342780570773873,1.2575930064327367,8.0,UEFA
Azerbaijan,1.3167569710888911,1.0896395280678428,8.0,UEFA
United Arab Emirates,1.5418798598956063,1.3783602004602742,13.0,AFC
Angola,1.1379628347951836,1.28260318641747,9.0,CAF
Gambia,1.3992025380609252,1.252078046631253,7.0,CAF
Guatemala,1.4704176086733167,1.3650278551870272,14.0,CONCACAF
Mauritania,0.4251002817611769,0.9018817164802454,9.0,CAF
Botswana,0.635678386482248,1.5217813151089317,7.0,CAF
Iraq,1.130031116906699,1.0629873791298725,12.0,AFC
Zimbabwe,0.9806903863399397,1.3427757524975945,11.0,CAF
Mozambique,1.0013598461274082,1.243878604956439,11.0,CAF
Belarus,1.6126923700943414,0.9435628552396934,7.0,UEFA
Kenya,0.7067641131838416,1.0680664297465734,7.0,CAF
Sierra Leone,1.164234087784341,1.5670074017462012,4.0,CAF
Palestine,1.056686922184957,0.8578567672646112,8.0,AFC
Moldova,1.2742058456427403,1.2334831361022722,8.0,UEFA
Central African Republic,0.6668582790459527,1.8215378106934812,5.0,CAF
Sudan,0.6356258311862544,1.2084247923027653,13.0,CAF
Malta,1.2607788214087237,1.0044554379640556,8.0,UEFA
Tanzania,0.994623791756703,1.411501311524872,10.0,CAF
Rwanda,0.3838622733107503,1.2010918467387959,6.0,CAF
Guinea-Bissau,0.5741132044407874,1.3734069698701183,6.0,CAF
El Salvador,0.4221195839645932,1.3450533358570338,12.0,CONCACAF
Latvia,0.9314151619142031,0.9961869486258675,8.0,UEFA
Martinique,0.0018271506889464522,1.5403504713603018,2.0,CONCACAF
Bahrain,0.9511899161255759,1.311861723562406,10.0,AFC
Cyprus,1.4546403422374943,1.2401884692387075,8.0,UEFA
North Korea,0.9472772393237384,1.7826581119847489,2.0,AFC
Congo,1.1846533033204036,1.540643136031552,3.0,CAF
Faroe Islands,1.4805929198919732,0.7474347621801193,8.0,UEFA
Indonesia,0.7796900249375792,0.9369390951442391,6.0,AFC
Niger,1.564167852430253,0.9540623863851414,8.0,CAF
Malawi,0.8192835113560593,0.9790091309196,6.0,CAF
Liberia,1.228148208571959,1.4890602239607313,5.0,CAF
Eswatini,0.48701948667155204,1.7394488724773496,4.0,CAF
Andorra,0.6504691590162619,1.0883964594618816,8.0,UEFA
Trinidad and Tobago,0.878251097838409,1.585562804988701,13.0,CONCACAF
Libya,0.955662546963308,0.3484069563104348,6.0,CAF
Ethiopia,0.99419432385172,1.2126132115340444,4.0,CAF
Lithuania,0.9566111219215861,0.9320281816910914,8.0,UEFA
Syria,0.9953728872074835,0.7777278378094638,11.0,AFC
China PR,1.0963011861583143,0.9531937121047959,3.0,AFC
San Marino,0.4355562729708286,1.2733446585525643,8.0,UEFA
Haiti,1.1193930645859305,0.9408859425400842,11.0,CONCACAF
Tajikistan,0.15725833646349535,1.575197154424329,5.0,AFC
Suriname,1.2124452554645433,0.9623706718713503,11.0,CONCACAF
Somalia,0.2854884336962092,1.141767558832842,6.0,CAF
Nicaragua,0.6621837081636904,1.296195312170572,9.0,CONCACAF
South Sudan,0.4122366786381907,0.9891326137405922,5.0,CAF
Madagascar,1.8762016122718523,0.9348600394231065,6.0,CAF
Lesotho,0.6318124770818577,0.9859770223647871,6.0,CAF
Taiwan,0.17963940325914682,2.867315150197835,5.0,AFC
Kyrgyzstan,1.696238353870289,1.6396937809604444,2.0,AFC
Djibouti,0.37911853074118884,1.574673201158411,5.0,CAF
Cuba,0.16090652572791156,1.6696418877937533,7.0,CONCACAF
Gibraltar,0.4938598283967881,1.225105142027806,8.0,UEFA
Burundi,0.14387883040800514,0.9360719657661051,6.0,CAF
Kuwait,1.3485275675625537,1.2223613550804426,10.0,AFC
Dominican Republic,0.9091387095542532,0.8682168011078385,9.0,CONCACAF
India,0.059306376157288836,2.2437654533508837,5.0,AFC
Vietnam,0.17263810492058354,1.934709796037135,4.0,AFC
Saint Martin,0.032587068031822944,2.867315150197835,4.0,CONCACAF
Chad,1.0640971237773815,1.185132130096062,8.0,CAF
Lebanon,0.26687992402828736,0.6924246625731656,8.0,AFC
Curaçao,0.9206833648590911,0.6699716645593586,11.0,CONCACAF
Montserrat,0.04183067425593666,2.759289230192666,2.0,CONCACAF
Thailand,0.4337652549455191,1.0309914498949264,8.0,AFC
Mauritius,0.48701948667155204,1.3053114247215445,4.0,CAF
Hong Kong,0.35689153486471975,1.5470463312424845,8.0,AFC
Grenada,0.313197459330358,0.9060550612273487,6.0,CONCACAF
Liechtenstein,0.2228307536334731,1.1052084113935943,8.0,UEFA
São Tomé and Príncipe,0.8783801534071634,1.2449591478227418,4.0,CAF
Afghanistan,0.11473305058768164,0.8533603436362759,3.0,AFC
Pakistan,0.07942062537955716,1.457948985200451,4.0,AFC
Seychelles,0.0034414684404991424,1.632889869204233,4.0,CAF
Turkmenistan,0.40670137067749446,1.0387128419922322,4.0,AFC
British Virgin Islands,0.1611061277648793,1.5828700318304298,6.0,CONCACAF
Saint Vincent and the Grenadines,0.17368602638647976,1.1797239718456873,7.0,CONCACAF
Malaysia,0.31282232452892483,0.6828767660783357,8.0,AFC
Bermuda,0.4535295719904315,1.8915669387090908,8.0,CONCACAF
Yemen,0.15435833271672428,1.6687714557179902,5.0,AFC
Guyana,0.23833303416810317,0.4873547240202178,4.0,CONCACAF
Nepal,0.06579673791050253,1.5733049856772552,7.0,AFC
Papua New Guinea,0.04043726905107608,0.31741115084403854,3.0,OFC
Bangladesh,0.21032913369007056,1.0512382788603387,7.0,AFC
Cambodia,0.23659729690666376,0.612822590969901,2.0,AFC
New Caledonia,0.4829287386694577,0.005059243014851872,1.0,OFC
Puerto Rico,0.2768045666238835,0.811397681814399,4.0,CONCACAF
Solomon Islands,0.005912914638986863,0.5154012049834891,2.0,OFC
Myanmar,0.20845686141792588,1.456088405716383,4.0,AFC
Singapore,0.23757924566129046,0.5724378747055279,8.0,AFC
Bahamas,0.0018331742626462757,2.867315150197835,4.0,CONCACAF
Bonaire,0.038054905730058174,0.5705460925246817,2.0,CONCACAF
Maldives,0.0022284374303798314,1.4460690213047074,7.0,AFC
Dominica,0.15683795332747236,2.22909413368341,4.0,CONCACAF
Belize,0.09137573551846796,1.143566602663775,4.0,CONCACAF
Vanuatu,0.03616667286151328,0.23270561303299614,3.0,OFC
Philippines,0.12476606288682467,2.867315150197835,4.0,AFC
Sri Lanka,0.12894954097789277,0.4663340098397795,7.0,AFC
Barbados,0.0007368838492784045,1.9160538841928718,4.0,CONCACAF
Aruba,0.0010742039764685186,0.893187229706609,4.0,CONCACAF
Fiji,0.001272981908562693,0.8752908335843868,4.0,OFC
Antigua and Barbuda,0.0034343349725103165,0.35297864263473033,4.0,CONCACAF
Saint Lucia,0.006468766348617126,2.867315150197835,4.0,CONCACAF
Anguilla,0.0013789968056795864,2.5783151408932112,5.0,CONCACAF
