source_name,window_appearances,backend_name,ui_name,backend_in_prior,source_to_backend_renamed,backend_to_ui_renamed
Afghanistan,3,Afghanistan,Afghanistan,True,False,False
Albania,4,Albania,Albania,True,False,False
Algeria,8,Algeria,Algeria,True,False,False
Andorra,5,Andorra,Andorra,True,False,False
Angola,2,Angola,Angola,True,False,False
Anguilla,2,Anguilla,Anguilla,True,False,False
Argentina,11,Argentina,Argentina,True,False,False
Armenia,3,Armenia,Armenia,True,False,False
Aruba,3,Aruba,Aruba,True,False,False
Australia,8,Australia,Australia,True,False,False
Austria,7,Austria,Austria,True,False,False
Azerbaijan,4,Azerbaijan,Azerbaijan,True,False,False
Bahamas,2,Bahamas,Bahamas,True,False,False
Bahrain,1,Bahrain,Bahrain,True,False,False
Bangladesh,2,Bangladesh,Bangladesh,True,False,False
Barbados,2,Barbados,Barbados,True,False,False
Belarus,4,Belarus,Belarus,True,False,False
Belgium,10,Belgium,Belgium,True,False,False
Belize,2,Belize,Belize,True,False,False
Benin,4,Benin,Benin,True,False,False
Bermuda,2,Bermuda,Bermuda,True,False,False
Bhutan,1,Bhutan,Bhutan,True,False,False
Bolivia,5,Bolivia,Bolivia,True,False,False
Bonaire,3,Bonaire,Bonaire,True,False,False
Bosnia and Herzegovina,8,Bosnia and Herzegovina,Bosnia and Herzegovina,True,False,False
Botswana,2,Botswana,Botswana,True,False,False
Brazil,9,Brazil,Brazil,True,False,False
British Virgin Islands,4,British Virgin Islands,British Virgin Islands,True,False,False
Bulgaria,4,Bulgaria,Bulgaria,True,False,False
Burkina Faso,4,Burkina Faso,Burkina Faso,True,False,False
Burundi,1,Burundi,Burundi,True,False,False
Cambodia,2,Cambodia,Cambodia,True,False,False
Cameroon,2,Cameroon,Cameroon,True,False,False
Canada,9,Canada,Canada,True,False,False
Cape Verde,8,Cape Verde,Cape Verde Islands,True,False,True
Cayman Islands,3,Cayman Islands,Cayman Islands,True,False,False
Central African Republic,2,Central African Republic,Central African Republic,True,False,False
Chile,4,Chile,Chile,True,False,False
China,4,China,China PR,True,False,True
Colombia,9,Colombia,Colombia,True,False,False
Comoros,3,Comoros,Comoros,True,False,False
Costa Rica,4,Costa Rica,Costa Rica,True,False,False
Croatia,8,Croatia,Croatia,True,False,False
Cuba,2,Cuba,Cuba,True,False,False
Curaçao,7,Curaçao,Curacao,True,False,True
Cyprus,4,Cyprus,Cyprus,True,False,False
Czech Republic,7,Czech Republic,Czech Republic,True,False,False
DR Congo,8,DR Congo,Congo DR,True,False,True
Denmark,4,Denmark,Denmark,True,False,False
Dominica,2,Dominica,Dominica,True,False,False
Dominican Republic,3,Dominican Republic,Dominican Republic,True,False,False
Ecuador,8,Ecuador,Ecuador,True,False,False
Egypt,9,Egypt,Egypt,True,False,False
El Salvador,4,El Salvador,El Salvador,True,False,False
England,12,England,England,True,False,False
Equatorial Guinea,3,Equatorial Guinea,Equatorial Guinea,True,False,False
Estonia,4,Estonia,Estonia,True,False,False
Ethiopia,2,Ethiopia,Ethiopia,True,False,False
Faroe Islands,3,Faroe Islands,Faroe Islands,True,False,False
Fiji,1,Fiji,Fiji,True,False,False
Finland,4,Finland,Finland,True,False,False
France,12,France,France,True,False,False
Gabon,2,Gabon,Gabon,True,False,False
Gambia,2,Gambia,Gambia,True,False,False
Georgia,4,Georgia,Georgia,True,False,False
Germany,8,Germany,Germany,True,False,False
Ghana,8,Ghana,Ghana,True,False,False
Gibraltar,2,Gibraltar,Gibraltar,True,False,False
Greece,4,Greece,Greece,True,False,False
Grenada,3,Grenada,Grenada,True,False,False
Guatemala,3,Guatemala,Guatemala,True,False,False
Guinea,3,Guinea,Guinea,True,False,False
Guinea-Bissau,2,Guinea-Bissau,Guinea-Bissau,True,False,False
Guyana,2,Guyana,Guyana,True,False,False
Haiti,7,Haiti,Haiti,True,False,False
Honduras,2,Honduras,Honduras,True,False,False
