team,name,confed,prior_matches,stage2_matches,stage1_matches,new_matches,total_matches,prior_weight,new_weight,prior_off,prior_xG_scaled,new_xG,pooled_xG_pre_normalization,xG,prior_def,prior_xGA_scaled,new_xGA,pooled_xGA_pre_normalization,xGA
Afghanistan,Afghanistan,AFC,28.0,3.0,25.0,3.0,31.0,0.9032258064516129,0.0967741935483871,0.1147330505876816,0.1147330505876816,0.0184868576210016,0.1054189028812287,0.10434318550292544,0.8533603436362759,0.8533603436362759,1.8362249030634823,0.9484762687421345,0.9411108994195614
Albania,Albania,UEFA,52.0,8.0,44.0,4.0,56.0,0.9285714285714286,0.07142857142857142,1.3299662856261114,1.3299662856261114,0.5143359178569397,1.2717069736425992,1.258730199513219,0.6024358055056261,0.6024358055056261,1.3223246616504376,0.6538564380873984,0.6487789318711988
Algeria,Algeria,CAF,75.0,18.0,57.0,8.0,83.0,0.9036144578313253,0.0963855421686747,1.6133623445834675,1.6133623445834675,1.5506277249203315,1.6073156342544905,1.590914236469749,0.753841058271209,0.753841058271209,0.6597804299166717,0.7447749736105306,0.7389914417250928
Andorra,Andorra,UEFA,49.0,8.0,41.0,5.0,54.0,0.9074074074074074,0.09259259259259259,0.6504691590162619,0.6504691590162619,0.1026981278596633,0.5997496190943545,0.593629643736449,1.0883964594618816,1.0883964594618816,0.9250203811200288,1.0732690448005988,1.0649346002204245
Angola,Angola,CAF,55.0,9.0,46.0,2.0,57.0,0.9649122807017544,0.03508771929824561,1.1379628347951836,1.1379628347951836,0.3736542421937478,1.1111449894407472,1.099806624666617,1.28260318641747,1.28260318641747,0.8325434087375551,1.2668116152708064,1.2569742205819872
Anguilla,Anguilla,CONCACAF,24.0,5.0,19.0,2.0,26.0,0.9230769230769231,0.07692307692307693,0.0013789968056795,0.0013789968056795,0.0006138689761522,0.0013201408187927847,0.0013066698151893528,2.5783151408932112,2.5783151408932112,2.8370273624277367,2.5982160810112513,2.578039697429324
Antigua and Barbuda,Antigua and Barbuda,CONCACAF,27.0,4.0,23.0,0.0,27.0,1.0,0.0,0.0034343349725103,0.0034343349725103,0.0034343349725103,0.0034343349725103,0.0033992902726332178,0.3529786426347303,0.3529786426347303,0.3529786426347303,0.3529786426347303,0.3502375955978516
Argentina,Argentina,CONMEBOL,67.0,7.0,60.0,11.0,78.0,0.8589743589743589,0.14102564102564102,2.058661038947033,2.058661038947033,2.1482996237035623,2.071302377822954,2.0501663585451273,0.397346923648422,0.397346923648422,0.804353559055788,0.4547452953084351,0.45121398181327393
Armenia,Armenia,UEFA,49.0,8.0,41.0,3.0,52.0,0.9423076923076923,0.057692307692307696,1.342780570773873,1.342780570773873,1.0043662945176184,1.3232566702206274,1.3097538717925716,1.2575930064327367,1.2575930064327367,1.2655975826800834,1.2580548089085453,1.2482854149858704
Aruba,Aruba,CONCACAF,24.0,4.0,20.0,2.0,26.0,0.9230769230769231,0.07692307692307693,0.0010742039764685,0.0010742039764685,0.6322037156639355,0.04962262795242751,0.049116267880499574,0.893187229706609,0.893187229706609,1.2174570606491202,0.918131062856033,0.9110013384893606
Australia,Australia,AFC,57.0,8.0,49.0,8.0,65.0,0.8769230769230769,0.12307692307692308,1.9258093906806952,1.9258093906806952,1.5499703417824968,1.8795522769701478,1.8603729173628467,0.7679686153478963,0.7679686153478963,0.8051714091742957,0.7725474207419147,0.7665482225959119
Austria,Austria,UEFA,57.0,8.0,49.0,7.0,64.0,0.890625,0.109375,1.632464760772753,1.632464760772753,1.8331861007237051,1.6544186573298885,1.6375366100685544,0.8962397243848303,0.8962397243848303,0.839068977577669,0.8899866739527971,0.8830755041514438
Azerbaijan,Azerbaijan,UEFA,49.0,8.0,41.0,4.0,53.0,0.9245283018867925,0.07547169811320754,1.3167569710888911,1.3167569710888911,0.3542758043462884,1.2441168830328455,1.231421644179651,1.0896395280678428,1.0896395280678428,2.572431713538589,1.2015483722543143,1.1922177776867493
Bahamas,Bahamas,CONCACAF,26.0,4.0,22.0,2.0,28.0,0.9285714285714286,0.07142857142857142,0.0018331742626462,0.0018331742626462,0.0007087156849139,0.0017528557928081785,0.0017349692716393168,2.867315150197835,2.867315150197835,2.8370273624277367,2.865151736785685,2.842902470881937
Bahrain,Bahrain,AFC,73.0,10.0,63.0,1.0,74.0,0.9864864864864865,0.013513513513513514,0.951189916125576,0.951189916125576,0.0037319545266939,0.9383864301580237,0.9288109312399385,1.311861723562406,1.311861723562406,1.2624124924860791,1.3111934907100231,1.3010114496503762
Bangladesh,Bangladesh,AFC,50.0,7.0,43.0,2.0,52.0,0.9615384615384616,0.038461538461538464,0.2103291336900705,0.2103291336900705,0.0952153948926015,0.20590168219786018,0.20380061671806043,1.0512382788603387,1.0512382788603387,0.7093961243332452,1.0380905036862198,1.0300292372087305
Barbados,Barbados,CONCACAF,34.0,4.0,30.0,2.0,36.0,0.9444444444444444,0.05555555555555555,0.0007368838492784,0.0007368838492784,0.0013923256719676,0.0007732972838722444,0.000765406390454455,1.916053884192872,1.916053884192872,2.8370273624277367,1.967219077428142,1.9519426856815296
Belarus,Belarus,UEFA,47.0,7.0,40.0,4.0,51.0,0.9215686274509803,0.0784313725490196,1.6126923700943414,1.6126923700943414,1.7317643091744412,1.6220313457084667,1.6054797856083103,0.9435628552396934,0.9435628552396934,1.0614794780843555,0.9528112178157452,0.9454121855519114
Belgium,Belgium,UEFA,60.0,8.0,52.0,10.0,70.0,0.8571428571428571,0.14285714285714285,1.753427919452076,1.753427919452076,2.297625872669307,1.8311704841973948,1.8124848229103823,0.8428857059157392,0.8428857059157392,0.8742695213190829,0.8473691081162169,0.8407888839825205
Belize,Belize,CONCACAF,32.0,4.0,28.0,2.0,34.0,0.9411764705882353,0.058823529411764705,0.0913757355184679,0.0913757355184679,0.2334119704617078,0.09973080816218788,0.09871313333765319,1.143566602663775,1.143566602663775,2.8370273624277367,1.2431819414734198,1.233528042439922
Benin,Benin,CAF,45.0,10.0,35.0,4.0,49.0,0.9183673469387755,0.08163265306122448,1.0889422302894978,1.0889422302894978,1.2463259247940153,1.1017898788204787,1.0905469756267208,0.8606544928946165,0.8606544928946165,0.777755821238465,0.8538872543920736,0.8472564137525115
Bermuda,Bermuda,CONCACAF,35.0,8.0,27.0,2.0,37.0,0.9459459459459459,0.05405405405405406,0.4535295719904315,0.4535295719904315,1.263959515186029,0.49733659594695023,0.492261665317772,1.8915669387090908,1.8915669387090908,0.2158567542217163,1.8009880098178817,1.7870024813708425
Bhutan,Bhutan,AFC,18.0,5.0,13.0,1.0,19.0,0.9473684210526315,0.05263157894736842,0.0012199744600042,0.0012199744600042,0.0019535787374116,0.0012585852114466948,0.00124574233462835,2.867315150197835,2.867315150197835,1.1043554977400398,2.7745278000684777,2.752982272134129
Bolivia,Bolivia,CONMEBOL,58.0,9.0,49.0,5.0,63.0,0.9206349206349206,0.07936507936507936,1.0699013606332552,1.0699013606332552,1.1464347148603358,1.0759754363655634,1.0649959493486105,0.7624008878857943,0.7624008878857943,1.3372001849407182,0.8080198797155502,0.8017452210548978
Bonaire,Bonaire,CONCACAF,20.0,2.0,18.0,3.0,23.0,0.8695652173913043,0.13043478260869565,0.0380549057300581,0.0380549057300581,0.1332000738800044,0.050465145053964135,0.04995018775456684,0.5705460925246817,0.5705460925246817,2.8370273624277367,0.866174084251167,0.8594478305341265
Bosnia and Herzegovina,Bosnia and Herzegovina,UEFA,47.0,8.0,39.0,8.0,55.0,0.8545454545454545,0.14545454545454545,2.005447766412583,2.005447766412583,1.714237687387652,1.9630899367362293,1.9430581407072136,1.1397297324766609,1.1397297324766609,1.1602031196529246,1.1427076797022993,1.1338340110970637
Botswana,Botswana,CAF,42.0,7.0,35.0,2.0,44.0,0.9545454545454546,0.045454545454545456,0.635678386482248,0.635678386482248,0.5934604007858187,0.6337593871324102,0.6272923687157108,1.5217813151089317,1.5217813151089317,1.1461686736121257,1.504708013222713,1.4930232398601508
