team,xG,xGA,matches
Afghanistan,0.10434318550292544,0.9411108994195614,31.0
Australia,1.8603729173628467,0.7665482225959119,65.0
Bahrain,0.9288109312399385,1.3010114496503762,74.0
Bangladesh,0.20380061671806043,1.0300292372087305,52.0
Bhutan,0.00124574233462835,2.752982272134129,19.0
Brunei,0.0010548956148290363,2.845049084360021,28.0
Cambodia,0.22578490140011445,0.5794124766780858,42.0
China,1.0522345597672984,0.9345977162051217,50.0
East Timor,0.0011347878599612224,2.845049084360021,25.0
Hong Kong,0.3464936574435307,1.5201164818281585,52.0
India,0.054223533122084874,2.1400488799706023,51.0
Indonesia,0.7661118873928331,0.9116326826781744,73.0
Iran,0.8780490871854452,0.3970686324401887,63.0
Iraq,1.1244872221246283,1.0533352134675351,75.0
Japan,1.7100683441572986,0.6312165257061594,70.0
Jordan,1.6910653989597306,0.9983726943199029,76.0
Kuwait,1.3226157228250701,1.2387099016390883,62.0
Kyrgyzstan,1.5693613371732702,1.5424421225627416,45.0
Laos,0.004394137332700931,2.835099616993763,29.0
Lebanon,0.26415662332650586,0.6870476557507672,52.0
Malaysia,0.3096302175953503,0.677573903213204,61.0
Maldives,0.0021459558645627866,1.3725792915839052,37.0
Myanmar,0.20204213355480288,1.4733273389991426,48.0
Nepal,0.06512533370811069,1.5610875241988285,48.0
North Korea,0.937611016658153,1.7688149239120927,18.0
Oman,0.9193259619969142,0.9457148313270467,76.0
Pakistan,0.09380846898312727,1.2667920835914304,24.0
Palestine,1.0005519882341665,0.8143256684742364,46.0
Philippines,0.12094039085854404,2.831006725140528,48.0
Qatar,0.8875945435427187,1.407340434912982,84.0
Saudi Arabia,1.312145235900801,1.035045971446159,89.0
Singapore,0.2477367995666415,0.5818495626334245,57.0
South Korea,1.8970874013442247,0.41976687546707353,73.0
Sri Lanka,0.12763371185841849,0.462712704464684,34.0
Syria,0.9967900209687811,0.7824854864217047,60.0
Taiwan,0.17780632377688727,2.845049084360021,28.0
Tajikistan,0.14891199615231582,1.6174011513691946,46.0
Thailand,0.44121951055248043,1.0102622516489734,76.0
Turkmenistan,0.4025513015697705,1.0306467427618125,24.0
United Arab Emirates,1.5261461829627874,1.3676565779548955,68.0
Uzbekistan,1.3410673509572084,0.5148799444983009,62.0
Vietnam,0.16956803627923628,1.8907101328618565,66.0
Yemen,0.15278322676844494,1.6558126516957963,29.0
