team,xG,xGA,matches
Anguilla,0.0013066698151893528,2.578039697429324,26.0
Antigua and Barbuda,0.0033992902726332178,0.3502375955978516,27.0
Aruba,0.049116267880499574,0.9110013384893606,26.0
Bahamas,0.0017349692716393168,2.842902470881937,28.0
Barbados,0.000765406390454455,1.9519426856815296,36.0
Belize,0.09871313333765319,1.233528042439922,34.0
Bermuda,0.492261665317772,1.7870024813708425,37.0
Bonaire,0.04995018775456684,0.8594478305341265,23.0
British Virgin Islands,0.14538830931566482,1.4193653453068158,28.0
Canada,1.509882343474302,0.48234440407040524,80.0
Cayman Islands,0.012845844055721183,1.3358112951695291,25.0
Costa Rica,1.0557222938716082,1.3543191002299908,78.0
Cuba,0.16968808955234502,1.6010182497094436,46.0
Curaçao,0.9501674374459266,0.7163137994986667,48.0
Dominica,0.14423781211486292,2.0916217088090794,28.0
Dominican Republic,0.888550925752282,0.996302888138837,41.0
El Salvador,0.41731212111288385,1.2933429414673396,78.0
Grenada,0.2880480856953219,0.9795449513226007,42.0
Guadeloupe,2.1678224126894947,1.5275244392420158,34.0
Guatemala,1.4259289256682166,1.3492982042585353,72.0
Guyana,0.23884274500555025,0.5583991818680812,40.0
Haiti,1.1215183999124252,0.936087869219242,53.0
Honduras,0.6805375400579586,0.8040216465215796,72.0
Jamaica,0.9364960951695428,1.134451874903056,80.0
Martinique,0.0017499741164348412,1.4265092519056137,27.0
Mexico,1.8223502048044842,0.5466592174654175,104.0
Montserrat,0.04140382497166781,2.737862037000874,24.0
Nicaragua,0.6293737598470724,1.2609269754804682,50.0
Panama,1.4019021710182284,1.0226890619361406,89.0
Puerto Rico,0.2569690282033007,0.8438893849921709,32.0
Saint Kitts and Nevis,0.261563416591253,1.8629474066132152,41.0
Saint Lucia,0.062465872203607234,2.7883082547889977,29.0
Saint Martin,0.04459717305316208,2.7069007205558777,20.0
Saint Vincent and the Grenadines,0.16956089167020452,1.2082474921411341,42.0
Sint Maarten,0.0007010795396345949,2.7961821315135236,23.0
Suriname,1.219364449970674,0.9711269438483199,41.0
Trinidad and Tobago,0.8862075655920723,1.5615621588080624,64.0
Turks and Caicos Islands,0.0003776001635597569,2.845049084360021,20.0
United States,2.1003682972654976,1.0358237025319939,94.0
United States Virgin Islands,0.00042335845811966095,2.770003610684306,20.0
