team,xG,xGA,matches
Argentina,2.0501663585451273,0.45121398181327393,78.0
Bolivia,1.0649959493486105,0.8017452210548978,63.0
Brazil,2.0023842674948127,0.5336051467137455,71.0
Chile,1.0682800783902227,0.8891173990409869,63.0
Colombia,2.026835084618139,0.4679111458487318,73.0
Ecuador,1.380027116111984,0.354212534882729,73.0
Paraguay,1.8139476279608715,0.6770806890065494,64.0
Peru,0.8018082598779049,0.8179717703412429,64.0
Uruguay,1.3467988129982296,0.5261680058917448,69.0
Venezuela,1.1965398956991025,0.7952196390006405,60.0
