team,xG,xGA,matches
Albania,1.258730199513219,0.6487789318711988,56.0
Andorra,0.593629643736449,1.0649346002204245,54.0
Armenia,1.3097538717925716,1.2482854149858704,52.0
Austria,1.6375366100685544,0.8830755041514438,64.0
Azerbaijan,1.231421644179651,1.1922177776867493,53.0
Belarus,1.6054797856083103,0.9454121855519114,51.0
Belgium,1.8124848229103823,0.8407888839825205,70.0
Bosnia and Herzegovina,1.9430581407072136,1.1338340110970637,55.0
Bulgaria,0.985478469915167,1.237813722803779,54.0
Croatia,1.725769727523385,0.6946641881306276,70.0
Cyprus,1.396315713453696,1.2189471028019545,53.0
Czech Republic,1.6322573769759545,0.6374144367842237,64.0
Denmark,2.003672601351729,0.7080644847871447,64.0
England,2.135605181100384,0.2774419492028674,77.0
Estonia,1.4614505267489872,1.2055139145008718,58.0
Faroe Islands,1.4221779703263038,0.7720534373059833,52.0
Finland,1.2638378347082608,1.13136819644728,58.0
France,2.5664510297844183,0.6574654374678334,75.0
Georgia,1.588444464287742,0.9542327456082431,55.0
Germany,1.9205704382838005,0.7257079068545071,69.0
Gibraltar,0.4768319295381771,1.18407474274321,51.0
Greece,1.8127705471524438,0.9479645100201615,53.0
Hungary,2.083319383610402,0.9788734553754607,59.0
Iceland,1.8701513495304194,0.9058797924336716,63.0
Israel,1.4084961438871535,0.8968427845705095,49.0
Italy,1.9759844525012265,0.7058650774816847,65.0
Kazakhstan,1.0201877998522861,1.184859794309348,53.0
Kosovo,1.953430224712185,0.6616934303063525,54.0
Latvia,0.9248052450315212,1.0123472615347309,52.0
Liechtenstein,0.22402807486019327,1.0959081441182545,52.0
Lithuania,0.9450359257166724,0.9530256194977315,54.0
Luxembourg,0.3551390148441705,1.0141066336081566,51.0
Malta,1.2793466270459617,0.9858571143383059,50.0
Moldova,1.242684509402262,1.259510178345885,54.0
Montenegro,0.9697694566211043,1.4325557701050926,53.0
Netherlands,2.0959196857269,0.6713128869401226,70.0
North Macedonia,1.4314410574269754,0.7523574642757298,57.0
Northern Ireland,1.8592489633520364,0.7972534588475262,51.0
Norway,2.2240330017589143,0.7467816284915147,59.0
Poland,2.1026631875011184,0.9606360525177866,62.0
Portugal,2.1996923658531347,0.923945355875532,72.0
Republic of Ireland,1.804196406153551,0.7627768046031307,54.0
Romania,1.7922253521623077,1.1260682664264656,57.0
San Marino,0.4401231409687723,1.216966472932701,53.0
Scotland,1.8514934692812193,0.898365465043406,62.0
Serbia,1.07491347069502,0.9761581665348362,58.0
Slovakia,1.5490499920181777,0.666059744368666,60.0
Slovenia,1.167856124078468,0.8232208093740933,58.0
Spain,2.570978489553765,0.45008976511802934,76.0
Sweden,1.7484806306138203,1.103684481735865,64.0
Switzerland,2.2956715081794266,0.5223778606446415,72.0
Turkey,2.0558916076089866,0.9765810243322741,65.0
Ukraine,1.9009204186984632,1.1297575213433049,59.0
Wales,1.6072600920845495,0.8995913776428799,59.0
