rank,name,confed,off,def,spi
1,Spain,UEFA,2.570978489553765,0.4500897651180293,71.14206504065041
2,England,UEFA,2.135605181100384,0.2774419492028674,69.29680487804877
3,France,UEFA,2.5664510297844183,0.6574654374678334,68.6580731707317
4,Switzerland,UEFA,2.2956715081794266,0.5223778606446415,67.74364227642276
5,Argentina,CONMEBOL,2.0501663585451277,0.4512139818132739,66.20778048780488
6,Colombia,CONMEBOL,2.026835084618139,0.4679111458487318,65.79249593495935
7,South Korea,AFC,1.8970874013442247,0.4197668754670735,65.02476422764228
8,Brazil,CONMEBOL,2.0023842674948127,0.5336051467137455,64.72755284552846
9,Senegal,CAF,2.042849063093572,0.5956417401343526,64.3459105691057
10,Norway,UEFA,2.2240330017589143,0.7467816284915147,64.34176422764227
11,Netherlands,UEFA,2.0959196857269,0.6713128869401226,63.961821138211384
12,Morocco,CAF,1.6356433572399265,0.3789625558807498,62.815796747967475
13,Mexico,CONCACAF,1.822350204804484,0.5466592174654175,62.63073983739837
14,Kosovo,UEFA,1.953430224712185,0.6616934303063525,62.60956097560976
15,Denmark,UEFA,2.003672601351729,0.7080644847871447,62.52362601626017
16,Italy,UEFA,1.9759844525012265,0.7058650774816847,62.226951219512195
17,Portugal,UEFA,2.1996923658531347,0.923945355875532,61.91158536585366
18,Germany,UEFA,1.9205704382838005,0.7257079068545071,61.43476422764228
19,Paraguay,CONMEBOL,1.8139476279608715,0.6770806890065494,60.86355284552846
20,Poland,UEFA,2.1026631875011184,0.9606360525177866,60.50722764227642
21,Japan,AFC,1.7100683441572986,0.6312165257061594,60.329569105691064
22,Australia,AFC,1.8603729173628467,0.7665482225959119,60.23074796747968
23,Ecuador,CONMEBOL,1.380027116111984,0.354212534882729,60.14255284552845
24,Hungary,UEFA,2.083319383610402,0.9788734553754608,60.07147154471545
25,Canada,CONCACAF,1.509882343474302,0.4823444040704052,59.969422764227645
26,Northern Ireland,UEFA,1.8592489633520364,0.7972534588475262,59.857951219512195
27,Turkey,UEFA,2.0558916076089866,0.976581024332274,59.8200162601626
28,Croatia,UEFA,1.725769727523385,0.6946641881306276,59.70344715447155
29,Rep of Ireland,UEFA,1.804196406153551,0.7627768046031307,59.70125203252032
30,Congo DR,CAF,1.8145781267540853,0.7728078971344047,59.66413821138211
31,USA,CONCACAF,2.1003682972654976,1.035823702531994,59.56018699186993
32,Czech Republic,UEFA,1.6322573769759543,0.6374144367842237,59.372439024390246
33,Belgium,UEFA,1.8124848229103825,0.8407888839825205,58.8059756097561
34,Iceland,UEFA,1.8701513495304196,0.9058797924336716,58.64395934959349
35,Scotland,UEFA,1.8514934692812195,0.898365465043406,58.55014634146342
36,Nigeria,CAF,1.870375155601738,0.9345061075685772,58.32782113821139
37,Ivory Coast,CAF,1.4753258687864048,0.5904751080099607,58.13574796747968
38,Slovakia,UEFA,1.5490499920181775,0.666059744368666,58.04273983739837
39,Algeria,CAF,1.590914236469749,0.7389914417250928,57.63173983739838
40,Uzbekistan,AFC,1.3410673509572084,0.5148799444983009,57.514910569105695
41,Greece,UEFA,1.812770547152444,0.9479645100201616,57.496276422764225
42,Uruguay,CONMEBOL,1.3467988129982296,0.5261680058917448,57.4240487804878
43,Madagascar,CAF,1.7799937912609494,0.9788635220689236,56.78930081300814
44,Bosnia and Herzegovina,UEFA,1.9430581407072136,1.1338340110970635,56.70775609756097
45,Austria,UEFA,1.6375366100685544,0.8830755041514438,56.31397560975609
46,Ukraine,UEFA,1.9009204186984632,1.1297575213433049,56.31141463414634
47,Wales,UEFA,1.6072600920845497,0.8995913776428799,55.77044715447155
48,Ghana,CAF,1.4454619129559596,0.7583651185045542,55.67848780487805
49,North Macedonia,UEFA,1.4314410574269754,0.7523574642757298,55.53537398373983
50,Tunisia,CAF,1.653717126412306,0.9637166085689322,55.51834959349594
51,Jordan,AFC,1.6910653989597306,0.9983726943199028,55.5059756097561
52,Belarus,UEFA,1.6054797856083105,0.9454121855519114,55.17270731707317
53,Romania,UEFA,1.7922253521623075,1.1260682664264656,55.154528455284556
54,Faroe Islands,UEFA,1.4221779703263038,0.7720534373059833,55.148837398373985
55,Sweden,UEFA,1.7484806306138203,1.103684481735865,54.87896747967479
56,Georgia,UEFA,1.588444464287742,0.9542327456082432,54.85851219512195
57,Albania,UEFA,1.258730199513219,0.6487789318711988,54.75434959349593
58,New Zealand,OFC,1.6296101947209225,1.0129967179634012,54.63228455284553
59,Guadeloupe,CONCACAF,2.1678224126894947,1.5275244392420158,54.59784552845529
60,Libya,CAF,0.9443063022835604,0.3693755419494265,54.4509268292683
61,Cape Verde Islands,CAF,1.286836005198417,0.7094372256267328,54.31570731707317
62,Israel,UEFA,1.4084961438871535,0.8968427845705095,53.44756910569105
63,Iran,AFC,0.8780490871854452,0.3970686324401887,53.155138211382116
64,South Africa,CAF,1.3650706931359726,0.8904362606255329,53.028032520325205
65,Niger,CAF,1.4413604474505568,0.9700604454816388,52.9399674796748
66,Burkina Faso,CAF,1.27990973125422,0.8764692551235175,52.17253658536586
67,Uganda,CAF,1.4746970984114285,1.0716432854022877,52.09437398373984
68,Venezuela,CONMEBOL,1.1965398956991025,0.7952196390006405,52.07351219512195
69,Panama,CONCACAF,1.4019021710182284,1.0226890619361406,51.81709756097561
70,Cameroon,CAF,1.2840683764217848,0.9186686000634698,51.638235772357724
71,Gabon,CAF,1.467160958360888,1.120199871891277,51.449918699186995
72,Slovenia,UEFA,1.167856124078468,0.8232208093740933,51.372821138211386
73,Egypt,CAF,1.2736992124786672,0.9612068459802136,51.035260162601624
74,New Caledonia,OFC,0.4542232863872631,0.1144997996168839,51.017528455284555
75,Malta,UEFA,1.2793466270459617,0.985857114338306,50.760024390243906
76,Guinea,CAF,1.1790840117108237,0.8858755837867471,50.7419593495935
77,Saudi Arabia,AFC,1.312145235900801,1.035045971446159,50.59717073170732
78,Bolivia,CONMEBOL,1.0649959493486103,0.8017452210548978,50.338991869918694
79,Estonia,UEFA,1.4614505267489872,1.2055139145008718,50.334146341463416
80,Suriname,CONCACAF,1.219364449970674,0.97112694384832,50.18542276422765
81,Benin,CAF,1.0905469756267208,0.8472564137525115,50.06247154471545
82,Curacao,CONCACAF,0.9501674374459266,0.7163137994986667,49.88869105691057
83,Syria,AFC,0.9967900209687812,0.7824854864217047,49.65515447154472
84,Mali,CAF,1.3136541154037835,1.1255255604019467,49.52592682926829
85,Cyprus,UEFA,1.396315713453696,1.2189471028019545,49.42656097560976
86,Haiti,CONCACAF,1.1215183999124252,0.936087869219242,49.3649837398374
87,Gambia,CAF,1.4165160297875588,1.2437405477040795,49.34904065040651
88,Palestine,AFC,1.0005519882341665,0.8143256684742364,49.3239674796748
89,United Arab Emirates,AFC,1.5261461829627874,1.3676565779548957,49.24630894308943
