team,name,confed,incoming_prior_matches,stage3_matches,prior_matches
Afghanistan,Afghanistan,AFC,28.0,3.0,31.0
Albania,Albania,UEFA,52.0,4.0,56.0
Algeria,Algeria,CAF,75.0,8.0,83.0
Andorra,Andorra,UEFA,49.0,5.0,54.0
Angola,Angola,CAF,55.0,2.0,57.0
Anguilla,Anguilla,CONCACAF,24.0,2.0,26.0
Antigua and Barbuda,Antigua and Barbuda,CONCACAF,27.0,0.0,27.0
Argentina,Argentina,CONMEBOL,67.0,11.0,78.0
Armenia,Armenia,UEFA,49.0,3.0,52.0
Aruba,Aruba,CONCACAF,24.0,2.0,26.0
Australia,Australia,AFC,57.0,8.0,65.0
Austria,Austria,UEFA,57.0,7.0,64.0
Azerbaijan,Azerbaijan,UEFA,49.0,4.0,53.0
Bahamas,Bahamas,CONCACAF,26.0,2.0,28.0
Bahrain,Bahrain,AFC,73.0,1.0,74.0
Bangladesh,Bangladesh,AFC,50.0,2.0,52.0
Barbados,Barbados,CONCACAF,34.0,2.0,36.0
Belarus,Belarus,UEFA,47.0,4.0,51.0
Belgium,Belgium,UEFA,60.0,10.0,70.0
Belize,Belize,CONCACAF,32.0,2.0,34.0
Benin,Benin,CAF,45.0,4.0,49.0
Bermuda,Bermuda,CONCACAF,35.0,2.0,37.0
Bhutan,Bhutan,AFC,18.0,1.0,19.0
Bolivia,Bolivia,CONMEBOL,58.0,5.0,63.0
Bonaire,Bonaire,CONCACAF,20.0,3.0,23.0
Bosnia and Herzegovina,Bosnia and Herzegovina,UEFA,47.0,8.0,55.0
Botswana,Botswana,CAF,42.0,2.0,44.0
Brazil,Brazil,CONMEBOL,62.0,9.0,71.0
British Virgin Islands,British Virgin Islands,CONCACAF,24.0,4.0,28.0
Brunei,Brunei,AFC,28.0,0.0,28.0
Bulgaria,Bulgaria,UEFA,50.0,4.0,54.0
Burkina Faso,Burkina Faso,CAF,66.0,3.0,69.0
Burundi,Burundi,CAF,31.0,1.0,32.0
Cambodia,Cambodia,AFC,40.0,2.0,42.0
Cameroon,Cameroon,CAF,60.0,2.0,62.0
Canada,Canada,CONCACAF,71.0,9.0,80.0
Cape Verde,Cape Verde Islands,CAF,54.0,8.0,62.0
Cayman Islands,Cayman Islands,CONCACAF,22.0,3.0,25.0
Central African Republic,Central African Republic,CAF,35.0,2.0,37.0
Chad,Chad,CAF,25.0,0.0,25.0
Chile,Chile,CONMEBOL,59.0,4.0,63.0
China,China PR,AFC,46.0,4.0,50.0
Colombia,Colombia,CONMEBOL,64.0,9.0,73.0
Comoros,Comoros,CAF,55.0,3.0,58.0
Congo,Congo,CAF,29.0,0.0,29.0
Costa Rica,Costa Rica,CONCACAF,74.0,4.0,78.0
Croatia,Croatia,UEFA,62.0,8.0,70.0
Cuba,Cuba,CONCACAF,44.0,2.0,46.0
Curaçao,Curacao,CONCACAF,41.0,7.0,48.0
Cyprus,Cyprus,UEFA,49.0,4.0,53.0
Czech Republic,Czech Republic,UEFA,57.0,7.0,64.0
DR Congo,Congo DR,CAF,56.0,8.0,64.0
Denmark,Denmark,UEFA,60.0,4.0,64.0
Djibouti,Djibouti,CAF,26.0,0.0,26.0
Dominica,Dominica,CONCACAF,26.0,2.0,28.0
Dominican Republic,Dominican Republic,CONCACAF,38.0,3.0,41.0
East Timor,Timor-Leste,AFC,25.0,0.0,25.0
