team,name,confed,stage1_matches,stage2_matches,prior_matches
Afghanistan,Afghanistan,AFC,25.0,3.0,28.0
Australia,Australia,AFC,49.0,8.0,57.0
Bahrain,Bahrain,AFC,63.0,10.0,73.0
Bangladesh,Bangladesh,AFC,43.0,7.0,50.0
Bhutan,Bhutan,AFC,13.0,5.0,18.0
Brunei,Brunei,AFC,23.0,5.0,28.0
Cambodia,Cambodia,AFC,38.0,2.0,40.0
China,China PR,AFC,43.0,3.0,46.0
East Timor,Timor-Leste,AFC,21.0,4.0,25.0
Hong Kong,Hong Kong,AFC,43.0,8.0,51.0
India,India,AFC,42.0,5.0,47.0
Indonesia,Indonesia,AFC,63.0,6.0,69.0
Iran,Iran,AFC,51.0,5.0,56.0
Iraq,Iraq,AFC,56.0,12.0,68.0
Japan,Japan,AFC,55.0,8.0,63.0
Jordan,Jordan,AFC,55.0,14.0,69.0
Kuwait,Kuwait,AFC,51.0,10.0,61.0
Kyrgyzstan,Kyrgyzstan,AFC,39.0,2.0,41.0
Laos,Laos,AFC,25.0,4.0,29.0
Lebanon,Lebanon,AFC,44.0,8.0,52.0
Malaysia,Malaysia,AFC,53.0,8.0,61.0
Maldives,Maldives,AFC,28.0,7.0,35.0
Myanmar,Myanmar,AFC,43.0,4.0,47.0
Nepal,Nepal,AFC,41.0,7.0,48.0
North Korea,North Korea,AFC,16.0,2.0,18.0
Oman,Oman,AFC,64.0,11.0,75.0
Pakistan,Pakistan,AFC,17.0,4.0,21.0
Palestine,Palestine,AFC,36.0,8.0,44.0
Philippines,Philippines,AFC,43.0,4.0,47.0
Qatar,Qatar,AFC,69.0,10.0,79.0
Saudi Arabia,Saudi Arabia,AFC,63.0,18.0,81.0
Singapore,Singapore,AFC,48.0,8.0,56.0
South Korea,South Korea,AFC,58.0,8.0,66.0
Sri Lanka,Sri Lanka,AFC,27.0,7.0,34.0
Syria,Syria,AFC,48.0,11.0,59.0
Taiwan,Chinese Taipei,AFC,23.0,5.0,28.0
Tajikistan,Tajikistan,AFC,39.0,5.0,44.0
Thailand,Thailand,AFC,66.0,8.0,74.0
Turkmenistan,Turkmenistan,AFC,20.0,4.0,24.0
United Arab Emirates,United Arab Emirates,AFC,55.0,13.0,68.0
Uzbekistan,Uzbekistan,AFC,48.0,7.0,55.0
Vietnam,Vietnam,AFC,61.0,4.0,65.0
Yemen,Yemen,AFC,24.0,5.0,29.0
Algeria,Algeria,CAF,57.0,18.0,75.0
Angola,Angola,CAF,46.0,9.0,55.0
Benin,Benin,CAF,35.0,10.0,45.0
Botswana,Botswana,CAF,35.0,7.0,42.0
Burkina Faso,Burkina Faso,CAF,54.0,12.0,66.0
Burundi,Burundi,CAF,25.0,6.0,31.0
Cameroon,Cameroon,CAF,48.0,12.0,60.0
Cape Verde,Cape Verde Islands,CAF,45.0,9.0,54.0
Central African Republic,Central African Republic,CAF,30.0,5.0,35.0
Chad,Chad,CAF,17.0,8.0,25.0
Comoros,Comoros,CAF,41.0,14.0,55.0
Congo,Congo,CAF,26.0,3.0,29.0
DR Congo,Congo DR,CAF,44.0,12.0,56.0
Djibouti,Djibouti,CAF,21.0,5.0,26.0
Egypt,Egypt,CAF,55.0,16.0,71.0
Equatorial Guinea,Equatorial Guinea,CAF,41.0,10.0,51.0
Eswatini,Swaziland,CAF,40.0,4.0,44.0
Ethiopia,Ethiopia,CAF,38.0,4.0,42.0
Gabon,Gabon,CAF,35.0,10.0,45.0
Gambia,Gambia,CAF,36.0,7.0,43.0
Ghana,Ghana,CAF,48.0,8.0,56.0
Guinea,Guinea,CAF,48.0,6.0,54.0
Guinea-Bissau,Guinea-Bissau,CAF,36.0,6.0,42.0
Ivory Coast,Ivory Coast,CAF,48.0,13.0,61.0
Kenya,Kenya,CAF,27.0,7.0,34.0
Lesotho,Lesotho,CAF,40.0,6.0,46.0
Liberia,Liberia,CAF,35.0,5.0,40.0
Libya,Libya,CAF,38.0,6.0,44.0
Madagascar,Madagascar,CAF,33.0,6.0,39.0
Malawi,Malawi,CAF,44.0,6.0,50.0
Mali,Mali,CAF,44.0,11.0,55.0
Mauritania,Mauritania,CAF,48.0,9.0,57.0
Mauritius,Mauritius,CAF,28.0,4.0,32.0
Morocco,Morocco,CAF,57.0,21.0,78.0
Mozambique,Mozambique,CAF,50.0,11.0,61.0
Namibia,Namibia,CAF,38.0,6.0,44.0
Niger,Niger,CAF,37.0,8.0,45.0
Nigeria,Nigeria,CAF,48.0,15.0,63.0
Rwanda,Rwanda,CAF,32.0,6.0,38.0
Senegal,Senegal,CAF,60.0,15.0,75.0
Seychelles,Seychelles,CAF,26.0,4.0,30.0
Sierra Leone,Sierra Leone,CAF,35.0,4.0,39.0
Somalia,Somalia,CAF,14.0,6.0,20.0
South Africa,South Africa,CAF,57.0,11.0,68.0
South Sudan,South Sudan,CAF,27.0,5.0,32.0
Sudan,Sudan,CAF,45.0,13.0,58.0
São Tomé and Príncipe,Sao Tome and Principe,CAF,16.0,4.0,20.0
Tanzania,Tanzania,CAF,39.0,10.0,49.0
Togo,Togo,CAF,33.0,4.0,37.0
Tunisia,Tunisia,CAF,58.0,16.0,74.0
Uganda,Uganda,CAF,40.0,11.0,51.0
Zambia,Zambia,CAF,49.0,8.0,57.0
Zimbabwe,Zimbabwe,CAF,26.0,11.0,37.0
Anguilla,Anguilla,CONCACAF,19.0,5.0,24.0
Antigua and Barbuda,Antigua and Barbuda,CONCACAF,23.0,4.0,27.0
Aruba,Aruba,CONCACAF,20.0,4.0,24.0
Bahamas,Bahamas,CONCACAF,22.0,4.0,26.0
Barbados,Barbados,CONCACAF,30.0,4.0,34.0
Belize,Belize,CONCACAF,28.0,4.0,32.0
Bermuda,Bermuda,CONCACAF,27.0,8.0,35.0
Bonaire,Bonaire,CONCACAF,18.0,2.0,20.0
British Virgin Islands,British Virgin Islands,CONCACAF,18.0,6.0,24.0
Canada,Canada,CONCACAF,59.0,12.0,71.0
Cayman Islands,Cayman Islands,CONCACAF,18.0,4.0,22.0
Costa Rica,Costa Rica,CONCACAF,62.0,12.0,74.0
Cuba,Cuba,CONCACAF,37.0,7.0,44.0
Curaçao,Curacao,CONCACAF,30.0,11.0,41.0
Dominica,Dominica,CONCACAF,22.0,4.0,26.0
Dominican Republic,Dominican Republic,CONCACAF,29.0,9.0,38.0
El Salvador,El Salvador,CONCACAF,62.0,12.0,74.0
Grenada,Grenada,CONCACAF,33.0,6.0,39.0
Guadeloupe,Guadeloupe,CONCACAF,31.0,3.0,34.0
Guatemala,Guatemala,CONCACAF,55.0,14.0,69.0
Guyana,Guyana,CONCACAF,34.0,4.0,38.0
Haiti,Haiti,CONCACAF,35.0,11.0,46.0
Honduras,Honduras,CONCACAF,57.0,13.0,70.0
Jamaica,Jamaica,CONCACAF,61.0,14.0,75.0
Martinique,Martinique,CONCACAF,23.0,2.0,25.0
Mexico,Mexico,CONCACAF,77.0,16.0,93.0
Montserrat,Montserrat,CONCACAF,22.0,2.0,24.0
Nicaragua,Nicaragua,CONCACAF,39.0,9.0,48.0
Panama,Panama,CONCACAF,67.0,14.0,81.0
Puerto Rico,Puerto Rico,CONCACAF,26.0,4.0,30.0
Saint Kitts and Nevis,St. Kitts and Nevis,CONCACAF,33.0,6.0,39.0
Saint Lucia,St. Lucia,CONCACAF,24.0,4.0,28.0
Saint Martin,St. Martin,CONCACAF,14.0,4.0,18.0
Saint Vincent and the Grenadines,St. Vincent and the Grenadines,CONCACAF,33.0,7.0,40.0
Sint Maarten,Sint Maarten,CONCACAF,19.0,2.0,21.0
Suriname,Suriname,CONCACAF,29.0,11.0,40.0
Trinidad and Tobago,Trinidad and Tobago,CONCACAF,47.0,13.0,60.0
Turks and Caicos Islands,Turks and Caicos Islands,CONCACAF,19.0,1.0,20.0
United States,USA,CONCACAF,71.0,14.0,85.0
United States Virgin Islands,US Virgin Islands,CONCACAF,18.0,1.0,19.0
Argentina,Argentina,CONMEBOL,60.0,7.0,67.0
Bolivia,Bolivia,CONMEBOL,49.0,9.0,58.0
Brazil,Brazil,CONMEBOL,54.0,8.0,62.0
Chile,Chile,CONMEBOL,53.0,6.0,59.0
Colombia,Colombia,CONMEBOL,56.0,8.0,64.0
Ecuador,Ecuador,CONMEBOL,57.0,8.0,65.0
Paraguay,Paraguay,CONMEBOL,48.0,8.0,56.0
Peru,Peru,CONMEBOL,54.0,6.0,60.0
Uruguay,Uruguay,CONMEBOL,56.0,8.0,64.0
Venezuela,Venezuela,CONMEBOL,49.0,7.0,56.0
Fiji,Fiji,OFC,29.0,4.0,33.0
New Caledonia,New Caledonia,OFC,18.0,1.0,19.0
New Zealand,New Zealand,OFC,35.0,8.0,43.0
Papua New Guinea,Papua New Guinea,OFC,25.0,3.0,28.0
Solomon Islands,Solomon Islands,OFC,28.0,2.0,30.0
Vanuatu,Vanuatu,OFC,23.0,3.0,26.0
Albania,Albania,UEFA,44.0,8.0,52.0
Andorra,Andorra,UEFA,41.0,8.0,49.0
Armenia,Armenia,UEFA,41.0,8.0,49.0
Austria,Austria,UEFA,49.0,8.0,57.0
Azerbaijan,Azerbaijan,UEFA,41.0,8.0,49.0
Belarus,Belarus,UEFA,40.0,7.0,47.0
Belgium,Belgium,UEFA,52.0,8.0,60.0
Bosnia and Herzegovina,Bosnia and Herzegovina,UEFA,39.0,8.0,47.0
Bulgaria,Bulgaria,UEFA,42.0,8.0,50.0
Croatia,Croatia,UEFA,54.0,8.0,62.0
Cyprus,Cyprus,UEFA,41.0,8.0,49.0
Czech Republic,Czech Republic,UEFA,49.0,8.0,57.0
Denmark,Denmark,UEFA,52.0,8.0,60.0
England,England,UEFA,58.0,8.0,66.0
Estonia,Estonia,UEFA,46.0,8.0,54.0
Faroe Islands,Faroe Islands,UEFA,41.0,8.0,49.0
Finland,Finland,UEFA,46.0,8.0,54.0
France,France,UEFA,56.0,8.0,64.0
Georgia,Georgia,UEFA,43.0,8.0,51.0
Germany,Germany,UEFA,53.0,8.0,61.0
Gibraltar,Gibraltar,UEFA,41.0,8.0,49.0
Greece,Greece,UEFA,41.0,8.0,49.0
Hungary,Hungary,UEFA,47.0,8.0,55.0
Iceland,Iceland,UEFA,50.0,8.0,58.0
Israel,Israel,UEFA,39.0,8.0,47.0
Italy,Italy,UEFA,53.0,8.0,61.0
Kazakhstan,Kazakhstan,UEFA,41.0,8.0,49.0
Kosovo,Kosovo,UEFA,42.0,8.0,50.0
Latvia,Latvia,UEFA,42.0,8.0,50.0
Liechtenstein,Liechtenstein,UEFA,40.0,8.0,48.0
Lithuania,Lithuania,UEFA,42.0,8.0,50.0
Luxembourg,Luxembourg,UEFA,41.0,8.0,49.0
Malta,Malta,UEFA,40.0,8.0,48.0
Moldova,Moldova,UEFA,42.0,8.0,50.0
Montenegro,Montenegro,UEFA,41.0,8.0,49.0
Netherlands,Netherlands,UEFA,54.0,8.0,62.0
North Macedonia,North Macedonia,UEFA,45.0,8.0,53.0
Northern Ireland,Northern Ireland,UEFA,39.0,8.0,47.0
Norway,Norway,UEFA,41.0,8.0,49.0
Poland,Poland,UEFA,50.0,8.0,58.0
Portugal,Portugal,UEFA,55.0,8.0,63.0
Republic of Ireland,Rep of Ireland,UEFA,41.0,8.0,49.0
Romania,Romania,UEFA,45.0,8.0,53.0
San Marino,San Marino,UEFA,41.0,8.0,49.0
Scotland,Scotland,UEFA,47.0,8.0,55.0
Serbia,Serbia,UEFA,46.0,8.0,54.0
Slovakia,Slovakia,UEFA,48.0,8.0,56.0
Slovenia,Slovenia,UEFA,46.0,8.0,54.0
Spain,Spain,UEFA,57.0,8.0,65.0
Sweden,Sweden,UEFA,48.0,8.0,56.0
Switzerland,Switzerland,UEFA,54.0,8.0,62.0
Turkey,Turkey,UEFA,50.0,8.0,58.0
Ukraine,Ukraine,UEFA,47.0,8.0,55.0
Wales,Wales,UEFA,47.0,8.0,55.0
