team,name,confed,stage1_matches,prior_matches,evidence_window_start,evidence_window_end,evidence_window_years
Afghanistan,Afghanistan,AFC,25.0,25.0,2021-05-27,2025-05-26,4
Australia,Australia,AFC,49.0,49.0,2021-05-27,2025-05-26,4
Bahrain,Bahrain,AFC,63.0,63.0,2021-05-27,2025-05-26,4
Bangladesh,Bangladesh,AFC,43.0,43.0,2021-05-27,2025-05-26,4
Bhutan,Bhutan,AFC,13.0,13.0,2021-05-27,2025-05-26,4
Brunei,Brunei,AFC,23.0,23.0,2021-05-27,2025-05-26,4
Cambodia,Cambodia,AFC,38.0,38.0,2021-05-27,2025-05-26,4
China,China PR,AFC,43.0,43.0,2021-05-27,2025-05-26,4
East Timor,Timor-Leste,AFC,21.0,21.0,2021-05-27,2025-05-26,4
Hong Kong,Hong Kong,AFC,43.0,43.0,2021-05-27,2025-05-26,4
India,India,AFC,42.0,42.0,2021-05-27,2025-05-26,4
Indonesia,Indonesia,AFC,63.0,63.0,2021-05-27,2025-05-26,4
Iran,Iran,AFC,51.0,51.0,2021-05-27,2025-05-26,4
Iraq,Iraq,AFC,56.0,56.0,2021-05-27,2025-05-26,4
Japan,Japan,AFC,55.0,55.0,2021-05-27,2025-05-26,4
Jordan,Jordan,AFC,55.0,55.0,2021-05-27,2025-05-26,4
Kuwait,Kuwait,AFC,51.0,51.0,2021-05-27,2025-05-26,4
Kyrgyzstan,Kyrgyzstan,AFC,39.0,39.0,2021-05-27,2025-05-26,4
Laos,Laos,AFC,25.0,25.0,2021-05-27,2025-05-26,4
Lebanon,Lebanon,AFC,44.0,44.0,2021-05-27,2025-05-26,4
Malaysia,Malaysia,AFC,53.0,53.0,2021-05-27,2025-05-26,4
Maldives,Maldives,AFC,28.0,28.0,2021-05-27,2025-05-26,4
Myanmar,Myanmar,AFC,43.0,43.0,2021-05-27,2025-05-26,4
Nepal,Nepal,AFC,41.0,41.0,2021-05-27,2025-05-26,4
North Korea,North Korea,AFC,16.0,16.0,2021-05-27,2025-05-26,4
Oman,Oman,AFC,64.0,64.0,2021-05-27,2025-05-26,4
Pakistan,Pakistan,AFC,17.0,17.0,2021-05-27,2025-05-26,4
Palestine,Palestine,AFC,36.0,36.0,2021-05-27,2025-05-26,4
Philippines,Philippines,AFC,43.0,43.0,2021-05-27,2025-05-26,4
Qatar,Qatar,AFC,69.0,69.0,2021-05-27,2025-05-26,4
Saudi Arabia,Saudi Arabia,AFC,63.0,63.0,2021-05-27,2025-05-26,4
Singapore,Singapore,AFC,48.0,48.0,2021-05-27,2025-05-26,4
South Korea,South Korea,AFC,58.0,58.0,2021-05-27,2025-05-26,4
Sri Lanka,Sri Lanka,AFC,27.0,27.0,2021-05-27,2025-05-26,4
Syria,Syria,AFC,48.0,48.0,2021-05-27,2025-05-26,4
Taiwan,Chinese Taipei,AFC,23.0,23.0,2021-05-27,2025-05-26,4
