date,team,name,confed,stage,side,home_team,away_team,home_score,away_score,tournament
2021-05-27,Azerbaijan,Azerbaijan,UEFA,stage1,away,Turkey,Azerbaijan,2.0,1.0,Friendly
2021-05-27,Turkey,Turkey,UEFA,stage1,home,Turkey,Azerbaijan,2.0,1.0,Friendly
2021-05-28,Malaysia,Malaysia,AFC,stage1,away,Bahrain,Malaysia,2.0,0.0,Friendly
2021-05-28,Bahrain,Bahrain,AFC,stage1,home,Bahrain,Malaysia,2.0,0.0,Friendly
2021-05-28,San Marino,San Marino,UEFA,stage1,away,Italy,San Marino,7.0,0.0,Friendly
2021-05-28,Italy,Italy,UEFA,stage1,home,Italy,San Marino,7.0,0.0,Friendly
2021-05-28,Myanmar,Myanmar,AFC,stage1,away,Japan,Myanmar,10.0,0.0,FIFA World Cup qualification
2021-05-28,Japan,Japan,AFC,stage1,home,Japan,Myanmar,10.0,0.0,FIFA World Cup qualification
2021-05-29,Oman,Oman,AFC,stage1,away,Indonesia,Oman,1.0,3.0,Friendly
2021-05-29,Indonesia,Indonesia,AFC,stage1,home,Indonesia,Oman,1.0,3.0,Friendly
2021-05-29,Nepal,Nepal,AFC,stage1,away,Iraq,Nepal,6.0,2.0,Friendly
2021-05-29,Iraq,Iraq,AFC,stage1,home,Iraq,Nepal,6.0,2.0,Friendly
2021-05-29,Iceland,Iceland,UEFA,stage1,away,Mexico,Iceland,2.0,1.0,Friendly
2021-05-29,Mexico,Mexico,CONCACAF,stage1,home,Mexico,Iceland,2.0,1.0,Friendly
2021-05-29,Afghanistan,Afghanistan,AFC,stage1,away,Singapore,Afghanistan,1.0,1.0,Friendly
2021-05-29,Singapore,Singapore,AFC,stage1,home,Singapore,Afghanistan,1.0,1.0,Friendly
2021-05-29,Finland,Finland,UEFA,stage1,away,Sweden,Finland,2.0,0.0,Friendly
2021-05-29,Sweden,Sweden,UEFA,stage1,home,Sweden,Finland,2.0,0.0,Friendly
2021-05-29,Tajikistan,Tajikistan,AFC,stage1,away,Thailand,Tajikistan,2.0,2.0,Friendly
2021-05-29,Thailand,Thailand,AFC,stage1,home,Thailand,Tajikistan,2.0,2.0,Friendly
