team,xG,xGA,matches
Japan,1.8364372632851065,0.7323385302136188,55.0
Iran,1.601690465498914,0.7910435372788178,51.0
Australia,1.5074565571616148,0.7192110413470046,49.0
South Korea,1.6810394035460048,0.7411668813396,58.0
Saudi Arabia,1.1373819800856646,0.8216283867456727,63.0
Qatar,1.5109911477941322,0.9988576126009479,69.0
Iraq,1.0293433325224428,1.0064686907347595,56.0
Uzbekistan,1.2425705139982373,0.7950222686938304,48.0
Bahrain,0.9132580121077423,1.0846368152739996,63.0
China,0.8929436184637289,1.2076060156059565,43.0
United Arab Emirates,1.1583020612310866,1.0862746465027686,55.0
Oman,1.110613993425677,0.9963580547958742,64.0
Jordan,1.1589071830215478,0.8780891432625811,55.0
Kuwait,0.6729204521503159,1.3655473534133193,51.0
Syria,0.8323862938003239,1.1188553106963666,48.0
Lebanon,0.4156239335344188,1.1831890031405128,44.0
Vietnam,0.5891177543539158,1.31934119246365,61.0
Thailand,0.6000992207511772,1.4777715543629089,66.0
North Korea,1.0231032934217845,1.2242311024859798,16.0
Kyrgyzstan,0.8509913433630346,1.3720013997088942,39.0
Turkmenistan,0.4747119260162416,1.5427169221231212,20.0
Palestine,0.8555242988358477,0.89565531944367,36.0
Tajikistan,0.562366394460305,0.9137217659977677,39.0
Malaysia,0.4110180739043958,1.5080779642442537,53.0
Philippines,0.23272665407644758,2.1159062775926203,43.0
Singapore,0.27965364025684875,1.8679347675794435,48.0
India,0.3221065661533629,0.9597820319289465,42.0
Hong Kong,0.2824578965835465,1.0920994454676556,43.0
Yemen,0.2550540425406921,1.383462555039782,24.0
Afghanistan,0.26027285541263495,1.1548765665706373,25.0
Indonesia,0.6159608175993476,0.8015737404576714,63.0
Myanmar,0.22672242600554693,1.7562100111862173,43.0
Maldives,0.060097367006305275,1.6672464861001415,28.0
Bangladesh,0.10416308419327079,1.2146344539843672,43.0
Nepal,0.1188238656960652,1.2107912330658377,41.0
Taiwan,0.30694709821686533,0.6944889916302945,23.0
Mongolia,0.0912158381490592,0.9398642207373175,17.0
Cambodia,0.14976610978890975,1.37987626768848,38.0
Guam,0.034006588189966366,2.1458382065713257,9.0
Brunei,0.055078927819103146,2.634459490951884,23.0
Sri Lanka,0.05321734851164551,1.8667812505522021,27.0
Pakistan,0.043133508857492106,0.8572632990344015,17.0
Laos,0.07929818260716386,2.634459490951884,25.0
Bhutan,0.06114578844856423,2.634459490951884,13.0
East Timor,0.027360812163066343,2.634459490951884,21.0
Macau,0.005960881409182007,2.634459490951884,10.0
