team,xG,xGA,matches
New Zealand,1.0025855949579126,0.7244515377942826,35.0
Fiji,0.3685041597143651,2.384892949338388,29.0
Solomon Islands,0.4123861178030378,2.012850081951031,28.0
New Caledonia,0.44689060735195313,1.8397639405782802,18.0
Tahiti,0.20801498808975358,1.7329004694375052,16.0
Vanuatu,0.2706005582758211,2.075414944633703,23.0
Papua New Guinea,0.3950361653903431,1.6032084872081622,25.0
Tuvalu,0.0005900600776586573,2.634459490951884,3.0
Samoa,0.11902716655547953,2.214125743027105,10.0
Tonga,0.000388380747691501,2.634459490951884,4.0
