team,average_opponent_spi,median_opponent_spi
Spain,69.72666666666666,73.58
Brazil,73.10185185185185,74.52000000000001
Belgium,66.82865384615386,70.255
Netherlands,67.1590740740741,68.46
France,70.59642857142856,71.99
Argentina,69.19800000000001,70.715
Italy,71.05056603773585,75.25
England,64.75931034482757,64.11
Germany,69.62962264150943,71.99
Portugal,64.92581818181819,62.38
Uruguay,69.99482142857141,70.38
Switzerland,66.23925925925926,70.725
Denmark,65.84730769230768,71.99
Colombia,73.44285714285714,73.79
Mexico,59.935714285714276,57.61
Chile,70.0856603773585,69.91
Croatia,69.15666666666668,71.255
Ecuador,71.14508771929825,70.38
United States,59.490422535211266,57.61
Sweden,59.642499999999984,58.335
Algeria,46.71543859649123,44.57
Serbia,63.946739130434786,63.629999999999995
Czech Republic,59.58734693877551,61.43
Japan,52.10054545454546,57.61
Austria,63.70285714285714,68.46
Morocco,52.17982456140351,46.05
Russia,48.43481481481481,50.98
Poland,61.654799999999994,69.46
Venezuela,69.16448979591837,73.79
Iran,44.78509803921568,44.15
Peru,70.58962962962963,73.66
Wales,62.14340425531915,67.78
Paraguay,73.31041666666667,76.05
Norway,56.531463414634146,57.67
Turkey,58.038199999999996,58.8
Canada,58.57186440677966,57.61
Australia,46.92632653061224,49.21
Senegal,48.452666666666666,46.14
Tunisia,49.90051724137932,44.47
Ivory Coast,46.62416666666667,45.605
Greece,58.20536585365854,56.45
Ukraine,63.39021276595744,61.43
Ghana,51.352291666666666,46.05
Bosnia and Herzegovina,58.73692307692307,59.0
Egypt,47.70618181818182,44.47
Scotland,65.04063829787233,68.46
Nigeria,48.230624999999996,46.05
South Korea,49.53672413793104,49.21
Israel,57.92153846153846,56.32
Romania,51.06755555555556,55.21
Basque Country,81.8,81.8
Finland,57.53130434782609,59.49
Hungary,64.51659574468086,67.78
Saudi Arabia,47.44063492063493,50.11
Qatar,48.35999999999999,47.8
Iraq,41.65267857142857,40.16
Slovenia,56.412826086956514,59.0
Costa Rica,53.31258064516129,52.02
Uganda,43.76774999999999,44.57
Northern Ireland,50.952564102564104,48.78
Burkina Faso,45.755185185185184,44.519999999999996
Iceland,55.495200000000004,58.739999999999995
Republic of Ireland,59.77146341463414,61.43
Zimbabwe,48.325384615384614,46.42
North Macedonia,52.37311111111112,55.21
Georgia,57.64093023255815,59.49
Mali,45.23704545454545,42.785
Uzbekistan,41.787708333333335,37.515
Honduras,54.79333333333333,56.32
Bolivia,72.03816326530612,75.25
Zambia,45.64591836734695,44.57
Panama,55.85253731343283,57.61
Slovakia,55.491458333333334,57.67
Albania,57.835681818181804,59.8
Cameroon,52.298541666666665,50.97
Namibia,46.47842105263158,46.05
Haiti,33.44200000000001,30.6
Bahrain,39.084285714285706,40.16
Montenegro,56.80317073170731,59.0
China,42.29953488372093,40.16
Armenia,55.510000000000005,56.24
Kosovo,51.058571428571426,56.32
Gabon,45.51857142857143,44.15
Jamaica,52.01163934426229,53.66
Benin,45.361999999999995,44.47
Belarus,48.402750000000005,48.78
Kenya,44.930740740740745,50.97
Guinea,47.43895833333334,44.295
Bulgaria,52.713571428571434,55.33
South Africa,46.26719298245614,45.16
Cape Verde,43.7448888888889,44.02
DR Congo,47.817727272727275,45.31
Guatemala,43.23963636363636,41.27
Tanzania,46.15615384615384,45.16
Libya,41.86710526315789,41.45
New Zealand,40.97114285714285,40.19
Angola,43.75739130434783,44.47
Congo,45.16730769230769,46.05
Togo,47.41818181818181,45.16
United Arab Emirates,43.11945454545454,37.96
Curaçao,34.868,35.92
Equatorial Guinea,47.43463414634146,44.47
El Salvador,46.06967741935484,49.91
Gambia,42.958611111111104,44.12
Oman,42.248437499999994,43.04
Sudan,44.78022222222223,44.15
Ethiopia,43.24578947368421,45.16
Jordan,42.45127272727272,44.18
Luxembourg,55.50780487804877,56.45
Madagascar,42.73696969696969,44.57
Azerbaijan,50.447073170731706,50.56
Mauritania,48.86604166666667,46.05
Liberia,46.001714285714286,44.47
Malawi,45.19113636363637,46.23
Kuwait,36.393725490196076,38.64
Guinea-Bissau,45.129999999999995,45.19
Syria,41.162083333333335,40.16
Trinidad and Tobago,35.97382978723405,34.58
Mozambique,44.486999999999995,46.05
Rwanda,46.970625000000005,46.42
Cyprus,51.91560975609756,56.45
Botswana,41.18600000000001,44.47
Cuba,33.77135135135135,30.76
Niger,47.126486486486485,44.57
Sierra Leone,44.2,44.12
Burundi,41.19799999999999,48.18
Latvia,45.094047619047615,49.15
Saint Kitts and Nevis,18.876363636363635,10.68
Kazakhstan,51.52048780487805,56.45
Estonia,53.368913043478265,56.385000000000005
Lebanon,35.73136363636364,36.485
Lithuania,48.712380952380954,48.78
Vietnam,29.79213114754098,20.71
Nicaragua,31.899230769230773,30.13
Lesotho,40.492999999999995,39.27
Bermuda,27.675925925925927,24.52
Comoros,42.185121951219514,40.19
