team,confed,off,def,spi
Spain,UEFA,3.3,0.43,92.23
Brazil,CONMEBOL,3.04,0.32,92.22
Belgium,UEFA,3.06,0.56,88.84
Netherlands,UEFA,2.9,0.55,87.66
France,UEFA,2.74,0.48,87.41
Argentina,CONMEBOL,2.54,0.42,86.59
Italy,UEFA,2.55,0.43,86.45
England,UEFA,2.61,0.49,85.99
Germany,UEFA,2.94,0.71,85.4
Portugal,UEFA,2.66,0.57,85.04
Uruguay,CONMEBOL,2.36,0.56,81.8
Switzerland,UEFA,2.47,0.63,81.78
Denmark,UEFA,2.3,0.54,81.5
Colombia,CONMEBOL,2.17,0.54,79.63
Mexico,CONCACAF,2.31,0.71,78.06
Chile,CONMEBOL,2.19,0.72,76.05
Croatia,UEFA,2.26,0.8,75.35
Ecuador,CONMEBOL,2.23,0.79,75.25
USA,CONCACAF,2.08,0.75,73.79
Sweden,UEFA,2.04,0.72,73.58
Algeria,CAF,2.22,0.87,73.34
Serbia,UEFA,2.19,0.85,73.28
Czech Republic,UEFA,2.06,0.78,72.71
Japan,AFC,1.95,0.72,72.07
Austria,UEFA,2.07,0.82,71.99
Morocco,CAF,2.01,0.79,71.73
Russia,UEFA,2.11,0.87,71.46
Poland,UEFA,1.96,0.78,71.05
Venezuela,CONMEBOL,1.87,0.74,70.38
Iran,AFC,1.79,0.68,70.35
Peru,CONMEBOL,1.89,0.77,69.91
Wales,UEFA,1.66,0.62,69.46
Paraguay,CONMEBOL,1.8,0.73,69.26
Norway,UEFA,1.93,0.87,68.46
Turkey,UEFA,2.01,0.96,67.78
Canada,CONCACAF,2.13,1.08,67.36
Australia,AFC,1.92,0.9,67.34
Senegal,CAF,1.56,0.66,66.29
Tunisia,CAF,1.73,0.84,65.26
Ivory Coast,CAF,1.71,0.84,64.98
Greece,UEFA,1.5,0.7,64.11
Ukraine,UEFA,1.65,0.83,63.99
Ghana,CAF,1.52,0.74,63.64
Bosnia and Herzegovina,UEFA,1.72,0.96,62.38
Egypt,CAF,1.61,0.86,62.38
Scotland,UEFA,1.51,0.82,61.43
Nigeria,CAF,1.8,1.08,61.17
South Korea,AFC,1.49,0.82,60.84
Israel,UEFA,1.74,1.09,59.8
Romania,UEFA,1.81,1.16,59.49
Basque Country,UEFA,1.63,1.0,59.32
Finland,UEFA,1.69,1.07,59.0
Hungary,UEFA,1.63,1.03,58.8
Saudi Arabia,AFC,1.75,1.15,58.48
Qatar,AFC,1.69,1.11,58.18
Iraq,AFC,1.34,0.79,58.08
Slovenia,UEFA,1.33,0.8,57.67
Costa Rica,CONCACAF,1.43,0.9,57.61
Uganda,CAF,1.46,0.97,56.63
Northern Ireland,UEFA,1.38,0.9,56.45
Burkina Faso,CAF,1.31,0.83,56.41
Iceland,UEFA,1.51,1.02,56.32
Rep of Ireland,UEFA,1.29,0.82,56.24
Zimbabwe,CAF,1.53,1.05,56.23
North Macedonia,UEFA,1.56,1.11,55.45
Georgia,UEFA,1.35,0.92,55.21
Mali,CAF,1.13,0.74,54.19
Uzbekistan,AFC,1.49,1.11,53.88
Honduras,CONCACAF,1.57,1.2,53.66
Bolivia,CONMEBOL,1.56,1.19,53.44
Zambia,CAF,1.61,1.3,52.04
Panama,CONCACAF,1.3,1.0,52.02
Slovakia,UEFA,1.45,1.16,51.87
Albania,UEFA,1.25,0.98,51.22
Cameroon,CAF,1.19,0.93,50.98
Namibia,CAF,1.06,0.8,50.97
Haiti,CONCACAF,1.47,1.23,50.56
Bahrain,AFC,1.28,1.06,50.11
Montenegro,UEFA,1.32,1.13,49.39
China PR,AFC,1.2,1.02,49.21
Armenia,UEFA,1.53,1.36,49.15
Kosovo,UEFA,1.38,1.22,48.78
Gabon,CAF,1.2,1.06,48.18
Jamaica,CONCACAF,1.34,1.23,47.8
Benin,CAF,1.08,0.97,47.33
Belarus,UEFA,1.34,1.25,47.27
Kenya,CAF,1.16,1.09,46.42
Guinea,CAF,1.25,1.2,46.23
Bulgaria,UEFA,1.12,1.06,46.21
South Africa,CAF,1.31,1.27,46.05
Cape Verde Islands,CAF,1.15,1.1,46.05
Congo DR,CAF,1.22,1.22,45.16
Guatemala,CONCACAF,1.23,1.24,44.79
Tanzania,CAF,1.16,1.17,44.57
Libya,CAF,1.26,1.28,44.47
New Zealand,OFC,1.26,1.3,44.18
Angola,CAF,1.08,1.1,44.15
Congo,CAF,1.05,1.07,44.12
Togo,CAF,1.26,1.31,44.02
United Arab Emirates,AFC,1.3,1.4,43.04
Curacao,CONCACAF,1.29,1.47,41.53
Equatorial Guinea,CAF,1.08,1.23,41.45
El Salvador,CONCACAF,1.05,1.2,41.27
Gambia,CAF,1.13,1.35,40.19
Oman,AFC,1.03,1.23,40.16
Sudan,CAF,1.0,1.19,40.13
Ethiopia,CAF,1.11,1.37,39.27
Jordan,AFC,0.91,1.15,38.64
Luxembourg,UEFA,1.1,1.4,38.37
Madagascar,CAF,1.2,1.52,38.1
Azerbaijan,UEFA,0.91,1.17,38.08
Mauritania,CAF,0.95,1.23,37.96
Liberia,CAF,1.05,1.37,37.46
Malawi,CAF,0.67,0.92,36.97
Kuwait,AFC,1.02,1.38,36.58
Guinea-Bissau,CAF,1.07,1.45,36.54
Syria,AFC,1.34,1.79,36.39
Trinidad and Tobago,CONCACAF,1.09,1.5,35.92
Mozambique,CAF,1.04,1.44,35.85
Rwanda,CAF,0.68,0.98,35.68
Cyprus,UEFA,0.93,1.35,35.07
Botswana,CAF,0.72,1.08,34.78
Cuba,CONCACAF,0.89,1.31,34.58
Niger,CAF,0.97,1.45,34.07
Sierra Leone,CAF,1.05,1.58,33.43
Burundi,CAF,0.88,1.38,33.1
Latvia,UEFA,1.08,1.66,32.97
St. Kitts and Nevis,CONCACAF,1.15,1.76,32.67
Kazakhstan,UEFA,0.91,1.46,32.38
Estonia,UEFA,0.94,1.51,32.26
Lebanon,AFC,0.63,1.09,32.02
Lithuania,UEFA,0.97,1.58,31.77
Vietnam,AFC,0.68,1.19,31.55
Nicaragua,CONCACAF,0.86,1.48,30.76
Lesotho,CAF,0.73,1.3,30.7
Bermuda,CONCACAF,1.17,1.91,30.6
Comoros,CAF,0.93,1.61,30.16
Dominican Republic,CONCACAF,1.01,1.73,30.13
Thailand,AFC,0.9,1.59,29.77
Central African Republic,CAF,1.03,1.81,29.04
