team,name,confed,incoming_prior_matches,stage2_matches,prior_matches,evidence_window_start,evidence_window_end,evidence_window_years
Afghanistan,Afghanistan,AFC,20.0,3.0,23.0,2022-01-27,2026-01-26,4
Albania,Albania,UEFA,35.0,8.0,43.0,2022-01-27,2026-01-26,4
Algeria,Algeria,CAF,37.0,18.0,55.0,2022-01-27,2026-01-26,4
Andorra,Andorra,UEFA,32.0,8.0,40.0,2022-01-27,2026-01-26,4
Angola,Angola,CAF,40.0,9.0,49.0,2022-01-27,2026-01-26,4
Anguilla,Anguilla,CONCACAF,17.0,5.0,22.0,2022-01-27,2026-01-26,4
Antigua and Barbuda,Antigua and Barbuda,CONCACAF,21.0,4.0,25.0,2022-01-27,2026-01-26,4
Argentina,Argentina,CONMEBOL,44.0,7.0,51.0,2022-01-27,2026-01-26,4
Armenia,Armenia,UEFA,32.0,8.0,40.0,2022-01-27,2026-01-26,4
Aruba,Aruba,CONCACAF,18.0,4.0,22.0,2022-01-27,2026-01-26,4
Australia,Australia,AFC,39.0,8.0,47.0,2022-01-27,2026-01-26,4
Austria,Austria,UEFA,36.0,8.0,44.0,2022-01-27,2026-01-26,4
Azerbaijan,Azerbaijan,UEFA,31.0,8.0,39.0,2022-01-27,2026-01-26,4
Bahamas,Bahamas,CONCACAF,19.0,4.0,23.0,2022-01-27,2026-01-26,4
Bahrain,Bahrain,AFC,50.0,10.0,60.0,2022-01-27,2026-01-26,4
Bangladesh,Bangladesh,AFC,31.0,7.0,38.0,2022-01-27,2026-01-26,4
Barbados,Barbados,CONCACAF,27.0,4.0,31.0,2022-01-27,2026-01-26,4
Belarus,Belarus,UEFA,32.0,7.0,39.0,2022-01-27,2026-01-26,4
Belgium,Belgium,UEFA,38.0,8.0,46.0,2022-01-27,2026-01-26,4
Belize,Belize,CONCACAF,27.0,4.0,31.0,2022-01-27,2026-01-26,4
Benin,Benin,CAF,27.0,10.0,37.0,2022-01-27,2026-01-26,4
Bermuda,Bermuda,CONCACAF,23.0,8.0,31.0,2022-01-27,2026-01-26,4
Bhutan,Bhutan,AFC,13.0,5.0,18.0,2022-01-27,2026-01-26,4
Bolivia,Bolivia,CONMEBOL,33.0,9.0,42.0,2022-01-27,2026-01-26,4
Bonaire,Bonaire,CONCACAF,18.0,2.0,20.0,2022-01-27,2026-01-26,4
Bosnia and Herzegovina,Bosnia and Herzegovina,UEFA,29.0,8.0,37.0,2022-01-27,2026-01-26,4
Botswana,Botswana,CAF,31.0,7.0,38.0,2022-01-27,2026-01-26,4
Brazil,Brazil,CONMEBOL,38.0,8.0,46.0,2022-01-27,2026-01-26,4
British Virgin Islands,British Virgin Islands,CONCACAF,16.0,6.0,22.0,2022-01-27,2026-01-26,4
Brunei,Brunei,AFC,23.0,5.0,28.0,2022-01-27,2026-01-26,4
Bulgaria,Bulgaria,UEFA,32.0,8.0,40.0,2022-01-27,2026-01-26,4
Burkina Faso,Burkina Faso,CAF,40.0,12.0,52.0,2022-01-27,2026-01-26,4
Burundi,Burundi,CAF,22.0,6.0,28.0,2022-01-27,2026-01-26,4
Cambodia,Cambodia,AFC,29.0,2.0,31.0,2022-01-27,2026-01-26,4
Cameroon,Cameroon,CAF,36.0,12.0,48.0,2022-01-27,2026-01-26,4
Canada,Canada,CONCACAF,42.0,12.0,54.0,2022-01-27,2026-01-26,4
Cape Verde,Cape Verde Islands,CAF,34.0,9.0,43.0,2022-01-27,2026-01-26,4
Cayman Islands,Cayman Islands,CONCACAF,16.0,4.0,20.0,2022-01-27,2026-01-26,4
Central African Republic,Central African Republic,CAF,22.0,5.0,27.0,2022-01-27,2026-01-26,4
Chad,Chad,CAF,17.0,8.0,25.0,2022-01-27,2026-01-26,4
Chile,Chile,CONMEBOL,36.0,6.0,42.0,2022-01-27,2026-01-26,4
China,China PR,AFC,33.0,3.0,36.0,2022-01-27,2026-01-26,4
Colombia,Colombia,CONMEBOL,38.0,8.0,46.0,2022-01-27,2026-01-26,4
Comoros,Comoros,CAF,32.0,14.0,46.0,2022-01-27,2026-01-26,4
Congo,Congo,CAF,19.0,3.0,22.0,2022-01-27,2026-01-26,4
Costa Rica,Costa Rica,CONCACAF,46.0,12.0,58.0,2022-01-27,2026-01-26,4
Croatia,Croatia,UEFA,41.0,8.0,49.0,2022-01-27,2026-01-26,4
Cuba,Cuba,CONCACAF,31.0,7.0,38.0,2022-01-27,2026-01-26,4
Curaçao,Curacao,CONCACAF,24.0,11.0,35.0,2022-01-27,2026-01-26,4
Cyprus,Cyprus,UEFA,32.0,8.0,40.0,2022-01-27,2026-01-26,4
Czech Republic,Czech Republic,UEFA,35.0,8.0,43.0,2022-01-27,2026-01-26,4
DR Congo,Congo DR,CAF,36.0,12.0,48.0,2022-01-27,2026-01-26,4
Denmark,Denmark,UEFA,37.0,8.0,45.0,2022-01-27,2026-01-26,4
Djibouti,Djibouti,CAF,13.0,5.0,18.0,2022-01-27,2026-01-26,4
Dominica,Dominica,CONCACAF,20.0,4.0,24.0,2022-01-27,2026-01-26,4
Dominican Republic,Dominican Republic,CONCACAF,27.0,9.0,36.0,2022-01-27,2026-01-26,4
East Timor,Timor-Leste,AFC,17.0,4.0,21.0,2022-01-27,2026-01-26,4
Ecuador,Ecuador,CONMEBOL,40.0,8.0,48.0,2022-01-27,2026-01-26,4
Egypt,Egypt,CAF,38.0,16.0,54.0,2022-01-27,2026-01-26,4
El Salvador,El Salvador,CONCACAF,39.0,12.0,51.0,2022-01-27,2026-01-26,4
England,England,UEFA,42.0,8.0,50.0,2022-01-27,2026-01-26,4
