team,xG,xGA,matches
Albania,1.3931974156061129,0.6784836932682188,43.0
Andorra,0.49472193119823565,0.7261456908213006,40.0
Armenia,1.2361748732243503,1.138354649287806,40.0
Austria,1.9257303982099119,0.788801525521172,44.0
Azerbaijan,1.136430583070182,1.0280192312332632,39.0
Belarus,1.0001013364682503,0.8927613769041055,39.0
Belgium,2.069018019717786,0.632477338791048,46.0
Bosnia and Herzegovina,1.4759130004179486,0.9109343501366182,37.0
Bulgaria,1.2482107963532854,0.9548413703955219,40.0
Croatia,1.9945839172242439,0.6273256781042911,49.0
Cyprus,0.9766116753288346,1.0634488701362361,40.0
Czech Republic,1.807524037320657,0.7745267499368117,43.0
Denmark,1.994885297174354,0.6355973012227171,45.0
England,2.1690557529658867,0.4457969179452651,50.0
Estonia,1.1109632986384226,0.9386504175190172,44.0
Faroe Islands,0.9416746128746333,0.9435264367041604,40.0
Finland,1.322001557478734,0.9051365701806454,42.0
France,2.395405568761464,0.567457246635934,51.0
Georgia,1.6103020342566603,0.7925128399812151,42.0
Germany,2.282493221297394,0.6994017986621214,48.0
Gibraltar,0.41410396072653827,0.9489152868868121,40.0
Greece,1.6889190580877464,0.6866762129222392,40.0
Hungary,1.8052232027544994,0.7244539260468753,43.0
Iceland,1.6526720741010474,0.8653813380244967,46.0
Israel,1.7141251555862198,0.974918595642553,38.0
Italy,2.2153994295492745,0.6521613111217553,45.0
Kazakhstan,1.0708118438998457,1.0127669385059865,41.0
Kosovo,1.4154567793591712,0.8582707763448904,39.0
Latvia,0.9331822208305323,1.0497343249441566,40.0
Liechtenstein,0.18449541014847803,0.9853369175292728,39.0
Lithuania,0.8414034521982616,1.0565741678041307,40.0
Luxembourg,0.8995935562271055,0.8970530137901548,40.0
Malta,0.8592156870741374,0.8508019173446935,39.0
Moldova,0.98982458278097,1.023137670535955,39.0
Montenegro,1.2476919909247666,0.9594236308289835,40.0
Netherlands,2.4048563304982955,0.6046706164515826,49.0
North Macedonia,1.3820789735080372,0.7960041482763327,41.0
Northern Ireland,1.2590400967077415,0.789109274200819,38.0
Norway,1.8710070556133422,0.7244759950107744,40.0
Poland,2.0766902970370933,0.8044617581880122,46.0
Portugal,2.0461748674213043,0.6026668913852571,50.0
Republic of Ireland,1.4796545338479035,0.7836120652271616,40.0
Romania,1.3687710969733835,0.7990095365811665,44.0
San Marino,0.35560484667729125,0.7123665617591668,40.0
Scotland,1.90506155872554,0.6883463389429653,43.0
Serbia,1.7392711537254018,0.7629041612741138,45.0
Slovakia,1.516803806644644,0.7145128405580732,44.0
Slovenia,1.5808289113209932,0.7265593202284425,45.0
Spain,2.4701025275584922,0.5227588880642358,50.0
Sweden,1.8255685880464845,0.8226193148646259,43.0
Switzerland,2.0901526846102225,0.701170758196153,48.0
Turkey,1.9087676049093336,0.8343396065435746,45.0
Ukraine,1.880461676934467,0.8304162772327252,41.0
Wales,1.597896031682559,0.7730992324686834,42.0
