team,xG,xGA,matches
Japan,1.6216617258543626,0.6499971847613607,8.0
South Korea,2.046609615157021,0.34554878402888645,8.0
Iran,0.7772316677267567,0.3472309248280538,5.0
Australia,1.9160499587208988,0.769325140297676,8.0
Qatar,0.8913125022099688,1.453381464485325,10.0
Uzbekistan,1.327523682639362,0.45046238034385144,7.0
Saudi Arabia,1.3531245452760399,1.0582376314040611,18.0
Jordan,1.6620490706105857,0.9761135439695752,14.0
Oman,0.9352511153663231,0.940384885650084,11.0
United Arab Emirates,1.5366530600793218,1.379907326304959,13.0
Iraq,1.1257585512324404,1.0665098402089568,12.0
Palestine,1.0497749915570092,0.8615438307342298,8.0
Bahrain,0.9468796950619208,1.3145830243399312,10.0
North Korea,0.9451257327042077,1.7826581119847489,2.0
Indonesia,0.7768250315802415,0.9385306875040453,6.0
Syria,0.9948109348995928,0.7796327873001632,11.0
China,1.0938112083977352,0.9531937121047959,3.0
Tajikistan,0.15690116293727496,1.575197154424329,5.0
Taiwan,0.1792313966596042,2.867315150197835,5.0
Kyrgyzstan,1.6923857667974072,1.6396937809604444,2.0
Kuwait,1.3444990752481714,1.223239278007242,10.0
India,0.059171676350742365,2.2437654533508837,5.0
Vietnam,0.1722460000434675,1.934709796037135,4.0
Lebanon,0.26498880483735116,0.6952330153389017,8.0
Thailand,0.4336209580566559,1.0293665630760955,8.0
Hong Kong,0.35782638285807045,1.5444931126854322,8.0
Pakistan,0.07762604365291163,1.484726346319275,4.0
Afghanistan,0.1175103565740532,0.8286255508844331,3.0
Turkmenistan,0.4057776488198792,1.0387128419922322,4.0
Malaysia,0.31211182577098845,0.6828767660783357,8.0
Yemen,0.15400774583377877,1.6687714557179902,5.0
Nepal,0.06564729684796942,1.5733049856772552,7.0
Bangladesh,0.20985142293694684,1.0512382788603387,7.0
Cambodia,0.23605992449938293,0.612822590969901,2.0
Myanmar,0.2158985105565302,1.4779566718462969,4.0
Singapore,0.23804251010108401,0.5731019423545111,8.0
Maldives,0.0022233760843623817,1.4460690213047074,7.0
Philippines,0.1244826875463748,2.867315150197835,4.0
Sri Lanka,0.12865666389874175,0.4663340098397795,7.0
Laos,0.004429355236219568,2.857287815811058,4.0
Bhutan,0.0012172035889040065,2.867315150197835,5.0
Brunei,0.0010633503373769695,2.867315150197835,5.0
East Timor,0.001143882898723153,2.867315150197835,4.0
Mongolia,0.09209072827826605,0.9303733531182039,0.0
Guam,0.03433275992657617,2.124169261311735,0.0
Macau,0.006018054773063651,2.607856386242858,0.0
