team,xG,xGA,matches
United States,2.088127439603805,1.0556645942102032,14.0
Mexico,1.7808609189144122,0.577357614883974,16.0
Canada,1.4742918510545444,0.45627752320352133,12.0
Panama,1.4213345403832038,1.012049444063946,14.0
Guadeloupe,2.185196963094948,1.5394792276215923,3.0
Costa Rica,1.0521006206999866,1.3730909543362262,12.0
Jamaica,0.9849297663077423,1.1609125062192525,14.0
Honduras,0.6742431388762331,0.7936244502375315,13.0
Guatemala,1.4715423982894924,1.360886526787673,14.0
El Salvador,0.42116084343813265,1.3450533358570338,12.0
Martinique,0.0018230007667917147,1.5403504713603018,2.0
Trinidad and Tobago,0.8750760913534239,1.5876110960824488,13.0
Haiti,1.1160246681815404,0.9414832298049722,11.0
Suriname,1.2096914850954668,0.9623706718713503,11.0
Nicaragua,0.6606797211867874,1.296195312170572,9.0
Cuba,0.16054106623953998,1.6696418877937533,7.0
Dominican Republic,0.9054775668175393,0.8695358254423189,9.0
Saint Martin,0.03194431306492619,2.867315150197835,4.0
Curaçao,0.9185922596664865,0.6699716645593586,11.0
Montserrat,0.04173566619617864,2.759289230192666,2.0
Grenada,0.3116392627236221,0.9085171673719883,6.0
British Virgin Islands,0.16118180892676878,1.5548383268968997,6.0
Saint Vincent and the Grenadines,0.1732915414142057,1.1797239718456873,7.0
Bermuda,0.4531196369113757,1.8889781153440688,8.0
Guyana,0.23779171946172264,0.4873547240202178,4.0
Puerto Rico,0.2761758733198696,0.811397681814399,4.0
Bahamas,0.0018290106594294896,2.867315150197835,4.0
Bonaire,0.037968473397278504,0.5705460925246817,2.0
Dominica,0.15648173459786519,2.22909413368341,4.0
Belize,0.09089632471739705,1.1469870411562886,4.0
Barbados,0.0007352101993544609,1.9160538841928718,4.0
Aruba,0.0010717641870698542,0.893187229706609,4.0
Antigua and Barbuda,0.003426534727639748,0.35297864263473033,4.0
Saint Lucia,0.0064540741412658946,2.867315150197835,4.0
Anguilla,0.0013806726686514832,2.569336678417669,5.0
Sint Maarten,0.0006811211656144869,2.867315150197835,2.0
Cayman Islands,0.010260539556502803,1.4317551050745239,4.0
Saint Kitts and Nevis,0.24568573065285737,1.9051943363843011,6.0
United States Virgin Islands,0.00035658696317464317,2.867315150197835,1.0
Turks and Caicos Islands,0.00038062653372574265,2.867315150197835,1.0
French Guiana,0.771805801408324,0.6371974892236822,0.0
