team,xG,xGA,matches
New Zealand,1.7072764661805162,0.9421298162229457,8.0
Papua New Guinea,0.040345425767581544,0.31741115084403854,3.0
New Caledonia,0.48183188514561426,0.005059243014851872,1.0
Solomon Islands,0.005899484911702818,0.5154012049834891,2.0
Vanuatu,0.03608452918399444,0.23270561303299614,3.0
Fiji,0.0012700906441164253,0.8752908335843868,4.0
Tahiti,0.21001014883705058,1.7154014216073528,0.0
Samoa,0.12016880703415028,2.1917672215987047,0.0
Tuvalu,0.0005957195963130133,2.607856386242858,0.0
Tonga,0.00039210587360630005,2.607856386242858,0.0
