team,confed,off,def,spi
Argentina,CONMEBOL,2.713174703740239,0.3492213831307262,73.37656494522692
Brazil,CONMEBOL,2.5471583554991484,0.5498549941844474,69.5883255086072
Spain,UEFA,2.5433767584318074,0.5643713682380692,69.37191705790298
Netherlands,UEFA,2.593979935529643,0.6382917735498188,68.96719092331769
France,UEFA,2.475536960683234,0.5855879532586685,68.54998435054772
England,UEFA,2.277579200629801,0.5203963035671281,67.47942879499217
Germany,UEFA,2.483323646597801,0.744508560885613,66.70874021909233
Colombia,CONMEBOL,2.229271932801685,0.5453531481388241,66.68193270735524
Italy,UEFA,2.3768336773198,0.672151403622465,66.57464006259781
Belgium,UEFA,2.2453608595914973,0.6245339654996918,65.90458528951487
Portugal,UEFA,2.105198958591932,0.5674736599351335,65.21071205007824
Croatia,UEFA,2.159922976005524,0.6584867789541109,64.64115023474179
Denmark,UEFA,2.0904545165205555,0.6549087121475059,63.98448356807512
USA,CONCACAF,1.9778268625542312,0.6168373052624295,63.29338810641628
Switzerland,UEFA,2.1406762913867854,0.7883227665897747,62.90668231611893
Uruguay,CONMEBOL,1.7966466305743647,0.4986053765904857,62.86310641627543
Poland,UEFA,2.1743989995567694,0.8209404038390749,62.82930359937402
Ecuador,CONMEBOL,1.8690198429832527,0.5709074463846332,62.75351330203444
Scotland,UEFA,1.9880921092564985,0.6797832521124006,62.62557902973396
Morocco,CAF,1.794542542001677,0.5358776070019523,62.39212832550861
Austria,UEFA,2.094014611870481,0.8107237027921335,62.15442097026603
Mexico,CONCACAF,1.7821051101201868,0.5803333198091827,61.68653364632238
Serbia,UEFA,1.976327826295244,0.7620894327111353,61.48951486697965
Venezuela,CONMEBOL,1.9070144234707755,0.7246119198555324,61.18607198748044
Ukraine,UEFA,1.9800332974380408,0.7960698433061923,61.11975743348983
Sweden,UEFA,1.9551565001035256,0.8083232066457398,60.66334115805947
Hungary,UEFA,1.8176536334561992,0.7032336274440256,60.5272613458529
Turkey,UEFA,1.965782123571989,0.8426660690531879,60.43843505477307
Norway,UEFA,1.8906866065946133,0.7767955500200032,60.39805164319249
Japan,AFC,1.8364372632851065,0.7323385302136188,60.35396713615023
Greece,UEFA,1.7187016285469725,0.6582295739141604,60.03614241001565
Czech Republic,UEFA,1.9554426899984885,0.8667178331393042,60.01610328638497
Canada,CONCACAF,1.7724733696870527,0.7294157033690776,59.69597026604069
Egypt,CAF,1.6780816527327005,0.6556523929414856,59.63515649452269
Slovenia,UEFA,1.753771737006107,0.7542241087363268,59.20596244131456
South Korea,AFC,1.6810394035460048,0.7411668813396,58.5664475743349
Georgia,UEFA,1.6972276363104477,0.7966391579279252,58.008638497652576
Senegal,CAF,1.6335863708066232,0.741906048857671,57.99682316118936
Wales,UEFA,1.6857229660954978,0.7917233968222195,57.98648669796557
Peru,CONMEBOL,1.498493646219672,0.6438774626995604,57.733528951486704
Bolivia,CONMEBOL,1.575505136461757,0.7528555463864337,57.218223787167446
Slovakia,UEFA,1.5913251775803523,0.7728739415128537,57.13747261345853
Israel,UEFA,1.892700752210266,1.0507932765962913,57.10596244131455
Iran,AFC,1.601690465498914,0.7910435372788178,57.05294992175274
Algeria,CAF,1.683263657512011,0.8694611797070024,56.97535993740219
Mali,CAF,1.3576409892756582,0.5756618348524686,56.8664710485133
Australia,AFC,1.5074565571616148,0.7192110413470046,56.84735524256651
Paraguay,CONMEBOL,1.4200244232900556,0.6366178401273238,56.82990610328639
Chile,CONMEBOL,1.416421612980521,0.6425660038923019,56.768677621283246
Panama,CONCACAF,1.6638785290890503,0.8963527265240251,56.47682316118936
Albania,UEFA,1.4817885949083711,0.7356756596188074,56.3565179968701
Iceland,UEFA,1.668737663723261,0.910996964993715,56.284624413145536
Cameroon,CAF,1.591466605329365,0.8442433373727791,56.24900625978091
Tunisia,CAF,1.248069998719553,0.5716136459104941,55.61705007824725
Rep of Ireland,UEFA,1.4579368988120565,0.8307319166232231,54.84544600938966
Nigeria,CAF,1.5070392901147402,0.9242564254771756,54.301494522691705
Ivory Coast,CAF,1.4313566520082246,0.853504536798317,54.26290297339593
North Macedonia,UEFA,1.4144527884526934,0.8493809292041213,54.13234741784038
Congo DR,CAF,1.345664984760727,0.7843844615635419,54.11057902973396
Romania,UEFA,1.328787334176065,0.7717784709777822,54.08023474178404
Guadeloupe,CONCACAF,0.6602369935911202,0.1591037736709782,53.508419405320815
Montenegro,UEFA,1.391657449078694,0.8813942024590424,53.50011737089202
Costa Rica,CONCACAF,1.3059256253527454,0.7972975202944752,53.44456181533646
South Africa,CAF,1.2738356790069327,0.7668097122724719,53.437582159624405
Qatar,AFC,1.5109911477941322,0.998857612600948,53.42603286384976
Finland,UEFA,1.413575313615515,0.9009066162339784,53.42145539906104
Bosnia and Herzegovina,UEFA,1.4078954085524618,0.9037479172383176,53.3610641627543
