rank_old,name,confed_old,off_old,def_old,spi_old,rank_new,confed_new,off_new,def_new,spi_new,_merge,rank_change,off_change,def_change,spi_change
1,Argentina,CONMEBOL,2.512459840641836,0.3395617875315242,71.43745528455284,1,CONMEBOL,2.510138544246307,0.4265700576841593,70.48460162601626,both,0,-0.0023212963955288046,0.08700827015263507,-0.9528536585365828
2,Spain,UEFA,2.470102527558492,0.5227588880642358,68.88408130081301,2,UEFA,2.3983608840081034,0.4945736800378343,68.64999186991871,both,0,-0.07174164355038837,-0.028185208026401454,-0.23408943089430068
3,Brazil,CONMEBOL,2.340930537472698,0.5114770750632779,67.77113821138211,3,CONMEBOL,2.4216230226967403,0.6025587996116498,67.53573983739837,both,0,0.08069248522404227,0.09108172454837193,-0.23539837398374175
4,France,UEFA,2.395405568761464,0.567457246635934,67.58069105691057,4,UEFA,2.412270531130201,0.6182447615967629,67.28814634146342,both,0,0.016864962368737135,0.050787514960828894,-0.2925447154471499
5,Netherlands,UEFA,2.4048563304982955,0.6046706164515826,67.27684552845528,5,UEFA,2.4127760152677467,0.7118343227974352,66.14964227642275,both,0,0.007919684769451152,0.1071637063458526,-1.1272032520325297
6,England,UEFA,2.1690557529658867,0.4457969179452651,66.94873983739838,6,UEFA,2.16441156570696,0.5238892716620447,66.00675609756098,both,0,-0.004644187258926902,0.07809235371677958,-0.9419837398373971
7,Colombia,CONMEBOL,2.108255386883722,0.5060515055674459,65.5299674796748,7,CONMEBOL,2.106864319211106,0.5237148445125924,65.46989430894308,both,0,-0.0013910676726163196,0.01766333894514649,-0.060073170731712366
9,Italy,UEFA,2.2153994295492745,0.6521613111217553,64.82334959349593,8,UEFA,2.200406215663312,0.633872470950015,65.0090325203252,both,1,-0.014993213885962309,-0.018288840171740373,0.1856829268292728
8,Germany,UEFA,2.282493221297394,0.6994017986621214,64.92861788617887,9,UEFA,2.322082284060082,0.788828950854603,64.34009756097561,both,-1,0.039589062762688254,0.08942715219248165,-0.5885203252032625
11,Belgium,UEFA,2.069018019717786,0.632477338791048,63.56939024390243,10,UEFA,2.1601191484241724,0.6845596878739513,63.98395121951219,both,1,0.09110112870638654,0.05208234908290332,0.4145609756097599
10,Portugal,UEFA,2.0461748674213043,0.6026668913852571,63.71933333333334,11,UEFA,2.023193151421101,0.6219042450696811,63.38424390243903,both,-1,-0.022981716000203267,0.01923735368442403,-0.33508943089430687
13,Croatia,UEFA,1.994583917224244,0.6273256781042911,62.84308130081301,12,UEFA,2.0873860032255007,0.69687158151138,63.091804878048784,both,1,0.09280208600125661,0.06954590340708888,0.2487235772357721
14,Denmark,UEFA,1.994885297174354,0.6355973012227171,62.76505691056911,13,UEFA,2.0035432787743104,0.6433761759223402,62.8879918699187,both,1,0.008657981599956344,0.007778874699623128,0.12293495934959253
12,Switzerland,UEFA,2.0901526846102225,0.701170758196153,62.9280081300813,14,UEFA,2.1073460557747365,0.7415294443091169,62.77320325203252,both,-2,0.017193371164514026,0.04035868611296389,-0.15480487804877896
21,Mexico,CONCACAF,1.7103890500597243,0.5531660017005218,60.69866666666667,15,CONCACAF,1.8383782708354093,0.5228497060297586,62.64981300813008,both,6,0.12798922077568498,-0.030316295670763216,1.9511463414634136
15,Morocco,CAF,1.6791325245762865,0.416412081537811,62.15540650406505,16,CAF,1.7841142777753725,0.4910098523249136,62.48428455284552,both,-1,0.10498175319908598,0.07459777078710261,0.32887804878047433
17,USA,CONCACAF,1.9208636894877649,0.6774709202371725,61.49621951219512,17,CONCACAF,2.015221281841977,0.7204284906391177,62.02559349593496,both,0,0.09435759235421193,0.042957570401945255,0.5293739837398448
26,Japan,AFC,1.7290298276974183,0.687002139539272,59.2080406504065,18,AFC,1.8821745884156715,0.6703659909410817,61.24876422764228,both,8,0.15314476071825323,-0.016636148598190292,2.040723577235781
22,Norway,UEFA,1.8710070556133425,0.7244759950107744,60.300300813008135,19,UEFA,2.032961929098648,0.8085549610495388,61.20894308943089,both,3,0.16195487348530557,0.08407896603876441,0.9086422764227535
16,Poland,UEFA,2.0766902970370933,0.8044617581880122,61.53368292682927,20,UEFA,2.079697824367236,0.8582826284657689,61.02708943089431,both,-4,0.0030075273301428673,0.053820870277756616,-0.5065934959349647
20,Uruguay,CONMEBOL,1.6504817511230343,0.475302056595505,61.046040650406496,21,CONMEBOL,1.6519501334979068,0.5388061318842664,60.41206504065041,both,-1,0.0014683823748724567,0.0635040752887614,-0.6339756097560851
27,Ukraine,UEFA,1.880461676934467,0.8304162772327252,59.08255284552845,22,UEFA,1.9685192009014592,0.8176429186662942,60.376609756097565,both,5,0.08805752396699207,-0.012773358566430915,1.2940569105691182
18,Ecuador,CONMEBOL,1.711999148235941,0.4989456023863029,61.437333333333335,23,CONMEBOL,1.6902464740816487,0.587510280512994,60.19915447154472,both,-5,-0.021752674154292162,0.08856467812669111,-1.2381788617886116
23,Austria,UEFA,1.925730398209912,0.788801525521172,60.11073170731708,24,UEFA,1.9146817500473143,0.8136207081146116,59.78445528455284,both,-1,-0.011048648162597763,0.024819182593439626,-0.32627642276423785
24,Hungary,UEFA,1.8052232027545,0.7244539260468753,59.59613821138211,25,UEFA,1.8042984815095,0.7253020519891739,59.67485365853658,both,-1,-0.000924721245000093,0.0008481259422985499,0.07871544715446532
25,Turkey,UEFA,1.9087676049093336,0.8343396065435746,59.36285365853659,26,UEFA,1.910274795591468,0.8285233689031555,59.590073170731706,both,-1,0.0015071906821344516,-0.005816237640419164,0.22721951219511993
33,Sweden,UEFA,1.8255685880464845,0.8226193148646259,58.61514634146342,27,UEFA,1.9565861642433409,0.8943036512926491,59.29228455284553,both,6,0.1310175761968564,0.07168433642802319,0.6771382113821076
31,Canada,CONCACAF,1.6368723736956436,0.6381508079666979,58.78379674796748,28,CONCACAF,1.6890275307210711,0.6606679327163955,59.23751219512196,both,3,0.0521551570254275,0.02251712474969758,0.45371544715447953
35,Senegal,CAF,1.6418212896319786,0.68939158860753,58.21743089430894,29,CAF,1.735412480696447,0.7142065858091978,59.0879349593496,both,6,0.09359119106446845,0.0248149972016678,0.870504065040663
19,Scotland,UEFA,1.90506155872554,0.6883463389429653,61.15017073170732,30,UEFA,1.766349799150582,0.7429475829342033,59.07455284552846,both,-11,-0.13871175957495785,0.054601243991238,-2.0756178861788612
28,Czech Republic,UEFA,1.807524037320657,0.7745267499368117,58.96836585365853,31,UEFA,1.8743649748123603,0.8669438611859829,58.76626829268293,both,-3,0.06684093749170339,0.09241711124917118,-0.20209756097560216
30,Venezuela,CONMEBOL,1.7120493521079083,0.7035499798619359,58.81641463414634,32,CONMEBOL,1.6978446626437529,0.7256121585721962,58.55028455284553,both,-2,-0.014204689464155429,0.022062178710260283,-0.2661300813008083
37,Paraguay,CONMEBOL,1.4385437431943535,0.617158971754407,56.72818699186992,33,CONMEBOL,1.546221253041313,0.6259610301179113,58.0569593495935,both,4,0.10767750984695956,0.008802058363504228,1.3287723577235795
32,Greece,UEFA,1.6889190580877464,0.6866762129222392,58.75359349593495,34,UEFA,1.5957437314468987,0.7087451154781665,57.54894308943089,both,-2,-0.09317532664084771,0.022068902555927306,-1.204650406504058
34,Serbia,UEFA,1.7392711537254018,0.7629041612741138,58.39549593495935,35,UEFA,1.7025803337165766,0.8194235027529182,57.393926829268295,both,-1,-0.036690820008825176,0.05651934147880444,-1.001569105691054
44,Egypt,CAF,1.4668189443331945,0.7151318660448381,55.81786178861788,36,CAF,1.6175810041882357,0.7537254193461077,57.248227642276426,both,8,0.1507620598550412,0.03859355330126957,1.430365853658543
29,South Korea,AFC,1.6631547558978492,0.6523736332660333,58.90619512195122,37,AFC,1.5550557074005318,0.7128096179971,57.06407317073171,both,-8,-0.10809904849731744,0.060435984731066705,-1.8421219512195108
42,Algeria,CAF,1.5958287207118154,0.793316064650674,56.30539837398374,38,CAF,1.6190388173837127,0.7795063418232264,56.88391056910569,both,4,0.02321009667189733,-0.013809722827447524,0.5785121951219452
39,Australia,AFC,1.5133012618974064,0.6944756119222258,56.5619756097561,39,AFC,1.535943177538376,0.715365011029244,56.772235772357725,both,0,0.022641915640969623,0.020889399107018147,0.21026016260162805
40,Georgia,UEFA,1.6103020342566603,0.7925128399812151,56.55041463414634,40,UEFA,1.6259015896628652,0.8030754924586678,56.74356910569106,both,0,0.015599555406204946,0.010562652477452694,0.193154471544716
41,Slovakia,UEFA,1.516803806644644,0.7145128405580732,56.381756097560974,41,UEFA,1.582862830613846,0.7624562233508797,56.7370081300813,both,0,0.06605902396920182,0.04794338279280652,0.3552520325203261
58,Ivory Coast,CAF,1.352866310135791,0.7524821034374783,53.92627642276423,42,CAF,1.540870353457802,0.7261634896336316,56.68731707317073,both,16,0.18800404332201115,-0.026318613803846702,2.7610406504064997
45,Iran,AFC,1.4472326964820392,0.7088490568767553,55.637,43,AFC,1.5300361771210462,0.7266891856670461,56.55388617886179,both,2,0.082803480639007,0.017840128790290843,0.9168861788617875
36,Slovenia,UEFA,1.5808289113209932,0.7265593202284425,56.99579674796748,44,UEFA,1.580113444074344,0.7887828553429025,56.4110569105691,both,-8,-0.0007154672466491707,0.062223535114459994,-0.5847398373983808
38,Wales,UEFA,1.597896031682559,0.7730992324686834,56.62421138211382,45,UEFA,1.6270138042147255,0.8427431176285073,56.24673170731708,both,-7,0.02911777253216652,0.06964388515982389,-0.3774796747967386
46,Israel,UEFA,1.7141251555862198,0.974918595642553,55.41341463414634,46,UEFA,1.7587678770743755,0.969076200050017,56.19348780487805,both,0,0.044642721488155734,-0.005842395592535965,0.7800731707317112
53,Nigeria,CAF,1.5525721304211173,0.8859201193929181,54.6459024390244,47,CAF,1.6620604381000066,0.8967930062102045,55.99398373983741,both,6,0.10948830767888929,0.010872886817286376,1.3480813008130141
49,Rep of Ireland,UEFA,1.4796545338479037,0.7836120652271616,55.10676422764228,48,UEFA,1.4969499898805498,0.763543822188601,55.68579674796749,both,1,0.01729545603264615,-0.020068243038560696,0.5790325203252067
55,Chile,CONMEBOL,1.296631294453361,0.6457233665634682,54.56824390243903,49,CONMEBOL,1.4204021505177653,0.7211358241627154,55.32451219512195,both,6,0.12377085606440441,0.0754124575992472,0.7562682926829183
51,Congo DR,CAF,1.4264312177991714,0.7427592736489571,54.95812195121951,50,CAF,1.4580253845303064,0.7696956707208481,55.1819593495935,both,1,0.03159416673113502,0.026936397071890994,0.22383739837398764
48,Peru,CONMEBOL,1.3293525571858642,0.6362604609881882,55.14821951219512,51,CONMEBOL,1.373935529380786,0.7183367441816965,54.788130081300814,both,-3,0.0445829721949218,0.08207628319350824,-0.36008943089430545
43,Iceland,UEFA,1.6526720741010474,0.8653813380244967,56.071617886178856,52,UEFA,1.5628010788617392,0.9112146788374418,54.63712195121951,both,-9,-0.0898709952393082,0.0458333408129451,-1.4344959349593438
61,Bosnia and Herzegovina,UEFA,1.4759130004179486,0.9109343501366182,53.40458536585365,53,UEFA,1.5782347383027115,0.9520849453240492,54.32092682926829,both,8,0.10232173788476295,0.04115059518743103,0.9163414634146392
50,Tunisia,CAF,1.3384423138709396,0.6577141388646714,54.95930081300813,54,CAF,1.2956048470482855,0.6911355994852042,54.21787804878049,both,-4,-0.0428374668226541,0.03342146062053275,-0.7414227642276359
56,Cameroon,CAF,1.4578521227805008,0.8265179625071901,54.254089430894304,55,CAF,1.4446527752648015,0.8389207597641184,54.1259349593496,both,1,-0.013199347515699289,0.012402797256928277,-0.12815447154470405
47,Albania,UEFA,1.3931974156061129,0.6784836932682188,55.35525203252033,56,UEFA,1.3285705159745929,0.7301505174429505,54.065130081300815,both,-9,-0.06462689963152002,0.051666824174731674,-1.2901219512195183
52,Bolivia,CONMEBOL,1.4056085640679294,0.7205739689494467,54.93073983739837,57,CONMEBOL,1.390030383914204,0.803188510891251,53.94073170731707,both,-5,-0.015578180153725363,0.08261454194180429,-0.9900081300813
54,Panama,CONCACAF,1.5453866712820985,0.8795316804672316,54.611008130081295,58,CONCACAF,1.5292551491532036,0.9394490868631136,53.87828455284552,both,-4,-0.016131522128894904,0.059917406395881945,-0.7327235772357739
62,Kosovo,UEFA,1.4154567793591712,0.8582707763448904,53.35561788617886,59,UEFA,1.4565142553034198,0.8913654013118656,53.62012195121951,both,3,0.04105747594424858,0.03309462496697524,0.26450406504064716
57,Mali,CAF,1.3012000619678157,0.6878450830571158,54.10969105691057,60,CAF,1.2754717056022402,0.7131413328292234,53.58214634146342,both,-3,-0.025728356365575467,0.02529624977210765,-0.5275447154471493
60,Romania,UEFA,1.3687710969733835,0.7990095365811665,53.53378048780487,61,UEFA,1.3635819642555085,0.8365319029879607,53.20116260162602,both,-1,-0.005189132717875022,0.03752236640679418,-0.332617886178852
67,Ghana,CAF,1.3088334299911293,0.8574024989335824,52.05354471544715,62,CAF,1.3880994472109582,0.8622566432944047,53.15708943089431,both,5,0.07926601721982895,0.00485414436082221,1.103544715447157
66,Northern Ireland,UEFA,1.2590400967077415,0.789109274200819,52.31242276422764,63,UEFA,1.315446829541386,0.8035798888708926,53.01444715447155,both,3,0.05640673283364439,0.0144706146700736,0.7020243902439063
63,Guadeloupe,CONCACAF,0.785886516623516,0.2881011451778705,52.6520569105691,64,CONCACAF,0.7905514981414223,0.2919306830494844,52.899878048780494,both,-1,0.004664981517906286,0.003829537871613886,0.24782113821139262
64,Uzbekistan,AFC,1.2031784129628065,0.7107298808365871,52.60379674796748,65,AFC,1.2666938405190349,0.7661340482327799,52.87821951219512,both,-1,0.06351542755622841,0.055404167396192805,0.2744227642276442
65,South Africa,CAF,1.249381852523417,0.7573732823841393,52.592138211382114,66,CAF,1.256866315458187,0.7757912730239522,52.63643902439025,both,-1,0.007484462934769898,0.018417990639812976,0.044300813008135265
71,Jordan,AFC,1.23757881425758,0.861762263680553,51.0869674796748,67,AFC,1.3866936981306983,0.916774163531316,52.45878861788618,both,4,0.14911488387311822,0.055011899850763046,1.3718211382113807
59,North Macedonia,UEFA,1.3820789735080372,0.7960041482763327,53.70917073170733,68,UEFA,1.2481493299171822,0.7890884833815704,52.320682926829264,both,-9,-0.13392964359085502,-0.006915664894762252,-1.3884878048780678
69,Finland,UEFA,1.322001557478734,0.9051365701806454,51.59628455284553,69,UEFA,1.382689742036165,0.9254637278144108,52.29543902439025,both,0,0.06068818455743097,0.020327157633765358,0.6991544715447162
68,Burkina Faso,CAF,1.3797048689044675,0.9583471963492656,51.67234146341463,70,CAF,1.3784187513823891,0.9869929444654844,51.550739837398375,both,-2,-0.0012861175220784116,0.028645748116218783,-0.12160162601625757
77,Montenegro,UEFA,1.2476919909247666,0.9594236308289836,50.016113821138205,71,UEFA,1.3156787170535351,0.9526479047188712,51.17518699186993,both,6,0.06798672612876855,-0.006775726110112457,1.1590731707317232
70,Gabon,CAF,1.3750888192355726,0.993647790849534,51.21198373983739,72,CAF,1.4051359702932504,1.064441223823675,50.94276422764228,both,-2,0.030047151057677857,0.07079343297414087,-0.2692195121951144
79,Cape Verde Islands,CAF,1.099045304331678,0.8356453144835081,49.6640325203252,73,CAF,1.1806288087044057,0.8516985313158802,50.745634146341466,both,6,0.08158350437272777,0.016053216832372152,1.0816016260162655
72,New Zealand,OFC,1.099061510706754,0.7328820312553943,50.99036585365854,74,OFC,1.1651975840680897,0.8460187600720672,50.59240650406503,both,-2,0.06613607336133565,0.11313672881667292,-0.3979593495935063
73,Costa Rica,CONCACAF,1.2020938188134882,0.8745367511675689,50.48682113821138,75,CONCACAF,1.2214568195372382,0.9125324537085572,50.46982113821138,both,-2,0.019363000723749968,0.037995702540988274,-0.017000000000003013
74,Qatar,AFC,1.3451755781429324,1.0279832384403271,50.39770731707317,76,AFC,1.3206231415985712,1.0422419378775585,50.14540650406504,both,-2,-0.024552436544361234,0.014258699437231348,-0.25230081300812657
75,Saudi Arabia,AFC,1.1471942293913842,0.842973955181712,50.197626016260166,77,AFC,1.1355767386773803,0.855140234890821,50.07579674796748,both,-2,-0.011617490714003864,0.012166279709108996,-0.12182926829268581
81,Honduras,CONCACAF,1.0730186707253713,0.8535840442975298,49.0739918699187,78,CONCACAF,1.0948035529902442,0.8785899193671352,49.27011382113821,both,3,0.021784882264872962,0.025005875069605388,0.19612195121951004
82,Uganda,CAF,1.1765392196394622,0.9699461023205788,49.015113821138215,79,CAF,1.183523095299133,0.9828389539958736,49.13290243902439,both,3,0.006983875659670735,0.012892851675294859,0.1177886178861769
76,Bulgaria,UEFA,1.2482107963532854,0.954841370395522,50.07338211382114,80,UEFA,1.230531605498002,1.0318236277715631,49.12130894308943,both,-4,-0.017679190855283355,0.07698225737604114,-0.9520731707317083
78,Guinea,CAF,1.1874191882194984,0.9106601879548892,49.8470650406504,81,CAF,1.1532512429405215,0.9677954630558576,48.90517073170732,both,-3,-0.03416794527897693,0.057135275100968386,-0.9418943089430769
95,Kazakhstan,UEFA,1.0708118438998455,1.0127669385059863,47.08479674796748,82,UEFA,1.1601354489806286,0.9834704194698454,48.816,both,13,0.08932360508078308,-0.029296519036140944,1.7312032520325218
86,Benin,CAF,1.1617895980036894,1.024848797795907,48.11353658536586,83,CAF,1.1769067464798753,1.0096444287275117,48.70191056910569,both,3,0.015117148476185838,-0.015204369068395396,0.5883739837398352
80,Jamaica,CONCACAF,1.207467131474686,0.969524970953929,49.3900081300813,84,CONCACAF,1.1466897784027212,0.9869897507693012,48.59612195121951,both,-4,-0.06077735307196486,0.0174647798153722,-0.7938861788617899
90,Belarus,UEFA,1.0001013364682505,0.8927613769041055,47.628365853658536,85,UEFA,1.0686842475285172,0.9148548481669514,48.48434146341463,both,5,0.0685829110602667,0.022093471262845887,0.8559756097560935
