team,xG,xGA,matches,confed
Afghanistan,0.20324307167006075,1.2099666677925538,22.0,AFC
Albania,1.3285705159745929,0.7301505174429505,42.0,UEFA
Algeria,1.6190388173837127,0.7795063418232264,58.0,CAF
Andorra,0.45100367017263304,0.752711850314094,39.0,UEFA
Angola,1.043538060130095,0.9994586940484953,44.0,CAF
Anguilla,0.03746414947507052,2.406149517654807,21.0,CONCACAF
Antigua and Barbuda,0.23739782361505937,2.074065921875385,21.0,CONCACAF
Argentina,2.510138544246307,0.4265700576841593,56.0,CONMEBOL
Armenia,1.221611382810229,1.1703293464660958,37.0,UEFA
Aruba,0.2058487249878008,1.760448068793354,21.0,CONCACAF
Australia,1.535943177538376,0.715365011029244,48.0,AFC
Austria,1.9146817500473143,0.8136207081146116,45.0,UEFA
Azerbaijan,1.072720338321651,1.1891832194749496,37.0,UEFA
Bahamas,0.2193645640315158,2.1791763493683276,19.0,CONCACAF
Bahrain,0.8688033380975819,1.0870815400248086,50.0,AFC
Bangladesh,0.12748079794437128,1.1270823191850319,34.0,AFC
Barbados,0.2913200370029723,2.3271332300695846,26.0,CONCACAF
Belarus,1.0686842475285172,0.9148548481669514,37.0,UEFA
Belgium,2.1601191484241724,0.6845596878739513,50.0,UEFA
Belize,0.20936531408281878,1.9907767596421115,26.0,CONCACAF
Benin,1.1769067464798753,1.0096444287275117,36.0,CAF
Bermuda,0.6703070375488719,1.8135721850065976,30.0,CONCACAF
Bhutan,0.04060640874985956,2.6517330312469762,19.0,AFC
Bolivia,1.390030383914204,0.803188510891251,43.0,CONMEBOL
Bonaire,0.06862386077859722,1.2631593587169432,19.0,CONCACAF
Bosnia and Herzegovina,1.5782347383027115,0.9520849453240493,39.0,UEFA
Botswana,0.8890120602150959,1.056991965175746,33.0,CAF
Brazil,2.4216230226967403,0.6025587996116498,49.0,CONMEBOL
British Virgin Islands,0.10541311891481325,1.3259492148726113,23.0,CONCACAF
Brunei,0.04370414100618797,2.5876622771363116,26.0,AFC
Bulgaria,1.230531605498002,1.0318236277715631,38.0,UEFA
Burkina Faso,1.3784187513823891,0.9869929444654844,48.0,CAF
Burundi,0.5782085429195649,1.2421451918957476,25.0,CAF
Cambodia,0.14385647089665843,1.198102368093676,29.0,AFC
Cameroon,1.4446527752648017,0.8389207597641184,44.0,CAF
Canada,1.6890275307210711,0.6606679327163955,55.0,CONCACAF
Cape Verde,1.1806288087044055,0.8516985313158802,45.0,CAF
Cayman Islands,0.11029594232714676,2.176353516421441,20.0,CONCACAF
Central African Republic,0.9098776506562859,1.2235251337916895,25.0,CAF
Chad,0.6120945593697245,1.1413776745378397,23.0,CAF
Chile,1.4204021505177653,0.7211358241627154,39.0,CONMEBOL
China,0.8210671155927627,1.1149983658372455,36.0,AFC
Colombia,2.106864319211106,0.5237148445125924,50.0,CONMEBOL
Comoros,1.13354188989394,0.982051766018005,43.0,CAF
Congo,1.076650002267534,1.313492401809737,18.0,CAF
