team,xG,xGA,matches
Anguilla,0.03746414947507052,2.406149517654807,21.0
Antigua and Barbuda,0.23739782361505937,2.074065921875385,21.0
Aruba,0.2058487249878008,1.760448068793354,21.0
Bahamas,0.2193645640315158,2.1791763493683276,19.0
Barbados,0.2913200370029723,2.3271332300695846,26.0
Belize,0.20936531408281878,1.9907767596421115,26.0
Bermuda,0.6703070375488719,1.8135721850065976,30.0
Bonaire,0.06862386077859722,1.2631593587169432,19.0
British Virgin Islands,0.10541311891481325,1.3259492148726113,23.0
Canada,1.6890275307210711,0.6606679327163955,55.0
Cayman Islands,0.11029594232714676,2.176353516421441,20.0
Costa Rica,1.2214568195372382,0.9125324537085572,53.0
Cuba,0.5724934036643049,1.294524681323831,34.0
Curaçao,0.7118102261285637,1.1195068039503784,39.0
Dominica,0.21278416467227051,1.783430039927564,21.0
Dominican Republic,0.7796264225618477,1.3060122905976064,35.0
El Salvador,0.7429315734608991,0.9994637699868009,45.0
Grenada,0.3951698344533689,1.3347192501362315,32.0
Guadeloupe,0.7905514981414223,0.2919306830494844,24.0
Guatemala,1.0274885411536598,0.9831711088979739,54.0
Guyana,0.5421072977941515,1.6116966349170625,30.0
Haiti,1.0758627531856721,1.1539073836776481,37.0
Honduras,1.0948035529902442,0.8785899193671352,47.0
Jamaica,1.1466897784027212,0.9869897507693011,57.0
Martinique,0.8243491066328584,1.2625310734885828,21.0
Mexico,1.8383782708354097,0.5228497060297586,70.0
Montserrat,0.5039927515335187,1.51032333258455,18.0
Nicaragua,0.6875802057578279,1.1527217188957763,38.0
Panama,1.5292551491532036,0.9394490868631137,62.0
Puerto Rico,0.3539748918361516,1.604853546391986,28.0
Saint Kitts and Nevis,0.1606486490383301,2.4482684897611287,34.0
Saint Lucia,0.25140209867911417,2.433956858613378,26.0
Saint Martin,0.14444957728176078,1.4464630990261922,17.0
Saint Vincent and the Grenadines,0.4737694966315632,1.7067392832849086,33.0
Sint Maarten,0.12955251237479404,2.656690814285577,19.0
Suriname,0.9146055896384916,1.0570650878838395,30.0
Trinidad and Tobago,0.8729457409026296,1.2146407309443408,49.0
Turks and Caicos Islands,0.005137929345992958,2.5538297135095482,13.0
United States,2.015221281841977,0.7204284906391177,65.0
United States Virgin Islands,0.018888077759754127,2.6208582182672826,14.0
