team,xG,xGA,matches
Argentina,2.510138544246307,0.4265700576841593,56.0
Bolivia,1.390030383914204,0.803188510891251,43.0
Brazil,2.4216230226967403,0.6025587996116498,49.0
Chile,1.4204021505177653,0.7211358241627154,39.0
Colombia,2.106864319211106,0.5237148445125924,50.0
Ecuador,1.6902464740816487,0.587510280512994,49.0
Paraguay,1.546221253041313,0.6259610301179113,43.0
Peru,1.373935529380786,0.7183367441816965,39.0
Uruguay,1.6519501334979068,0.5388061318842664,47.0
Venezuela,1.6978446626437527,0.7256121585721962,40.0
