team,xG,xGA,matches,confed
Argentina,2.425235135045325,0.7540256124438818,11.0,CONMEBOL
Spain,2.0406316256330856,0.34939383504355437,11.0,UEFA
Brazil,2.7024562416494122,0.9643316801133948,9.0,CONMEBOL
France,2.408796420171131,0.7847240045465065,11.0,UEFA
Netherlands,2.3645796248699504,1.2283106347726844,8.0,UEFA
England,2.081974714104226,0.8018968684186989,11.0,UEFA
Colombia,2.0314581287660145,0.5660140803070292,9.0,CONMEBOL
Germany,2.44428472054643,1.1936475353565112,8.0,UEFA
Italy,1.921634251905184,0.3728197303241992,4.0,UEFA
Portugal,1.8405324065605195,0.6679112611723725,9.0,UEFA
Belgium,2.4607902067477374,0.8479889177909044,10.0,UEFA
Switzerland,2.1148947509815517,0.8604536496937877,10.0,UEFA
Croatia,2.5076731606637988,1.0124034927122607,8.0,UEFA
Denmark,1.9608640417534795,0.6284924701433794,4.0,UEFA
Morocco,2.2544422574270313,0.8315484572074807,11.0,CAF
Poland,1.9747796515751015,1.2726431500409878,4.0,UEFA
United States,2.516450975004493,0.9194660014806111,9.0,CONCACAF
Ecuador,1.5176732076799555,0.9941992355978079,8.0,CONMEBOL
Scotland,0.967642506222796,0.97029381364784,7.0,UEFA
Uruguay,1.5726530976812605,1.005800764402192,5.0,CONMEBOL
Mexico,2.4558323933697537,0.316597677958418,11.0,CONCACAF
Norway,2.5308245736359707,1.0477544076644822,10.0,UEFA
Austria,1.7820709010288704,0.8797409374859796,7.0,UEFA
Hungary,1.6866128360986008,0.6356236905270575,4.0,UEFA
Turkey,1.8445963631568225,0.7246967524983795,7.0,UEFA
Japan,2.784170728325803,0.4980936468980864,7.0,AFC
Ukraine,2.6448761641241423,0.5954245407710661,4.0,UEFA
Czech Republic,2.1581440643384338,1.28394974814296,7.0,UEFA
South Korea,0.7584595184891558,1.0464607710992402,7.0,AFC
Venezuela,1.4698139942210102,0.8289861834441973,4.0,CONMEBOL
Canada,1.8946900063881766,0.7227927694512601,9.0,CONCACAF
Greece,0.714298064928141,0.8080064657907262,4.0,UEFA
Sweden,2.497598120322761,1.159854310855109,8.0,UEFA
Serbia,1.2368418338442846,1.2549334753459664,4.0,UEFA
Senegal,2.225275909865618,0.7975139862649929,8.0,CAF
Slovenia,1.4729033079250236,1.2842296040589922,4.0,UEFA
Paraguay,1.9682681671651394,0.6203340944465456,8.0,CONMEBOL
Wales,1.7881857430154284,1.344340095153268,4.0,UEFA
Australia,1.5947718845214298,0.7635071870815621,8.0,AFC
Georgia,1.6703544285935852,0.7927921645227977,4.0,UEFA
Slovakia,2.1123499076997394,1.112898644247214,4.0,UEFA
Algeria,1.6948367316646678,0.6190604046708758,8.0,CAF
Iceland,0.7608354330572992,1.170301825942415,5.0,UEFA
Egypt,2.4200326345540186,0.9088987568459578,8.0,CAF
Iran,1.9531174428252591,0.7658143736497717,7.0,AFC
Israel,2.3137516676948753,0.6502112077813111,2.0,UEFA
Albania,0.632297185464003,1.1204153768351683,4.0,UEFA
Peru,1.6849885642620728,1.3446288051855715,4.0,CONMEBOL
Republic of Ireland,1.5456587047682617,0.5489538403342973,5.0,UEFA
Tunisia,0.9417923082703853,0.8490761474414563,7.0,CAF
DR Congo,1.5729954952477918,0.8501114210957523,8.0,CAF
Bolivia,1.2010950695281726,1.3404476873261584,5.0,CONMEBOL
Nigeria,2.3832439738999955,0.8784933134164524,6.0,CAF
Panama,1.3504312739295894,1.2483831785293074,8.0,CONCACAF
Chile,2.421675759857631,1.288761408313036,4.0,CONMEBOL
Cameroon,0.9799212924985004,0.8572708847327314,2.0,CAF
Mali,0.004262336951224016,1.3095551331230662,1.0,CAF
Ivory Coast,2.6819230923377577,0.48620938429409155,7.0,CAF
North Macedonia,0.0044539566755861645,0.6276518366555139,4.0,UEFA
Romania,1.2297981218201974,1.077771581701876,4.0,UEFA
Bosnia and Herzegovina,1.9293304139474414,1.0506575717672602,8.0,UEFA
Kosovo,1.715736765092893,1.0562366917970867,4.0,UEFA
Uzbekistan,1.5954637885679455,1.0282081896840245,7.0,AFC
South Africa,1.249873364576433,0.8171218677031175,8.0,CAF
Northern Ireland,1.696839568098785,0.8244727761098973,4.0,UEFA
Ghana,1.7175144084617595,0.820275253729724,8.0,CAF
Burkina Faso,1.2289839577328066,1.209521668662373,3.0,CAF
Finland,1.8472919810297883,0.9870060945842979,4.0,UEFA
