rank,name,confed,off,def,spi
1,Argentina,CONMEBOL,2.510138544246307,0.4265700576841593,70.49969918699188
2,Spain,UEFA,2.3983608840081034,0.4945736800378343,68.63985365853658
3,Brazil,CONMEBOL,2.4216230226967403,0.6025587996116498,67.5780487804878
4,France,UEFA,2.412270531130201,0.6182447615967629,67.30249593495935
5,Netherlands,UEFA,2.4127760152677467,0.7118343227974352,66.14721951219512
6,England,UEFA,2.16441156570696,0.5238892716620447,66.01557723577235
7,Colombia,CONMEBOL,2.106864319211106,0.5237148445125924,65.4119837398374
8,Italy,UEFA,2.2004062156633117,0.633872470950015,65.02926016260163
9,Germany,UEFA,2.322082284060082,0.788828950854603,64.38664227642276
10,Belgium,UEFA,2.1601191484241724,0.6845596878739513,63.98347154471546
11,Portugal,UEFA,2.023193151421101,0.6219042450696811,63.387447154471545
12,Croatia,UEFA,2.0873860032255007,0.69687158151138,63.098260162601626
13,Denmark,UEFA,2.0035432787743104,0.6433761759223402,62.89614634146342
14,Switzerland,UEFA,2.1073460557747365,0.7415294443091169,62.783756097560975
15,Mexico,CONCACAF,1.8383782708354095,0.5228497060297586,62.679040650406506
16,Morocco,CAF,1.7841142777753725,0.4910098523249136,62.46239024390244
17,USA,CONCACAF,2.015221281841977,0.7204284906391177,62.05079674796748
18,Japan,AFC,1.8821745884156715,0.6703659909410817,61.255691056910564
19,Norway,UEFA,2.032961929098648,0.8085549610495388,61.151658536585366
20,Poland,UEFA,2.079697824367236,0.8582826284657689,61.05513008130081
21,Uruguay,CONMEBOL,1.6519501334979068,0.5388061318842664,60.39673983739837
22,Ukraine,UEFA,1.9685192009014592,0.8176429186662942,60.38619512195121
23,Ecuador,CONMEBOL,1.6902464740816487,0.587510280512994,60.19471544715448
24,Austria,UEFA,1.9146817500473143,0.8136207081146116,59.86737398373984
25,Hungary,UEFA,1.8042984815094996,0.7253020519891739,59.73069918699186
26,Turkey,UEFA,1.910274795591468,0.8285233689031555,59.59792682926829
27,Sweden,UEFA,1.9565861642433409,0.8943036512926491,59.33807317073171
28,Canada,CONCACAF,1.6890275307210711,0.6606679327163955,59.27114634146341
29,Senegal,CAF,1.735412480696447,0.7142065858091978,59.098130081300816
30,Scotland,UEFA,1.766349799150582,0.7429475829342033,59.09586991869919
31,Czech Republic,UEFA,1.8743649748123603,0.8669438611859829,58.74526829268293
32,Venezuela,CONMEBOL,1.6978446626437529,0.7256121585721962,58.54117886178861
33,Paraguay,CONMEBOL,1.546221253041313,0.6259610301179113,58.052951219512195
34,Greece,UEFA,1.5957437314468987,0.7087451154781665,57.550373983739846
35,Serbia,UEFA,1.7025803337165766,0.8194235027529182,57.392886178861794
36,Egypt,CAF,1.6175810041882357,0.7537254193461077,57.253008130081305
37,South Korea,AFC,1.5550557074005318,0.7128096179971,57.044764227642276
38,Algeria,CAF,1.6190388173837127,0.7795063418232264,56.91125203252033
39,Australia,AFC,1.535943177538376,0.715365011029244,56.77393495934959
40,Slovakia,UEFA,1.582862830613846,0.7624562233508797,56.72969105691057
41,Georgia,UEFA,1.6259015896628652,0.8030754924586678,56.69736585365853
42,Ivory Coast,CAF,1.540870353457802,0.7261634896336316,56.68511382113821
43,Iran,AFC,1.5300361771210462,0.7266891856670461,56.57524390243902
44,Slovenia,UEFA,1.580113444074344,0.7887828553429025,56.38570731707316
45,Wales,UEFA,1.6270138042147255,0.8427431176285073,56.221886178861794
46,Israel,UEFA,1.7587678770743755,0.969076200050017,56.18675609756097
47,Nigeria,CAF,1.6620604381000066,0.8967930062102045,55.96063414634146
48,Rep of Ireland,UEFA,1.4969499898805498,0.763543822188601,55.72389430894309
49,Chile,CONMEBOL,1.4204021505177653,0.7211358241627154,55.32569918699187
50,Congo DR,CAF,1.4580253845303064,0.7696956707208481,55.164146341463415
51,Peru,CONMEBOL,1.373935529380786,0.7183367441816965,54.77565040650406
52,Iceland,UEFA,1.5628010788617392,0.9112146788374418,54.63402439024391
53,Bosnia and Herzegovina,UEFA,1.5782347383027115,0.9520849453240492,54.295276422764225
54,Tunisia,CAF,1.2956048470482855,0.6911355994852042,54.195821138211386
55,Cameroon,CAF,1.4446527752648015,0.8389207597641184,54.14070731707318
56,Albania,UEFA,1.3285705159745929,0.7301505174429505,54.10221951219513
57,Bolivia,CONMEBOL,1.390030383914204,0.803188510891251,53.92857723577236
58,Panama,CONCACAF,1.5292551491532036,0.9394490868631136,53.87248780487804
59,Mali,CAF,1.2754717056022402,0.7131413328292234,53.64622764227642
60,Kosovo,UEFA,1.4565142553034198,0.8913654013118656,53.6390569105691
61,Ghana,CAF,1.3880994472109582,0.8622566432944047,53.196585365853664
62,Romania,UEFA,1.3635819642555085,0.8365319029879607,53.17060975609756
63,Northern Ireland,UEFA,1.315446829541386,0.8035798888708926,53.016162601626014
64,Guadeloupe,CONCACAF,0.7905514981414223,0.2919306830494844,52.89449593495935
65,Uzbekistan,AFC,1.2666938405190349,0.7661340482327799,52.84342276422764
66,South Africa,CAF,1.256866315458187,0.7757912730239522,52.61265040650406
67,Jordan,AFC,1.3866936981306983,0.916774163531316,52.47758536585366
68,Finland,UEFA,1.382689742036165,0.9254637278144108,52.32543902439024
69,North Macedonia,UEFA,1.2481493299171822,0.7890884833815704,52.3240081300813
70,Burkina Faso,CAF,1.3784187513823891,0.9869929444654844,51.446113821138205
71,Montenegro,UEFA,1.3156787170535351,0.9526479047188712,51.15853658536585
72,Gabon,CAF,1.4051359702932504,1.064441223823675,50.89371544715448
73,Cape Verde Islands,CAF,1.1806288087044057,0.8516985313158802,50.709227642276424
74,New Zealand,OFC,1.1651975840680897,0.8460187600720672,50.61349593495935
75,Costa Rica,CONCACAF,1.2214568195372382,0.9125324537085572,50.48095121951219
76,Qatar,AFC,1.3206231415985712,1.0422419378775585,50.11420325203252
77,Saudi Arabia,AFC,1.1355767386773803,0.855140234890821,50.08652032520325
78,Honduras,CONCACAF,1.0948035529902442,0.8785899193671352,49.262699186991874
79,Uganda,CAF,1.183523095299133,0.9828389539958736,49.147918699186995
80,Bulgaria,UEFA,1.230531605498002,1.0318236277715631,49.12669105691057
81,Guinea,CAF,1.1532512429405215,0.9677954630558576,48.93635772357723
82,Kazakhstan,UEFA,1.1601354489806286,0.9834704194698454,48.81514634146342
83,Benin,CAF,1.1769067464798753,1.0096444287275117,48.7129918699187
84,Jamaica,CONCACAF,1.1466897784027212,0.9869897507693012,48.585008130081306
85,Comoros,CAF,1.13354188989394,0.982051766018005,48.490373983739836
86,Belarus,UEFA,1.0686842475285172,0.9148548481669514,48.48062601626016
87,Estonia,UEFA,1.109525742679176,0.9697769022425818,48.38046341463415
