team,name,confed,prior_matches,evidence_window_start,prior_evidence_end,evidence_window_years
Argentina,Argentina,CONMEBOL,45.0,2022-07-16,2026-01-26,4
Spain,Spain,UEFA,44.0,2022-07-16,2026-01-26,4
Brazil,Brazil,CONMEBOL,40.0,2022-07-16,2026-01-26,4
France,France,UEFA,45.0,2022-07-16,2026-01-26,4
Netherlands,Netherlands,UEFA,43.0,2022-07-16,2026-01-26,4
England,England,UEFA,44.0,2022-07-16,2026-01-26,4
Colombia,Colombia,CONMEBOL,41.0,2022-07-16,2026-01-26,4
Germany,Germany,UEFA,42.0,2022-07-16,2026-01-26,4
Italy,Italy,UEFA,38.0,2022-07-16,2026-01-26,4
Portugal,Portugal,UEFA,44.0,2022-07-16,2026-01-26,4
Belgium,Belgium,UEFA,40.0,2022-07-16,2026-01-26,4
Switzerland,Switzerland,UEFA,42.0,2022-07-16,2026-01-26,4
Croatia,Croatia,UEFA,43.0,2022-07-16,2026-01-26,4
Denmark,Denmark,UEFA,39.0,2022-07-16,2026-01-26,4
Morocco,Morocco,CAF,56.0,2022-07-16,2026-01-26,4
Poland,Poland,UEFA,40.0,2022-07-16,2026-01-26,4
United States,USA,CONCACAF,56.0,2022-07-16,2026-01-26,4
Ecuador,Ecuador,CONMEBOL,41.0,2022-07-16,2026-01-26,4
Scotland,Scotland,UEFA,37.0,2022-07-16,2026-01-26,4
Uruguay,Uruguay,CONMEBOL,42.0,2022-07-16,2026-01-26,4
Mexico,Mexico,CONCACAF,59.0,2022-07-16,2026-01-26,4
Norway,Norway,UEFA,34.0,2022-07-16,2026-01-26,4
Austria,Austria,UEFA,38.0,2022-07-16,2026-01-26,4
Hungary,Hungary,UEFA,37.0,2022-07-16,2026-01-26,4
Turkey,Turkey,UEFA,39.0,2022-07-16,2026-01-26,4
Japan,Japan,AFC,45.0,2022-07-16,2026-01-26,4
Ukraine,Ukraine,UEFA,36.0,2022-07-16,2026-01-26,4
Czech Republic,Czech Republic,UEFA,37.0,2022-07-16,2026-01-26,4
South Korea,South Korea,AFC,47.0,2022-07-16,2026-01-26,4
Venezuela,Venezuela,CONMEBOL,36.0,2022-07-16,2026-01-26,4
Canada,Canada,CONCACAF,46.0,2022-07-16,2026-01-26,4
Greece,Greece,UEFA,34.0,2022-07-16,2026-01-26,4
Sweden,Sweden,UEFA,37.0,2022-07-16,2026-01-26,4
Serbia,Serbia,UEFA,39.0,2022-07-16,2026-01-26,4
Senegal,Senegal,CAF,48.0,2022-07-16,2026-01-26,4
Slovenia,Slovenia,UEFA,39.0,2022-07-16,2026-01-26,4
Paraguay,Paraguay,CONMEBOL,35.0,2022-07-16,2026-01-26,4
Wales,Wales,UEFA,35.0,2022-07-16,2026-01-26,4
Australia,Australia,AFC,40.0,2022-07-16,2026-01-26,4
Georgia,Georgia,UEFA,36.0,2022-07-16,2026-01-26,4
Slovakia,Slovakia,UEFA,38.0,2022-07-16,2026-01-26,4
Algeria,Algeria,CAF,50.0,2022-07-16,2026-01-26,4
Iceland,Iceland,UEFA,40.0,2022-07-16,2026-01-26,4
Egypt,Egypt,CAF,46.0,2022-07-16,2026-01-26,4
Iran,Iran,AFC,41.0,2022-07-16,2026-01-26,4
Israel,Israel,UEFA,33.0,2022-07-16,2026-01-26,4
Albania,Albania,UEFA,38.0,2022-07-16,2026-01-26,4
Peru,Peru,CONMEBOL,35.0,2022-07-16,2026-01-26,4
Republic of Ireland,Rep of Ireland,UEFA,34.0,2022-07-16,2026-01-26,4
Tunisia,Tunisia,CAF,48.0,2022-07-16,2026-01-26,4
DR Congo,Congo DR,CAF,43.0,2022-07-16,2026-01-26,4
Bolivia,Bolivia,CONMEBOL,38.0,2022-07-16,2026-01-26,4
Nigeria,Nigeria,CAF,44.0,2022-07-16,2026-01-26,4
Panama,Panama,CONCACAF,54.0,2022-07-16,2026-01-26,4
Chile,Chile,CONMEBOL,35.0,2022-07-16,2026-01-26,4
Cameroon,Cameroon,CAF,42.0,2022-07-16,2026-01-26,4
Mali,Mali,CAF,38.0,2022-07-16,2026-01-26,4
Ivory Coast,Ivory Coast,CAF,45.0,2022-07-16,2026-01-26,4
North Macedonia,North Macedonia,UEFA,35.0,2022-07-16,2026-01-26,4
Romania,Romania,UEFA,38.0,2022-07-16,2026-01-26,4
Bosnia and Herzegovina,Bosnia and Herzegovina,UEFA,31.0,2022-07-16,2026-01-26,4
Kosovo,Kosovo,UEFA,33.0,2022-07-16,2026-01-26,4
Guadeloupe,Guadeloupe,CONCACAF,24.0,2022-07-16,2026-01-26,4
Uzbekistan,Uzbekistan,AFC,42.0,2022-07-16,2026-01-26,4
South Africa,South Africa,CAF,50.0,2022-07-16,2026-01-26,4
Northern Ireland,Northern Ireland,UEFA,32.0,2022-07-16,2026-01-26,4
Ghana,Ghana,CAF,38.0,2022-07-16,2026-01-26,4
Burkina Faso,Burkina Faso,CAF,45.0,2022-07-16,2026-01-26,4
Finland,Finland,UEFA,36.0,2022-07-16,2026-01-26,4
Gabon,Gabon,CAF,31.0,2022-07-16,2026-01-26,4
Jordan,Jordan,AFC,49.0,2022-07-16,2026-01-26,4
New Zealand,New Zealand,OFC,31.0,2022-07-16,2026-01-26,4
Costa Rica,Costa Rica,CONCACAF,49.0,2022-07-16,2026-01-26,4
Qatar,Qatar,AFC,56.0,2022-07-16,2026-01-26,4
Saudi Arabia,Saudi Arabia,AFC,63.0,2022-07-16,2026-01-26,4
Bulgaria,Bulgaria,UEFA,34.0,2022-07-16,2026-01-26,4
Montenegro,Montenegro,UEFA,34.0,2022-07-16,2026-01-26,4
Guinea,Guinea,CAF,35.0,2022-07-16,2026-01-26,4
Cape Verde,Cape Verde Islands,CAF,37.0,2022-07-16,2026-01-26,4
Jamaica,Jamaica,CONCACAF,52.0,2022-07-16,2026-01-26,4
Honduras,Honduras,CONCACAF,45.0,2022-07-16,2026-01-26,4
