team,xG,xGA,matches,confed
Afghanistan,0.5081076791751518,3.0249166694813843,22.0,AFC
Albania,3.3214262899364826,1.8253762936073759,42.0,UEFA
Algeria,4.047597043459282,1.948765854558066,58.0,CAF
Andorra,1.1275091754315827,1.8817796257852348,39.0,UEFA
Angola,2.608845150325238,2.498646735121238,44.0,CAF
Anguilla,0.09366037368767627,6.015373794137018,21.0,CONCACAF
Antigua and Barbuda,0.5934945590376483,5.185164804688462,21.0,CONCACAF
Argentina,6.165326696762326,1.091371000415724,57.0,CONMEBOL
Armenia,3.054028457025573,2.9258233661652393,37.0,UEFA
Aruba,0.5146218124695021,4.401120171983385,21.0,CONCACAF
Australia,3.839857943845941,1.78841252757311,48.0,AFC
Austria,4.786704375118286,2.034051770286529,45.0,UEFA
Azerbaijan,2.681800845804128,2.9729580486873743,37.0,UEFA
Bahamas,0.5484114100787896,5.44794087342082,19.0,CONCACAF
Bahrain,2.172008345243955,2.7177038500620214,50.0,AFC
Bangladesh,0.3187019948609281,2.81770579796258,34.0,AFC
Barbados,0.7283000925074311,5.8178330751739615,26.0,CONCACAF
Belarus,2.671710618821294,2.2871371204173787,37.0,UEFA
Belgium,5.400297871060432,1.7113992196848782,50.0,UEFA
Belize,0.5234132852070468,4.976941899105279,26.0,CONCACAF
Benin,2.942266866199689,2.5241110718187794,36.0,CAF
Bermuda,1.6757675938721799,4.533930462516494,30.0,CONCACAF
Bhutan,0.10151602187464875,6.62933257811744,19.0,AFC
Bolivia,3.475075959785511,2.0079712772281275,43.0,CONMEBOL
Bonaire,0.17155965194649303,3.157898396792358,19.0,CONCACAF
Bosnia and Herzegovina,3.9455868457567793,2.380212363310123,39.0,UEFA
Botswana,2.22253015053774,2.642479912939365,32.0,CAF
Brazil,6.054057556741851,1.5063969990291244,49.0,CONMEBOL
British Virgin Islands,0.26353279728703305,3.3148730371815285,23.0,CONCACAF
Brunei,0.10926035251546977,6.46915569284078,26.0,AFC
Bulgaria,3.0763290137450054,2.5795590694289077,38.0,UEFA
Burkina Faso,3.4460468784559732,2.467482361163711,48.0,CAF
Burundi,1.4455213572989125,3.1053629797393696,25.0,CAF
Cambodia,0.35964117724164607,2.99525592023419,29.0,AFC
Cameroon,3.611631938162004,2.097301899410296,44.0,CAF
Canada,4.222568826802679,1.6516698317909886,55.0,CONCACAF
Cape Verde,2.951572021761015,2.1292463282897005,45.0,CAF
Cayman Islands,0.2757398558178668,5.4408837910536025,20.0,CONCACAF
Central African Republic,2.2746941266407155,3.058812834479224,25.0,CAF
Chad,1.5302363984243115,2.853444186344599,23.0,CAF
Chile,3.5510053762944134,1.8028395604067884,39.0,CONMEBOL
China,2.052667788981907,2.787495914593114,36.0,AFC
Colombia,5.267160798027765,1.309287111281481,50.0,CONMEBOL
Comoros,2.8338547247348504,2.4551294150450125,43.0,CAF
Congo,2.691625005668836,3.283731004524342,18.0,CAF
Costa Rica,3.0536420488430958,2.281331134271393,53.0,CONCACAF
Croatia,5.2184650080637525,1.74217895377845,51.0,UEFA
Cuba,1.4312335091607626,3.2363117033095774,34.0,CONCACAF
Curaçao,1.7795255653214095,2.798767009875946,39.0,CONCACAF
Cyprus,2.4628398277623105,2.6525575451914865,38.0,UEFA
Czech Republic,4.685912437030901,2.167359652964957,44.0,UEFA
DR Congo,3.645063461325766,1.9242391768021203,51.0,CAF
Denmark,5.008858196935777,1.6084404398058503,43.0,UEFA
Djibouti,1.4130153319747794,3.09650376081069,16.0,CAF
Dominica,0.5319604116806763,4.45857509981891,21.0,CONCACAF
Dominican Republic,1.9490660564046192,3.265030726494016,35.0,CONCACAF
East Timor,0.05379475806753051,6.4758570439766325,18.0,AFC
Ecuador,4.225616185204123,1.468775701282485,49.0,CONMEBOL
Egypt,4.043952510470589,1.8843135483652693,54.0,CAF
El Salvador,1.857328933652248,2.498659424967002,45.0,CONCACAF
England,5.359256449022994,1.3311863554574495,56.0,UEFA
Equatorial Guinea,2.4793044792272143,2.5322530710248548,39.0,CAF
Estonia,2.7738143566979407,2.4244422556064547,42.0,UEFA
Eswatini,1.8731956900668996,2.729592226789095,27.0,CAF
Ethiopia,2.1572719991407547,2.763494792315701,27.0,CAF
Faroe Islands,2.3441813246238787,2.412620661343256,37.0,UEFA
Fiji,0.7531956593733036,5.146556735757351,30.0,OFC
Finland,3.456724355090413,2.313659319536027,40.0,UEFA
France,5.968528131537676,1.5629145013900303,57.0,UEFA
Gabon,3.5128399257331266,2.661103059559187,33.0,CAF
Gambia,3.0937482659167688,2.7828988332910054,29.0,CAF
Georgia,4.064753974157163,2.0076887311466693,40.0,UEFA
Germany,5.805205710150208,1.9720723771365076,50.0,UEFA
Ghana,3.470248618027396,2.1556416082360115,46.0,CAF
Gibraltar,1.0008001419070731,2.454377892638636,36.0,UEFA
Greece,3.989359328617248,1.7718627886954164,38.0,UEFA
Grenada,0.9879245861334224,3.3367981253405787,32.0,CONCACAF
Guadeloupe,1.9763787453535562,0.7298267076237109,24.0,CONCACAF
Guatemala,2.5687213528841504,2.457927772244935,54.0,CONCACAF
Guinea,2.8831281073513044,2.419488657639644,38.0,CAF
Guinea-Bissau,2.147246448975774,2.756722081275143,31.0,CAF
Guyana,1.355268244485379,4.029241587292656,30.0,CONCACAF
Haiti,2.6896568829641803,2.88476845919412,37.0,CONCACAF
Honduras,2.737008882475611,2.196474798417838,47.0,CONCACAF
Hong Kong,0.6961336660758456,2.839082310086085,44.0,AFC
Hungary,4.510746203773751,1.8132551299729345,41.0,UEFA
Iceland,3.9070026971543492,2.2780366970936043,45.0,UEFA
India,0.6605055827576987,2.8014352283222466,35.0,AFC
Indonesia,1.5169685423230712,1.9152047151483718,51.0,AFC
Iran,3.8250904428026167,1.8167229641676153,48.0,AFC
Iraq,2.617019207555958,2.476674031244086,56.0,AFC
Israel,4.396919692685939,2.4226905001250425,35.0,UEFA
Italy,5.501015539158281,1.5846811773750376,42.0,UEFA
Ivory Coast,3.852175883644506,1.815408724084079,52.0,CAF
