team,name,confed,incoming_prior_matches,stage4_matches,prior_matches,evidence_window_start,evidence_window_end,evidence_window_years
Afghanistan,Afghanistan,AFC,22.0,0.0,22.0,2022-07-20,2026-07-19,4
Albania,Albania,UEFA,42.0,0.0,42.0,2022-07-20,2026-07-19,4
Algeria,Algeria,CAF,58.0,0.0,58.0,2022-07-20,2026-07-19,4
Andorra,Andorra,UEFA,39.0,0.0,39.0,2022-07-20,2026-07-19,4
Angola,Angola,CAF,44.0,0.0,44.0,2022-07-20,2026-07-19,4
Anguilla,Anguilla,CONCACAF,21.0,0.0,21.0,2022-07-20,2026-07-19,4
Antigua and Barbuda,Antigua and Barbuda,CONCACAF,21.0,0.0,21.0,2022-07-20,2026-07-19,4
Argentina,Argentina,CONMEBOL,56.0,1.0,57.0,2022-07-20,2026-07-19,4
Armenia,Armenia,UEFA,37.0,0.0,37.0,2022-07-20,2026-07-19,4
Aruba,Aruba,CONCACAF,21.0,0.0,21.0,2022-07-20,2026-07-19,4
Australia,Australia,AFC,48.0,0.0,48.0,2022-07-20,2026-07-19,4
Austria,Austria,UEFA,45.0,0.0,45.0,2022-07-20,2026-07-19,4
Azerbaijan,Azerbaijan,UEFA,37.0,0.0,37.0,2022-07-20,2026-07-19,4
Bahamas,Bahamas,CONCACAF,19.0,0.0,19.0,2022-07-20,2026-07-19,4
Bahrain,Bahrain,AFC,50.0,0.0,50.0,2022-07-20,2026-07-19,4
Bangladesh,Bangladesh,AFC,34.0,0.0,34.0,2022-07-20,2026-07-19,4
Barbados,Barbados,CONCACAF,26.0,0.0,26.0,2022-07-20,2026-07-19,4
Belarus,Belarus,UEFA,37.0,0.0,37.0,2022-07-20,2026-07-19,4
Belgium,Belgium,UEFA,50.0,0.0,50.0,2022-07-20,2026-07-19,4
Belize,Belize,CONCACAF,26.0,0.0,26.0,2022-07-20,2026-07-19,4
Benin,Benin,CAF,36.0,0.0,36.0,2022-07-20,2026-07-19,4
Bermuda,Bermuda,CONCACAF,30.0,0.0,30.0,2022-07-20,2026-07-19,4
Bhutan,Bhutan,AFC,19.0,0.0,19.0,2022-07-20,2026-07-19,4
Bolivia,Bolivia,CONMEBOL,43.0,0.0,43.0,2022-07-20,2026-07-19,4
Bonaire,Bonaire,CONCACAF,19.0,0.0,19.0,2022-07-20,2026-07-19,4
Bosnia and Herzegovina,Bosnia and Herzegovina,UEFA,39.0,0.0,39.0,2022-07-20,2026-07-19,4
Botswana,Botswana,CAF,32.0,0.0,32.0,2022-07-20,2026-07-19,4
Brazil,Brazil,CONMEBOL,49.0,0.0,49.0,2022-07-20,2026-07-19,4
British Virgin Islands,British Virgin Islands,CONCACAF,23.0,0.0,23.0,2022-07-20,2026-07-19,4
Brunei,Brunei,AFC,26.0,0.0,26.0,2022-07-20,2026-07-19,4
Bulgaria,Bulgaria,UEFA,38.0,0.0,38.0,2022-07-20,2026-07-19,4
Burkina Faso,Burkina Faso,CAF,48.0,0.0,48.0,2022-07-20,2026-07-19,4
Burundi,Burundi,CAF,25.0,0.0,25.0,2022-07-20,2026-07-19,4
Cambodia,Cambodia,AFC,29.0,0.0,29.0,2022-07-20,2026-07-19,4
Cameroon,Cameroon,CAF,44.0,0.0,44.0,2022-07-20,2026-07-19,4
Canada,Canada,CONCACAF,55.0,0.0,55.0,2022-07-20,2026-07-19,4
Cape Verde,Cape Verde Islands,CAF,45.0,0.0,45.0,2022-07-20,2026-07-19,4
Cayman Islands,Cayman Islands,CONCACAF,20.0,0.0,20.0,2022-07-20,2026-07-19,4
Central African Republic,Central African Republic,CAF,25.0,0.0,25.0,2022-07-20,2026-07-19,4
Chad,Chad,CAF,23.0,0.0,23.0,2022-07-20,2026-07-19,4
Chile,Chile,CONMEBOL,39.0,0.0,39.0,2022-07-20,2026-07-19,4
China,China PR,AFC,36.0,0.0,36.0,2022-07-20,2026-07-19,4
Colombia,Colombia,CONMEBOL,50.0,0.0,50.0,2022-07-20,2026-07-19,4
Comoros,Comoros,CAF,43.0,0.0,43.0,2022-07-20,2026-07-19,4
Congo,Congo,CAF,18.0,0.0,18.0,2022-07-20,2026-07-19,4
Costa Rica,Costa Rica,CONCACAF,53.0,0.0,53.0,2022-07-20,2026-07-19,4
Croatia,Croatia,UEFA,51.0,0.0,51.0,2022-07-20,2026-07-19,4
Cuba,Cuba,CONCACAF,34.0,0.0,34.0,2022-07-20,2026-07-19,4
Curaçao,Curacao,CONCACAF,39.0,0.0,39.0,2022-07-20,2026-07-19,4
Cyprus,Cyprus,UEFA,38.0,0.0,38.0,2022-07-20,2026-07-19,4
Czech Republic,Czech Republic,UEFA,44.0,0.0,44.0,2022-07-20,2026-07-19,4
DR Congo,Congo DR,CAF,51.0,0.0,51.0,2022-07-20,2026-07-19,4
Denmark,Denmark,UEFA,43.0,0.0,43.0,2022-07-20,2026-07-19,4
Djibouti,Djibouti,CAF,16.0,0.0,16.0,2022-07-20,2026-07-19,4
Dominica,Dominica,CONCACAF,21.0,0.0,21.0,2022-07-20,2026-07-19,4
Dominican Republic,Dominican Republic,CONCACAF,35.0,0.0,35.0,2022-07-20,2026-07-19,4
East Timor,Timor-Leste,AFC,18.0,0.0,18.0,2022-07-20,2026-07-19,4
Ecuador,Ecuador,CONMEBOL,49.0,0.0,49.0,2022-07-20,2026-07-19,4
Egypt,Egypt,CAF,54.0,0.0,54.0,2022-07-20,2026-07-19,4
El Salvador,El Salvador,CONCACAF,45.0,0.0,45.0,2022-07-20,2026-07-19,4
England,England,UEFA,55.0,1.0,56.0,2022-07-20,2026-07-19,4
Equatorial Guinea,Equatorial Guinea,CAF,39.0,0.0,39.0,2022-07-20,2026-07-19,4
Estonia,Estonia,UEFA,42.0,0.0,42.0,2022-07-20,2026-07-19,4
Eswatini,Swaziland,CAF,27.0,0.0,27.0,2022-07-20,2026-07-19,4
Ethiopia,Ethiopia,CAF,27.0,0.0,27.0,2022-07-20,2026-07-19,4
Faroe Islands,Faroe Islands,UEFA,37.0,0.0,37.0,2022-07-20,2026-07-19,4
Fiji,Fiji,OFC,30.0,0.0,30.0,2022-07-20,2026-07-19,4
Finland,Finland,UEFA,40.0,0.0,40.0,2022-07-20,2026-07-19,4
France,France,UEFA,56.0,1.0,57.0,2022-07-20,2026-07-19,4
Gabon,Gabon,CAF,33.0,0.0,33.0,2022-07-20,2026-07-19,4
Gambia,Gambia,CAF,29.0,0.0,29.0,2022-07-20,2026-07-19,4
Georgia,Georgia,UEFA,40.0,0.0,40.0,2022-07-20,2026-07-19,4
Germany,Germany,UEFA,50.0,0.0,50.0,2022-07-20,2026-07-19,4
Ghana,Ghana,CAF,46.0,0.0,46.0,2022-07-20,2026-07-19,4
Gibraltar,Gibraltar,UEFA,36.0,0.0,36.0,2022-07-20,2026-07-19,4
Greece,Greece,UEFA,38.0,0.0,38.0,2022-07-20,2026-07-19,4
Grenada,Grenada,CONCACAF,32.0,0.0,32.0,2022-07-20,2026-07-19,4
Guadeloupe,Guadeloupe,CONCACAF,24.0,0.0,24.0,2022-07-20,2026-07-19,4
Guatemala,Guatemala,CONCACAF,54.0,0.0,54.0,2022-07-20,2026-07-19,4
Guinea,Guinea,CAF,38.0,0.0,38.0,2022-07-20,2026-07-19,4
Guinea-Bissau,Guinea-Bissau,CAF,31.0,0.0,31.0,2022-07-20,2026-07-19,4
Guyana,Guyana,CONCACAF,30.0,0.0,30.0,2022-07-20,2026-07-19,4
Haiti,Haiti,CONCACAF,37.0,0.0,37.0,2022-07-20,2026-07-19,4
Honduras,Honduras,CONCACAF,47.0,0.0,47.0,2022-07-20,2026-07-19,4
Hong Kong,Hong Kong,AFC,44.0,0.0,44.0,2022-07-20,2026-07-19,4
Hungary,Hungary,UEFA,41.0,0.0,41.0,2022-07-20,2026-07-19,4
Iceland,Iceland,UEFA,45.0,0.0,45.0,2022-07-20,2026-07-19,4
India,India,AFC,35.0,0.0,35.0,2022-07-20,2026-07-19,4
Indonesia,Indonesia,AFC,51.0,0.0,51.0,2022-07-20,2026-07-19,4
Iran,Iran,AFC,48.0,0.0,48.0,2022-07-20,2026-07-19,4
Iraq,Iraq,AFC,56.0,0.0,56.0,2022-07-20,2026-07-19,4
Israel,Israel,UEFA,35.0,0.0,35.0,2022-07-20,2026-07-19,4
Italy,Italy,UEFA,42.0,0.0,42.0,2022-07-20,2026-07-19,4
Ivory Coast,Ivory Coast,CAF,52.0,0.0,52.0,2022-07-20,2026-07-19,4
Jamaica,Jamaica,CONCACAF,57.0,0.0,57.0,2022-07-20,2026-07-19,4
Japan,Japan,AFC,51.0,0.0,51.0,2022-07-20,2026-07-19,4
Jordan,Jordan,AFC,56.0,0.0,56.0,2022-07-20,2026-07-19,4
Kazakhstan,Kazakhstan,UEFA,39.0,0.0,39.0,2022-07-20,2026-07-19,4
Kenya,Kenya,CAF,31.0,0.0,31.0,2022-07-20,2026-07-19,4
Kosovo,Kosovo,UEFA,37.0,0.0,37.0,2022-07-20,2026-07-19,4
Kuwait,Kuwait,AFC,47.0,0.0,47.0,2022-07-20,2026-07-19,4
Kyrgyzstan,Kyrgyzstan,AFC,33.0,0.0,33.0,2022-07-20,2026-07-19,4
Laos,Laos,AFC,23.0,0.0,23.0,2022-07-20,2026-07-19,4
Latvia,Latvia,UEFA,36.0,0.0,36.0,2022-07-20,2026-07-19,4
Lebanon,Lebanon,AFC,35.0,0.0,35.0,2022-07-20,2026-07-19,4
Lesotho,Lesotho,CAF,33.0,0.0,33.0,2022-07-20,2026-07-19,4
Liberia,Liberia,CAF,30.0,0.0,30.0,2022-07-20,2026-07-19,4
Libya,Libya,CAF,32.0,0.0,32.0,2022-07-20,2026-07-19,4
Liechtenstein,Liechtenstein,UEFA,37.0,0.0,37.0,2022-07-20,2026-07-19,4
Lithuania,Lithuania,UEFA,38.0,0.0,38.0,2022-07-20,2026-07-19,4
Luxembourg,Luxembourg,UEFA,36.0,0.0,36.0,2022-07-20,2026-07-19,4
Madagascar,Madagascar,CAF,32.0,0.0,32.0,2022-07-20,2026-07-19,4
Malawi,Malawi,CAF,32.0,0.0,32.0,2022-07-20,2026-07-19,4
Malaysia,Malaysia,AFC,44.0,0.0,44.0,2022-07-20,2026-07-19,4
Maldives,Maldives,AFC,23.0,0.0,23.0,2022-07-20,2026-07-19,4
Mali,Mali,CAF,39.0,0.0,39.0,2022-07-20,2026-07-19,4
Malta,Malta,UEFA,35.0,0.0,35.0,2022-07-20,2026-07-19,4
Martinique,Martinique,CONCACAF,21.0,0.0,21.0,2022-07-20,2026-07-19,4
Mauritania,Mauritania,CAF,39.0,0.0,39.0,2022-07-20,2026-07-19,4
Mauritius,Mauritius,CAF,24.0,0.0,24.0,2022-07-20,2026-07-19,4
Mexico,Mexico,CONCACAF,70.0,0.0,70.0,2022-07-20,2026-07-19,4
Moldova,Moldova,UEFA,37.0,0.0,37.0,2022-07-20,2026-07-19,4
Montenegro,Montenegro,UEFA,38.0,0.0,38.0,2022-07-20,2026-07-19,4
Montserrat,Montserrat,CONCACAF,18.0,0.0,18.0,2022-07-20,2026-07-19,4
Morocco,Morocco,CAF,67.0,0.0,67.0,2022-07-20,2026-07-19,4
Mozambique,Mozambique,CAF,40.0,0.0,40.0,2022-07-20,2026-07-19,4
Myanmar,Myanmar,AFC,35.0,0.0,35.0,2022-07-20,2026-07-19,4
Namibia,Namibia,CAF,32.0,0.0,32.0,2022-07-20,2026-07-19,4
