date,team,name,confed,stage,side,home_team,away_team,home_score,away_score,tournament
2022-07-20,South Korea,South Korea,AFC,stage1,away,China,South Korea,0.0,3.0,EAFF Championship
2022-07-20,China,China PR,AFC,stage1,home,China,South Korea,0.0,3.0,EAFF Championship
2022-07-24,China,China PR,AFC,stage1,away,Japan,China,0.0,0.0,EAFF Championship
2022-07-24,Japan,Japan,AFC,stage1,home,Japan,China,0.0,0.0,EAFF Championship
2022-07-24,Hong Kong,Hong Kong,AFC,stage1,away,South Korea,Hong Kong,3.0,0.0,EAFF Championship
2022-07-24,South Korea,South Korea,AFC,stage1,home,South Korea,Hong Kong,3.0,0.0,EAFF Championship
2022-07-27,Hong Kong,Hong Kong,AFC,stage1,away,China,Hong Kong,1.0,0.0,EAFF Championship
2022-07-27,China,China PR,AFC,stage1,home,China,Hong Kong,1.0,0.0,EAFF Championship
2022-07-27,South Korea,South Korea,AFC,stage1,away,Japan,South Korea,3.0,0.0,EAFF Championship
2022-07-27,Japan,Japan,AFC,stage1,home,Japan,South Korea,3.0,0.0,EAFF Championship
2022-08-31,Paraguay,Paraguay,CONMEBOL,stage1,away,Mexico,Paraguay,0.0,1.0,Friendly
2022-08-31,Mexico,Mexico,CONCACAF,stage1,home,Mexico,Paraguay,0.0,1.0,Friendly
2022-09-17,New Caledonia,New Caledonia,OFC,stage1,away,Fiji,New Caledonia,1.0,0.0,MSG Prime Minister's Cup
2022-09-17,Fiji,Fiji,OFC,stage1,home,Fiji,New Caledonia,1.0,0.0,MSG Prime Minister's Cup
2022-09-21,Maldives,Maldives,AFC,stage1,away,Brunei,Maldives,0.0,3.0,Friendly
2022-09-21,Brunei,Brunei,AFC,stage1,home,Brunei,Maldives,0.0,3.0,Friendly
2022-09-21,Myanmar,Myanmar,AFC,stage1,away,Hong Kong,Myanmar,2.0,0.0,Friendly
2022-09-21,Hong Kong,Hong Kong,AFC,stage1,home,Hong Kong,Myanmar,2.0,0.0,Friendly
2022-09-21,Uganda,Uganda,CAF,stage1,away,Libya,Uganda,0.0,0.0,Friendly
2022-09-21,Libya,Libya,CAF,stage1,home,Libya,Uganda,0.0,0.0,Friendly
2022-09-21,Seychelles,Seychelles,CAF,stage1,away,San Marino,Seychelles,0.0,0.0,Friendly
2022-09-21,San Marino,San Marino,UEFA,stage1,home,San Marino,Seychelles,0.0,0.0,Friendly
2022-09-21,Ukraine,Ukraine,UEFA,stage1,away,Scotland,Ukraine,3.0,0.0,UEFA Nations League
2022-09-21,Scotland,Scotland,UEFA,stage1,home,Scotland,Ukraine,3.0,0.0,UEFA Nations League
2022-09-21,New Caledonia,New Caledonia,OFC,stage1,away,Solomon Islands,New Caledonia,1.0,0.0,MSG Prime Minister's Cup
