rank,name,confed,off,def,spi
1,Argentina,CONMEBOL,2.466130678704931,0.4365484001662896,69.98973170731708
2,Spain,UEFA,2.373726464238836,0.4857714933652993,68.52856097560975
3,Brazil,CONMEBOL,2.421623022696741,0.6025587996116498,67.53726829268292
4,France,UEFA,2.3874112526150704,0.6251658005560121,66.96913821138212
5,Netherlands,UEFA,2.412776015267747,0.7118343227974352,66.16584552845529
6,England,UEFA,2.143702579609198,0.5324745421829798,65.7150081300813
7,Colombia,CONMEBOL,2.1068643192111063,0.5237148445125924,65.44477235772358
8,Italy,UEFA,2.2004062156633126,0.633872470950015,65.04535772357724
9,Germany,UEFA,2.3220822840600825,0.788828950854603,64.38365040650407
10,Belgium,UEFA,2.160119148424173,0.6845596878739513,63.989154471544715
11,Portugal,UEFA,2.023193151421101,0.6219042450696811,63.39049593495935
12,Croatia,UEFA,2.087386003225501,0.69687158151138,63.08786991869918
13,Denmark,UEFA,2.003543278774311,0.6433761759223402,62.874536585365846
14,Switzerland,UEFA,2.107346055774737,0.7415294443091169,62.78660162601626
15,Mexico,CONCACAF,1.8383782708354093,0.5228497060297586,62.67943089430894
16,Morocco,CAF,1.784114277775373,0.4910098523249136,62.479569105691056
17,USA,CONCACAF,2.015221281841977,0.7204284906391177,62.043032520325205
18,Japan,AFC,1.882174588415672,0.6703659909410817,61.253821138211386
19,Norway,UEFA,2.0329619290986485,0.8085549610495388,61.155829268292685
20,Poland,UEFA,2.0796978243672366,0.8582826284657689,61.04721951219513
21,Uruguay,CONMEBOL,1.651950133497907,0.5388061318842664,60.42647967479675
22,Ukraine,UEFA,1.9685192009014592,0.8176429186662941,60.405577235772355
23,Ecuador,CONMEBOL,1.690246474081649,0.587510280512994,60.21279674796748
24,Austria,UEFA,1.9146817500473143,0.8136207081146115,59.82082113821138
25,Hungary,UEFA,1.8042984815095,0.7253020519891739,59.75494308943089
26,Turkey,UEFA,1.910274795591468,0.8285233689031556,59.62915447154472
27,Sweden,UEFA,1.9565861642433413,0.8943036512926491,59.35712195121952
28,Canada,CONCACAF,1.6890275307210714,0.6606679327163955,59.27138211382113
29,Senegal,CAF,1.7354124806964473,0.7142065858091978,59.1059756097561
30,Scotland,UEFA,1.7663497991505823,0.7429475829342033,59.09203252032521
31,Czech Republic,UEFA,1.8743649748123608,0.8669438611859829,58.723715447154476
32,Venezuela,CONMEBOL,1.697844662643753,0.7256121585721962,58.54720325203252
33,Paraguay,CONMEBOL,1.5462212530413133,0.6259610301179113,58.07278048780488
34,Greece,UEFA,1.595743731446899,0.7087451154781665,57.594626016260165
35,Serbia,UEFA,1.702580333716577,0.8194235027529182,57.42541463414634
36,Egypt,CAF,1.617581004188236,0.7537254193461078,57.25818699186992
37,South Korea,AFC,1.555055707400532,0.7128096179970999,57.01151219512195
38,Algeria,CAF,1.619038817383713,0.7795063418232264,56.966471544715446
39,Australia,AFC,1.5359431775383765,0.715365011029244,56.78785365853659
40,Slovakia,UEFA,1.582862830613846,0.7624562233508796,56.7389837398374
41,Georgia,UEFA,1.6259015896628657,0.8030754924586677,56.732951219512195
42,Ivory Coast,CAF,1.540870353457802,0.7261634896336316,56.696691056910566
43,Iran,AFC,1.5300361771210464,0.7266891856670461,56.58921951219512
44,Slovenia,UEFA,1.580113444074344,0.7887828553429025,56.33744715447154
45,Wales,UEFA,1.6270138042147255,0.8427431176285074,56.26685365853659
46,Israel,UEFA,1.7587678770743758,0.9690762000500168,56.19966666666667
47,Nigeria,CAF,1.662060438100007,0.8967930062102044,55.99352032520325
48,Rep of Ireland,UEFA,1.49694998988055,0.763543822188601,55.722373983739836
49,Chile,CONMEBOL,1.4204021505177655,0.7211358241627154,55.37041463414635
50,Congo DR,CAF,1.4580253845303066,0.769695670720848,55.208439024390245
51,Peru,CONMEBOL,1.3739355293807862,0.7183367441816965,54.81579674796748
52,Iceland,UEFA,1.5628010788617397,0.9112146788374418,54.68815447154471
53,Bosnia and Herzegovina,UEFA,1.5782347383027118,0.9520849453240492,54.35478861788617
54,Tunisia,CAF,1.2956048470482855,0.6911355994852042,54.1990406504065
55,Cameroon,CAF,1.4446527752648015,0.8389207597641183,54.111430894308945
56,Albania,UEFA,1.328570515974593,0.7301505174429505,54.07859349593495
57,Bolivia,CONMEBOL,1.3900303839142043,0.803188510891251,53.933032520325206
58,Panama,CONCACAF,1.5292551491532038,0.9394490868631136,53.89789430894309
59,Mali,CAF,1.2754717056022404,0.7131413328292234,53.66066666666667
60,Kosovo,UEFA,1.45651425530342,0.8913654013118656,53.648170731707324
61,Ghana,CAF,1.3880994472109585,0.8622566432944047,53.18091056910569
62,Romania,UEFA,1.3635819642555087,0.8365319029879605,53.14978861788619
63,Northern Ireland,UEFA,1.315446829541386,0.8035798888708926,53.03020325203253
64,Guadeloupe,CONCACAF,0.7905514981414224,0.2919306830494844,52.96470731707317
65,Uzbekistan,AFC,1.266693840519035,0.7661340482327799,52.873967479674796
66,South Africa,CAF,1.2568663154581872,0.7757912730239522,52.616707317073164
67,Jordan,AFC,1.3866936981306983,0.916774163531316,52.43770731707317
68,North Macedonia,UEFA,1.2481493299171824,0.7890884833815704,52.37276422764228
69,Finland,UEFA,1.3826897420361652,0.9254637278144108,52.303772357723574
70,Burkina Faso,CAF,1.3784187513823891,0.9869929444654844,51.512691056910576
71,Montenegro,UEFA,1.3156787170535351,0.9526479047188712,51.136219512195126
72,Gabon,CAF,1.4051359702932509,1.064441223823675,50.90744715447154
73,Cape Verde Islands,CAF,1.180628808704406,0.8516985313158804,50.69810569105692
74,New Zealand,OFC,1.16519758406809,0.8460187600720673,50.60157723577235
75,Costa Rica,CONCACAF,1.2214568195372384,0.9125324537085572,50.46108943089431
76,Qatar,AFC,1.3206231415985714,1.0422419378775585,50.13691056910569
77,Saudi Arabia,AFC,1.1355767386773803,0.855140234890821,50.063430894308944
78,Honduras,CONCACAF,1.0948035529902445,0.8785899193671352,49.2750081300813
79,Uganda,CAF,1.1835230952991331,0.9828389539958736,49.102609756097564
80,Bulgaria,UEFA,1.2305316054980022,1.0318236277715631,49.09430081300813
81,Guinea,CAF,1.1532512429405215,0.9677954630558576,48.90629268292683
82,Kazakhstan,UEFA,1.1601354489806288,0.9834704194698451,48.81728455284553
83,Benin,CAF,1.1769067464798757,1.0096444287275117,48.71854471544716
84,Jamaica,CONCACAF,1.1466897784027217,0.9869897507693012,48.60775609756098
85,Comoros,CAF,1.1335418898939402,0.982051766018005,48.48443902439024
86,Belarus,UEFA,1.0686842475285174,0.9148548481669512,48.47975609756097
87,Estonia,UEFA,1.1095257426791765,0.9697769022425818,48.330463414634146
88,Gambia,CAF,1.2374993063667077,1.1131595333164024,48.20128455284553
89,Zambia,CAF,1.212683250233639,1.1162266789422244,47.90382926829268
90,United Arab Emirates,AFC,1.2078841825917075,1.1187542510990371,47.81134959349593
91,Togo,CAF,1.1598027706328513,1.0724800582767748,47.738471544715445
92,Malta,UEFA,0.9330466329500906,0.8555280349074637,47.44226016260163
93,Armenia,UEFA,1.2216113828102293,1.1703293464660958,47.35575609756098
94,Iraq,AFC,1.0468076830223834,0.9906696124976344,47.27117886178862
95,Angola,CAF,1.0435380601300952,0.9994586940484952,47.139325203252035
96,Guatemala,CONCACAF,1.02748854115366,0.983171108897974,47.085195121951216
97,Oman,AFC,1.0213180897483911,0.9797948080706728,47.059634146341466
98,Luxembourg,UEFA,0.9157441332522394,0.8763962682488502,46.95685365853659
99,Namibia,CAF,1.0186780785125438,1.0005362300131992,46.79787804878049
100,Palestine,AFC,0.8187886762042873,0.8099522872428702,46.44150406504065
101,Mauritania,CAF,0.8887863274218781,0.891880525594814,46.418
102,Equatorial Guinea,CAF,0.9917217916908856,1.012901228409942,46.27947967479675
103,Faroe Islands,UEFA,0.9376725298495516,0.9650482645373024,46.141000000000005
104,Haiti,CONCACAF,1.075862753185672,1.153907383677648,45.73970731707317
105,Cyprus,UEFA,0.985135931104924,1.0610230180765945,45.614642276422764
106,Mozambique,CAF,1.0139593689784292,1.1006135466633349,45.511349593495936
107,Moldova,UEFA,1.0082782083091144,1.1058588998601724,45.4000406504065
108,Azerbaijan,UEFA,1.0727203383216513,1.1891832194749496,45.256951219512196
109,Kenya,CAF,0.978054407005984,1.100979368214692,45.061300813008124
110,Niger,CAF,0.9818177342181292,1.1098521099581966,45.018902439024394
111,Sierra Leone,CAF,1.0108442511299751,1.1516642948095477,44.867837398373986
112,Zimbabwe,CAF,0.978811179605822,1.1186005833763952,44.85060975609756
113,Suriname,CONCACAF,0.9146055896384918,1.0570650878838397,44.77984552845528
114,Rwanda,CAF,0.8284740748924369,0.9605955344391904,44.765910569105685
115,Libya,CAF,0.9107159600338052,1.0613993396102137,44.64158536585366
116,Botswana,CAF,0.889012060215096,1.056991965175746,44.39208130081301
117,Syria,AFC,0.8462561720825478,1.0235191432464343,44.204544715447156
118,Latvia,UEFA,0.9208279597380952,1.1166983428939297,44.13326829268293
119,Madagascar,CAF,1.015583040088767,1.2260714835646518,44.059813008130085
120,Indonesia,AFC,0.6067874169292283,0.7660818860593487,44.00649593495935
121,Congo,CAF,1.0766500022675345,1.313492401809737,43.84791869918699
122,Lithuania,UEFA,0.8545477043059179,1.0694566274066502,43.793130081300816
123,Bahrain,AFC,0.868803338097582,1.0870815400248086,43.78726829268293
124,Tanzania,CAF,0.8535320145910325,1.089911918606653,43.57439024390244
125,Sudan,CAF,0.7336212055924846,0.9477312370588616,43.56486178861789
126,Ethiopia,CAF,0.862908799656302,1.1053979169262804,43.477731707317076
127,Guinea-Bissau,CAF,0.8588985795903095,1.1026888325100572,43.4699674796748
128,North Korea,AFC,0.977501680211894,1.2437980779416964,43.41520325203252
129,Liberia,CAF,0.926791256819042,1.1976402737483736,43.272138211382114
130,El Salvador,CONCACAF,0.7429315734608993,0.9994637699868008,43.12435772357723
131,China PR,AFC,0.8210671155927628,1.1149983658372455,42.81617073170732
132,Central African Republic,CAF,0.909877650656286,1.2235251337916897,42.704121951219506
133,Malawi,CAF,0.7921864891048652,1.101396299022686,42.548
134,Trinidad and Tobago,CONCACAF,0.8729457409026297,1.2146407309443408,42.367
135,Swaziland,CAF,0.7492782760267599,1.091836890715638,42.10190243902439
136,Andorra,UEFA,0.451003670172633,0.752711850314094,41.91517073170732
137,Lesotho,CAF,0.6885752797973052,1.0905610856119743,41.286861788617884
138,Curacao,CONCACAF,0.7118102261285638,1.1195068039503784,41.274479674796744
139,Martinique,CONCACAF,0.8243491066328585,1.2625310734885828,41.13943902439024
140,Kyrgyzstan,AFC,0.8043579479045735,1.260935356141955,40.9039756097561
141,South Sudan,CAF,0.6623756911328472,1.1097156809425288,40.70086991869919
142,Nicaragua,CONCACAF,0.687580205757828,1.1527217188957763,40.54508943089431
143,San Marino,UEFA,0.3631917808609711,0.7611979640812369,40.537284552845534
144,Dominican Republic,CONCACAF,0.7796264225618478,1.3060122905976064,40.05347967479675
145,Tajikistan,AFC,0.4843150755288039,0.9626827216462036,39.886756097560976
146,Kuwait,AFC,0.7629949497676266,1.3081768878945566,39.82014634146342
147,Chad,CAF,0.6120945593697246,1.1413776745378397,39.63578048780488
148,Somalia,CAF,0.4587583840209177,0.9776376823020664,39.321764227642284
149,Gibraltar,UEFA,0.4003200567628293,0.9817511570554543,38.447455284552845
150,Burundi,CAF,0.578208542919565,1.2421451918957476,38.05068292682927
151,Djibouti,CAF,0.5652061327899117,1.238601504324276,37.86591869918699
152,Cuba,CONCACAF,0.572493403664305,1.294524681323831,37.42783739837399
153,Lebanon,AFC,0.3709569127063111,1.047325295455504,37.28763414634146
154,Vietnam,AFC,0.527879963335009,1.2951007401571997,36.7419674796748
155,Thailand,AFC,0.5484866677548335,1.3461977552681457,36.49319512195122
156,Sao Tome and Principe,CAF,0.603570895782948,1.4330671301914633,36.32081300813008
157,Mauritius,CAF,0.4198962560581075,1.2381658695025153,35.907048780487806
158,Pakistan,AFC,0.0810999758513419,0.8274687060596544,35.42431707317073
159,Liechtenstein,UEFA,0.1928537851106813,0.9901735144140208,35.29169918699187
160,Hong Kong,AFC,0.2784534664303382,1.135632924034434,34.944252032520325
161,Chinese Taipei,AFC,0.2691841666864812,1.1283065137478785,34.88374796747968
162,India,AFC,0.2642022331030794,1.1205740913288986,34.88178861788618
163,Grenada,CONCACAF,0.3951698344533689,1.3347192501362315,34.49463414634146
164,Turkmenistan,AFC,0.4457797821151985,1.4031566410782037,34.45913008130081
165,Malaysia,AFC,0.381235362304182,1.3331040286017848,34.3079837398374
