team,name,confed,prior_matches,evidence_window_start,prior_evidence_end,evidence_window_years
Argentina,Argentina,CONMEBOL,56.0,2022-07-20,2026-07-15,4
Spain,Spain,UEFA,55.0,2022-07-20,2026-07-15,4
Brazil,Brazil,CONMEBOL,49.0,2022-07-20,2026-07-15,4
France,France,UEFA,56.0,2022-07-20,2026-07-15,4
Netherlands,Netherlands,UEFA,51.0,2022-07-20,2026-07-15,4
England,England,UEFA,55.0,2022-07-20,2026-07-15,4
Colombia,Colombia,CONMEBOL,50.0,2022-07-20,2026-07-15,4
Italy,Italy,UEFA,42.0,2022-07-20,2026-07-15,4
Germany,Germany,UEFA,50.0,2022-07-20,2026-07-15,4
Belgium,Belgium,UEFA,50.0,2022-07-20,2026-07-15,4
Portugal,Portugal,UEFA,53.0,2022-07-20,2026-07-15,4
Croatia,Croatia,UEFA,51.0,2022-07-20,2026-07-15,4
Denmark,Denmark,UEFA,43.0,2022-07-20,2026-07-15,4
Switzerland,Switzerland,UEFA,52.0,2022-07-20,2026-07-15,4
Mexico,Mexico,CONCACAF,70.0,2022-07-20,2026-07-15,4
Morocco,Morocco,CAF,67.0,2022-07-20,2026-07-15,4
United States,USA,CONCACAF,65.0,2022-07-20,2026-07-15,4
Japan,Japan,AFC,51.0,2022-07-20,2026-07-15,4
Norway,Norway,UEFA,44.0,2022-07-20,2026-07-15,4
Poland,Poland,UEFA,44.0,2022-07-20,2026-07-15,4
Uruguay,Uruguay,CONMEBOL,47.0,2022-07-20,2026-07-15,4
Ukraine,Ukraine,UEFA,40.0,2022-07-20,2026-07-15,4
Ecuador,Ecuador,CONMEBOL,49.0,2022-07-20,2026-07-15,4
Austria,Austria,UEFA,45.0,2022-07-20,2026-07-15,4
Hungary,Hungary,UEFA,41.0,2022-07-20,2026-07-15,4
Turkey,Turkey,UEFA,46.0,2022-07-20,2026-07-15,4
Sweden,Sweden,UEFA,45.0,2022-07-20,2026-07-15,4
Canada,Canada,CONCACAF,55.0,2022-07-20,2026-07-15,4
Senegal,Senegal,CAF,55.0,2022-07-20,2026-07-15,4
Scotland,Scotland,UEFA,44.0,2022-07-20,2026-07-15,4
Czech Republic,Czech Republic,UEFA,44.0,2022-07-20,2026-07-15,4
Venezuela,Venezuela,CONMEBOL,40.0,2022-07-20,2026-07-15,4
Paraguay,Paraguay,CONMEBOL,43.0,2022-07-20,2026-07-15,4
Greece,Greece,UEFA,38.0,2022-07-20,2026-07-15,4
Serbia,Serbia,UEFA,43.0,2022-07-20,2026-07-15,4
Egypt,Egypt,CAF,54.0,2022-07-20,2026-07-15,4
South Korea,South Korea,AFC,54.0,2022-07-20,2026-07-15,4
Algeria,Algeria,CAF,58.0,2022-07-20,2026-07-15,4
Australia,Australia,AFC,48.0,2022-07-20,2026-07-15,4
Georgia,Georgia,UEFA,40.0,2022-07-20,2026-07-15,4
Slovakia,Slovakia,UEFA,42.0,2022-07-20,2026-07-15,4
Ivory Coast,Ivory Coast,CAF,52.0,2022-07-20,2026-07-15,4
Iran,Iran,AFC,48.0,2022-07-20,2026-07-15,4
Slovenia,Slovenia,UEFA,43.0,2022-07-20,2026-07-15,4
