round,label,group,team_a,team_b,score_a,score_b,score,winner,forecast,home_advantage_team,wins_a,draws,wins_b,prob_team_a,prob_draw,prob_team_b,expected_goals_a,expected_goals_b,note
Group stage,Group A,A,Mexico,South Africa,2,1,2-1,Mexico,team_a,Mexico,5431,2378,2191,0.5431,0.2378,0.2191,1.7290241247413047,0.9959164106023526,
Group stage,Group A,A,South Korea,Czech Republic,2,0,2-0,South Korea,team_a,,4442,2846,2712,0.4442,0.2846,0.2712,1.31240609442949,0.9604696236836229,
Group stage,Group A,A,Czech Republic,South Africa,2,0,2-0,Czech Republic,team_a,,4157,2900,2943,0.4157,0.29,0.2943,1.23844437727152,0.9941123549545277,
Group stage,Group A,A,Mexico,South Korea,1,1,1-1,draw,draw,Mexico,3742,2671,3587,0.3742,0.2671,0.3587,1.371190908965971,1.314210150077315,
Group stage,Group A,A,Czech Republic,Mexico,1,2,1-2,Mexico,team_b,Mexico,2651,2570,4779,0.2651,0.257,0.4779,1.07627109884939,1.517938276090793,
Group stage,Group A,A,South Africa,South Korea,0,2,0-2,South Korea,team_b,,2248,2683,5069,0.2248,0.2683,0.5069,0.8801149354365855,1.4763834284994448,
Group stage,Group B,B,Canada,Bosnia and Herzegovina,3,1,3-1,Canada,team_a,Canada,4850,2392,2758,0.485,0.2392,0.2758,1.6856165561257226,1.230644581327698,
Group stage,Group B,B,Qatar,Switzerland,0,3,0-3,Switzerland,team_b,,1225,2059,6716,0.1225,0.2059,0.6716,0.68060811813757,1.9149729121720007,
Group stage,Group B,B,Switzerland,Bosnia and Herzegovina,3,1,3-1,Switzerland,team_a,,4987,2339,2674,0.4987,0.2339,0.2674,1.7581470461676685,1.2361878033966927,
Group stage,Group B,B,Canada,Qatar,2,0,2-0,Canada,team_a,Canada,6727,2040,1233,0.6727,0.204,0.1233,1.8874964147271156,0.6750648960685754,
Group stage,Group B,B,Switzerland,Canada,2,1,2-1,Switzerland,team_a,Canada,4084,2522,3394,0.4084,0.2522,0.3394,1.4162028780507447,1.2525720772279951,
Group stage,Group B,B,Bosnia and Herzegovina,Qatar,3,1,3-1,Bosnia and Herzegovina,team_a,,5297,2475,2228,0.5297,0.2475,0.2228,1.7294146154489538,1.0170090641854992,
Group stage,Group C,C,Brazil,Morocco,2,0,2-0,Brazil,team_a,,3813,2954,3233,0.3813,0.2954,0.3233,1.1366538851180419,1.0154824883586735,
Group stage,Group C,C,Haiti,Scotland,0,2,0-2,Scotland,team_b,,2646,2563,4791,0.2646,0.2563,0.4791,1.0119130885061418,1.45956673029586,
Group stage,Group C,C,Scotland,Morocco,0,2,0-2,Morocco,team_b,,3503,2658,3839,0.3503,0.2658,0.3839,1.1500301859008395,1.2329855405088865,
Group stage,Group C,C,Brazil,Haiti,2,0,2-0,Brazil,team_a,,5234,2680,2086,0.5234,0.268,0.2086,1.4461904295130623,0.7944100363559289,
Group stage,Group C,C,Scotland,Brazil,1,2,1-2,Brazil,team_b,,3233,2592,4175,0.3233,0.2592,0.4175,1.2238372630887815,1.427964014456197,
Group stage,Group C,C,Morocco,Haiti,2,0,2-0,Morocco,team_a,,4875,2902,2223,0.4875,0.2902,0.2223,1.251211955565752,0.7206029591679868,
Group stage,Group D,D,USA,Paraguay,3,1,3-1,USA,team_a,USA,4667,2259,3074,0.4667,0.2259,0.3074,1.7900963498086753,1.4412891367456067,
Group stage,Group D,D,Australia,Turkey,2,1,2-1,Australia,team_a,,3862,2537,3601,0.3862,0.2537,0.3601,1.4718130022275053,1.436736581321733,
Group stage,Group D,D,Turkey,Paraguay,1,2,1-2,Paraguay,team_b,,3567,2541,3892,0.3567,0.2541,0.3892,1.3968635243464833,1.4227789358942347,
Group stage,Group D,D,USA,Australia,3,1,3-1,USA,team_a,USA,4561,2252,3187,0.4561,0.2252,0.3187,1.8414244075408501,1.4903232030788771,
Group stage,Group D,D,Turkey,USA,1,3,1-3,USA,team_b,USA,3036,2187,4777,0.3036,0.2187,0.4777,1.5801707813863142,2.00223741587703,
Group stage,Group D,D,Paraguay,Australia,1,1,1-1,draw,draw,,3663,2591,3746,0.3663,0.2591,0.3746,1.2978549366810253,1.307015946039046,
Group stage,Group E,E,Ivory Coast,Ecuador,0,2,0-2,Ecuador,team_b,,2881,3252,3867,0.2881,0.3252,0.3867,0.8163461251656646,0.9936111208646118,
Group stage,Group E,E,Germany,Curacao,2,0,2-0,Germany,team_a,,4649,2962,2389,0.4649,0.2962,0.2389,1.2711172014186067,0.7987576478901625,
Group stage,Group E,E,Germany,Ivory Coast,2,0,2-0,Germany,team_a,,4151,2797,3052,0.4151,0.2797,0.3052,1.2404086735416084,1.0136754114151552,
Group stage,Group E,E,Ecuador,Curacao,2,0,2-0,Ecuador,team_a,,4509,3308,2183,0.4509,0.3308,0.2183,1.02431964874161,0.6014283616406718,
