rank,name,confed,off,defe,spi
1,Argentina,CONMEBOL,5.470355044137987,1.923045608029464,100.0
2,Spain,UEFA,5.040165201752251,3.113776478056125,92.13597949466322
3,Netherlands,UEFA,5.029589401485362,3.5194425940737424,91.94265017359434
4,Brazil,CONMEBOL,4.796949732899634,3.181615230319511,87.68991581341741
5,Germany,UEFA,4.712488031192021,3.945494003245501,86.14592641919845
6,France,UEFA,4.706734412006549,3.349997068104804,86.04074825180257
7,Italy,UEFA,4.566096993266805,3.8750295021966017,83.4698471383465
8,England,UEFA,4.523358075010092,2.6379097555942463,82.688564791737
9,Belgium,UEFA,4.398247425861675,3.422869329762171,80.40149844706737
10,Portugal,UEFA,4.368140074250096,3.0140306396245653,79.85112554862374
11,Morocco,CAF,4.21938616939575,2.0066285753699065,77.13185223539062
12,Sweden,UEFA,4.191437772466924,3.370239786420984,76.62094578227521
13,Austria,UEFA,4.179382778702328,3.860682166344328,76.40057628765686
14,Algeria,CAF,4.176107310040672,2.8013933651265264,76.34069957700046
15,Denmark,UEFA,4.164485884700608,3.415987396858363,76.1282558645486
16,Croatia,UEFA,4.148397890259203,3.476257938566112,75.83416170956968
17,Colombia,CONMEBOL,4.14049178623695,3.1301287613068065,75.68963536788871
18,Turkey,UEFA,4.079775554964282,3.638649243725183,74.57972146316453
19,Japan,AFC,4.006913154786258,2.636336289603326,73.24777135041815
20,Switzerland,UEFA,3.9776053139112566,4.039606210892386,72.71201378736183
21,Norway,UEFA,3.967501587064658,3.286483544953921,72.52731413322465
22,Poland,UEFA,3.928086502048077,3.8681389884340702,71.80679261865096
23,Israel,UEFA,3.90982441313545,4.360487271454507,71.47295525772506
24,Serbia,UEFA,3.904674717884383,3.679526439123036,71.37881703069014
25,Canada,CONCACAF,3.855337912891205,3.191688749951453,70.47692301110457
26,Czech Republic,UEFA,3.8422779717960167,3.65044129541527,70.23818272843894
27,United States,CONCACAF,3.8247838981996254,2.775761815434988,69.91838495562094
28,Scotland,UEFA,3.794545250221456,3.311958079573532,69.36561191375826
29,Ukraine,UEFA,3.7360877685798566,3.6476011200770295,68.2969887408576
30,Mexico,CONCACAF,3.7014850223703535,2.7450562241159706,67.6644384597459
31,Senegal,CAF,3.626011811903738,2.499570156625829,66.28476182344617
32,South Korea,AFC,3.5488957145920006,2.3282311588072657,64.87505264205812
33,Georgia,UEFA,3.5361274271273304,3.1961516809905643,64.64164388957956
34,Egypt,CAF,3.5087620112494444,2.0644173038425757,64.14139453360383
35,Iran,AFC,3.4873208123691004,2.521300548688653,63.74944193258719
36,Ecuador,CONMEBOL,3.4507357961213523,3.0556075015286077,63.08065506313248
37,Wales,UEFA,3.413660014868364,3.874002733962652,62.40289683804765
38,Venezuela,CONMEBOL,3.4107251489421744,3.850824018453793,62.34924646430573
